datetime,open,high,low,close,volume
2025-06-02 09:15:00,5959,5960,5925,5958,5774
2025-06-02 09:20:00,5955,5980.5,5939.5,5965,6319
2025-06-02 09:25:00,5965,5980.5,5952.5,5970,4854
2025-06-02 09:30:00,5970,5989,5968.5,5982.5,2032
2025-06-02 09:35:00,5987,5990,5972.5,5985,2501
2025-06-02 09:40:00,5986,5987.5,5967.5,5980,6144
2025-06-02 09:45:00,5975,5977.5,5965.5,5965.5,1962
2025-06-02 09:50:00,5965.5,5974.5,5964.5,5970.5,925
2025-06-02 09:55:00,5970,5973,5963,5965.5,957
2025-06-02 10:00:00,5967,5971.5,5945,5950,4864
2025-06-02 10:05:00,5948,5955,5940,5951,3964
2025-06-02 10:10:00,5953,5953,5930,5937.5,5396
2025-06-02 10:15:00,5937.5,5940,5920,5933,4184
2025-06-02 10:20:00,5929.5,5933.5,5917,5925.5,1948
2025-06-02 10:25:00,5925.5,5926.5,5920,5920,1607
2025-06-02 10:30:00,5920,5924,5915.5,5921,1682
2025-06-02 10:35:00,5920.5,5933,5915,5932.5,2190
2025-06-02 10:40:00,5932.5,5933,5920.5,5922,1832
2025-06-02 10:45:00,5925,5927.5,5917.5,5923.5,1879
2025-06-02 10:50:00,5923.5,5930,5920,5921.5,1869
2025-06-02 10:55:00,5922.5,5931.5,5921.5,5930,1289
2025-06-02 11:00:00,5931,5933,5929.5,5930,874
2025-06-02 11:05:00,5932.5,5942.5,5924.5,5935,4895
2025-06-02 11:10:00,5934.5,5939.5,5922,5922,1451
2025-06-02 11:15:00,5922,5929,5916,5927,2484
2025-06-02 11:20:00,5927,5929.5,5917,5918,1975
2025-06-02 11:25:00,5918,5918,5910,5910,3748
2025-06-02 11:30:00,5910.5,5915.5,5908,5915.5,1456
2025-06-02 11:35:00,5916,5919.5,5911,5919.5,1153
2025-06-02 11:40:00,5918,5918,5908,5909,1267
2025-06-02 11:45:00,5909,5914.5,5905.5,5907.5,2694
2025-06-02 11:50:00,5910,5910,5891,5897.5,4982
2025-06-02 11:55:00,5898,5907.5,5898,5901.5,1059
2025-06-02 12:00:00,5901.5,5908.5,5900,5904,986
2025-06-02 12:05:00,5903.5,5908.5,5902,5904.5,852
2025-06-02 12:10:00,5907,5927.5,5906.5,5923.5,2025
2025-06-02 12:15:00,5923.5,5930,5918.5,5930,2177
2025-06-02 12:20:00,5929.5,5937,5927,5936.5,1734
2025-06-02 12:25:00,5936.5,5939,5930,5933,1964
2025-06-02 12:30:00,5934,5938.5,5931.5,5938.5,458
2025-06-02 12:35:00,5938.5,5945,5938.5,5942,1122
2025-06-02 12:40:00,5942,5942.5,5930,5930.5,695
2025-06-02 12:45:00,5933,5935,5930,5933.5,474
2025-06-02 12:50:00,5933.5,5939,5927,5930.5,833
2025-06-02 12:55:00,5930.5,5932.5,5920,5920,506
2025-06-02 13:00:00,5920,5929,5920,5927,550
2025-06-02 13:05:00,5926,5934.5,5923,5932,1614
2025-06-02 13:10:00,5932,5941.5,5930,5940.5,1195
2025-06-02 13:15:00,5938.5,5940,5934,5940,571
2025-06-02 13:20:00,5940,5944,5937.5,5944,2987
2025-06-02 13:25:00,5943,5945,5936.5,5941.5,2038
2025-06-02 13:30:00,5941.5,5945.5,5940.5,5941,2001
2025-06-02 13:35:00,5940.5,5945,5936.5,5943,552
2025-06-02 13:40:00,5943,5946,5940,5946,765
2025-06-02 13:45:00,5946,5947.5,5942,5945,1166
2025-06-02 13:50:00,5944.5,5949.5,5942.5,5949,837
2025-06-02 13:55:00,5949,5950,5939.5,5941.5,2278
2025-06-02 14:00:00,5940.5,5950,5940,5947.5,1508
2025-06-02 14:05:00,5948.5,5967,5943.5,5966,3264
2025-06-02 14:10:00,5966,5970,5960.5,5967,1769
2025-06-02 14:15:00,5967.5,5969,5959,5967,2612
2025-06-02 14:20:00,5967,5970,5966.5,5969,760
2025-06-02 14:25:00,5969,5990.5,5969,5980,4338
2025-06-02 14:30:00,5978.5,5984.5,5970.5,5971,1488
2025-06-02 14:35:00,5970,5972.5,5961.5,5966.5,3044
2025-06-02 14:40:00,5969,5969,5961.5,5963.5,963
2025-06-02 14:45:00,5963.5,5974.5,5963.5,5972.5,1238
2025-06-02 14:50:00,5972,5977.5,5968,5974,1110
2025-06-02 14:55:00,5971,5978.5,5970.5,5976.5,848
2025-06-02 15:00:00,5976.5,5984,5976.5,5983,1468
2025-06-02 15:05:00,5983,5986,5975.5,5981.5,2078
2025-06-02 15:10:00,5984,5984,5974.5,5977,2470
2025-06-02 15:15:00,5977,5978.5,5966.5,5972.5,2824
2025-06-02 15:20:00,5974,5976,5964,5964,1644
2025-06-02 15:25:00,5966.5,5969,5951.5,5960.5,2006
2025-06-03 09:15:00,5974.5,6015.5,5966,5988.5,6779
2025-06-03 09:20:00,5988.5,6010,5985.5,6005.5,3006
2025-06-03 09:25:00,6005.5,6018,6000,6011,4161
2025-06-03 09:30:00,6013.5,6045,6003.5,6045,9218
2025-06-03 09:35:00,6045,6080,6040,6069.5,15270
2025-06-03 09:40:00,6070,6070,6048,6065,4998
2025-06-03 09:45:00,6067.5,6067.5,6044,6052,3340
2025-06-03 09:50:00,6055,6063,6050,6051.5,2869
2025-06-03 09:55:00,6053.5,6077,6049,6071,7886
2025-06-03 10:00:00,6071.5,6072.5,6062.5,6071.5,3806
2025-06-03 10:05:00,6070.5,6075,6057,6063,2967
2025-06-03 10:10:00,6063,6069.5,6059.5,6064,1409
2025-06-03 10:15:00,6064.5,6072.5,6064.5,6067.5,6233
2025-06-03 10:20:00,6069,6074.5,6056,6058.5,2081
2025-06-03 10:25:00,6057,6061.5,6050,6055.5,2728
2025-06-03 10:30:00,6056,6057,6050,6050,1053
2025-06-03 10:35:00,6050.5,6053.5,6030,6038,2963
2025-06-03 10:40:00,6038.5,6039.5,6031,6036.5,2044
2025-06-03 10:45:00,6036.5,6045,6035.5,6036.5,862
2025-06-03 10:50:00,6036.5,6050,6031,6041,2527
2025-06-03 10:55:00,6042,6048,6037.5,6042.5,923
2025-06-03 11:00:00,6042.5,6043.5,6038.5,6043,633
2025-06-03 11:05:00,6043,6043,6031.5,6032.5,991
2025-06-03 11:10:00,6033.5,6034.5,6021,6021,2486
2025-06-03 11:15:00,6022.5,6026.5,6015,6026.5,1025
2025-06-03 11:20:00,6026.5,6027.5,6015,6017,1117
2025-06-03 11:25:00,6017,6021.5,6011.5,6015.5,1248
2025-06-03 11:30:00,6015.5,6015.5,5993.5,5996,3050
2025-06-03 11:35:00,5996.5,5997.5,5991,5995.5,1403
2025-06-03 11:40:00,5996,5998.5,5985,5997.5,2264
2025-06-03 11:45:00,5998.5,5998.5,5989,5995,1731
2025-06-03 11:50:00,5995,5995,5984,5986.5,4049
2025-06-03 11:55:00,5985.5,5989.5,5977.5,5989,3186
2025-06-03 12:00:00,5989.5,5991,5985,5990,870
2025-06-03 12:05:00,5989,5992,5986.5,5987,1032
2025-06-03 12:10:00,5987.5,5988.5,5985,5986.5,398
2025-06-03 12:15:00,5986.5,5987,5972,5975.5,1760
2025-06-03 12:20:00,5975.5,5979.5,5972,5975,1437
2025-06-03 12:25:00,5975,5978,5974,5975.5,563
2025-06-03 12:30:00,5975.5,5984.5,5974.5,5984,1236
2025-06-03 12:35:00,5984,5988.5,5979,5988,960
2025-06-03 12:40:00,5989,6000,5988,5995,4702
2025-06-03 12:45:00,5997,6000,5991,6000,1170
2025-06-03 12:50:00,5999.5,6000,5978,5993,3529
2025-06-03 12:55:00,5993,6003.5,5990,5994.5,1649
2025-06-03 13:00:00,5994.5,6005,5994.5,6001,2328
2025-06-03 13:05:00,6001,6001,5988,5997.5,1502
2025-06-03 13:10:00,5998,5998,5988,5996.5,1454
2025-06-03 13:15:00,5997,5999.5,5985.5,5990,1630
2025-06-03 13:20:00,5990,5999,5985,5999,2888
2025-06-03 13:25:00,5999,6000,5994,5998.5,1145
2025-06-03 13:30:00,5998.5,6007.5,5992.5,6006,2368
2025-06-03 13:35:00,6006.5,6010,6000,6009.5,2159
