datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,960.15,963.7,955,955.6,29125,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,955.4,955.8,952.4,955.25,13012,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,954.95,958.5,954.95,957.95,4064,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,958,958,953.25,954.15,4728,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,953.8,954.8,950.3,951.25,16153,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,951.85,953.2,951.2,953,8845,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,953,953,948.65,948.8,12257,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,948.9,949.65,947.3,948,6761,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,947.95,950,947.4,949.8,3109,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,950,950.95,949.1,950.5,3520,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,950,950.1,947.8,949,5980,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,948.95,950.25,948.3,948.75,2222,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,948.75,950.7,948.1,950.6,3673,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,950.65,952.95,950.5,951.55,28090,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,951.4,954.3,951.3,953.7,18079,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,953.9,954.15,953.25,953.8,2474,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,953.6,953.75,952.1,953.45,5802,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,953.4,956,953,955.8,6761,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,955.8,956.55,955.5,956.3,3461,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:50:00,956,958.4,955.9,958.35,6178,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:55:00,958,959.75,958,958.25,6464,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:00:00,958.3,958.3,955.5,955.5,6616,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:05:00,956,958.75,955.55,958.75,4851,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:10:00,958.75,958.95,957.4,957.4,1014,0.0000,0.0000,0.00,0.0000,100.00
