datetime,open,high,low,close,volume
2025-06-02 09:15:00,1432.8,1439.8,1425.3,1439,65498
2025-06-02 09:20:00,1439,1447.9,1437,1443.8,118954
2025-06-02 09:25:00,1443.8,1449.9,1443.4,1444.6,62246
2025-06-02 09:30:00,1445,1451.3,1444.8,1447.3,59731
2025-06-02 09:35:00,1447.4,1448.6,1445.3,1448.6,26826
2025-06-02 09:40:00,1448.7,1450,1446.6,1447,20336
2025-06-02 09:45:00,1447,1451,1445.5,1449.5,24682
2025-06-02 09:50:00,1449.1,1454.9,1449,1454,60671
2025-06-02 09:55:00,1454,1455,1451.6,1455,35781
2025-06-02 10:00:00,1454.6,1457.8,1454.5,1455,62120
2025-06-02 10:05:00,1455,1455.4,1452.4,1454,27324
2025-06-02 10:10:00,1454,1456.7,1454,1454.2,22788
2025-06-02 10:15:00,1454.2,1454.8,1451.1,1452,15412
2025-06-02 10:20:00,1452.3,1453.7,1450,1453.1,18548
2025-06-02 10:25:00,1453.1,1454.5,1451.4,1453.3,16795
2025-06-02 10:30:00,1453.3,1457.5,1453.3,1456.7,28285
2025-06-02 10:35:00,1456.3,1457,1455,1455.4,23653
2025-06-02 10:40:00,1455.4,1456.7,1454,1455.5,21687
2025-06-02 10:45:00,1455.5,1456,1453.3,1455,11573
2025-06-02 10:50:00,1455,1455.4,1454.1,1455,14011
2025-06-02 10:55:00,1454.4,1455,1452.4,1452.5,13133
2025-06-02 11:00:00,1453,1454,1452.5,1453.7,6729
2025-06-02 11:05:00,1453.5,1454,1452,1453.4,9102
2025-06-02 11:10:00,1453.4,1454,1452.6,1453.5,9998
2025-06-02 11:15:00,1453.5,1455.7,1452.1,1455.5,25435
2025-06-02 11:20:00,1455.5,1455.6,1449.7,1450,38273
2025-06-02 11:25:00,1450,1454.5,1450,1454.3,17725
2025-06-02 11:30:00,1454.3,1456,1453.2,1453.6,14673
2025-06-02 11:35:00,1453.5,1457.8,1453.5,1457.7,29641
2025-06-02 11:40:00,1456.8,1459.9,1456.2,1459.9,42426
2025-06-02 11:45:00,1459.5,1464,1459.5,1463.6,83524
2025-06-02 11:50:00,1463.6,1469,1463.6,1469,119538
2025-06-02 11:55:00,1468.8,1469,1466.1,1468,48726
2025-06-02 12:00:00,1468,1470,1467,1469.8,50412
2025-06-02 12:05:00,1469.8,1473.2,1468.1,1472.5,71760
2025-06-02 12:10:00,1472.7,1473,1470.1,1470.2,54658
2025-06-02 12:15:00,1470.5,1471.8,1469.2,1471,36161
2025-06-02 12:20:00,1471,1474.9,1470,1474.9,60644
2025-06-02 12:25:00,1474.9,1478.5,1474.3,1475.6,87190
2025-06-02 12:30:00,1475.6,1477.5,1475,1476.4,39380
2025-06-02 12:35:00,1476.6,1478.8,1476.1,1478.8,37339
2025-06-02 12:40:00,1478.8,1481.9,1477.7,1481,97395
2025-06-02 12:45:00,1481,1482,1480,1481.8,46781
2025-06-02 12:50:00,1481.8,1481.8,1478,1480,67553
2025-06-02 12:55:00,1480.4,1480.4,1474.8,1474.8,58774
2025-06-02 13:00:00,1475,1478,1475,1477.3,27041
2025-06-02 13:05:00,1477.3,1478.9,1477,1477.7,38812
2025-06-02 13:10:00,1478.3,1478.4,1476.3,1477.6,12801
2025-06-02 13:15:00,1477.6,1477.7,1475.1,1476,20813
2025-06-02 13:20:00,1476,1476.9,1475.5,1475.8,17217
2025-06-02 13:25:00,1475.7,1476.6,1474.9,1475.8,23379
2025-06-02 13:30:00,1475.8,1477.6,1475,1475.6,21389
2025-06-02 13:35:00,1475.6,1478,1474.4,1477.5,18818
2025-06-02 13:40:00,1477.7,1478.3,1475,1477.7,27170
2025-06-02 13:45:00,1477.7,1477.9,1475.6,1476.8,18669
2025-06-02 13:50:00,1477,1477.6,1474.5,1475,28653
2025-06-02 13:55:00,1475,1476.2,1473.4,1473.9,26319
2025-06-02 14:00:00,1473.9,1475,1470,1470,53521
2025-06-02 14:05:00,1470,1471,1465.2,1466,63748
2025-06-02 14:10:00,1466,1469,1465.7,1468.2,30314
2025-06-02 14:15:00,1468.3,1468.4,1465.2,1466.5,40655
2025-06-02 14:20:00,1466.5,1466.7,1464,1464.5,32539
2025-06-02 14:25:00,1464.5,1472.9,1464.1,1470.4,56192
2025-06-02 14:30:00,1470.4,1470.8,1466.2,1468.2,33686
2025-06-02 14:35:00,1468.6,1468.7,1465.4,1466.7,18709
2025-06-02 14:40:00,1466.5,1466.7,1464,1465.1,23609
2025-06-02 14:45:00,1465.8,1468.5,1463.3,1468.3,46109
2025-06-02 14:50:00,1468.5,1469.9,1466.7,1469.2,21827
2025-06-02 14:55:00,1469.2,1469.9,1466.2,1468.8,56135
2025-06-02 15:00:00,1469.1,1471.4,1468,1470,130514
2025-06-02 15:05:00,1470,1470.7,1468.3,1468.9,39851
2025-06-02 15:10:00,1469,1470.5,1467.5,1470.4,62094
2025-06-02 15:15:00,1470.4,1470.4,1467.4,1468.8,99794
2025-06-02 15:20:00,1469,1469,1465.2,1465.5,88048
2025-06-02 15:25:00,1465.5,1465.5,1462.8,1464.3,77175
2025-06-03 09:15:00,1470.9,1472,1429.4,1433.6,542318
2025-06-03 09:20:00,1434.1,1438.4,1428.1,1438.4,214553
2025-06-03 09:25:00,1437.9,1445.7,1436.1,1439.1,173184
2025-06-03 09:30:00,1439.1,1448,1436.2,1443.8,122402
2025-06-03 09:35:00,1443.3,1448,1442,1447,68700
2025-06-03 09:40:00,1447,1450,1445,1448.3,49873
2025-06-03 09:45:00,1448,1460,1447.7,1454.1,103222
2025-06-03 09:50:00,1453.3,1461.6,1453.3,1456,149080
2025-06-03 09:55:00,1456.7,1459.6,1456,1457.4,74454
2025-06-03 10:00:00,1457.4,1461,1456,1457.4,60314
2025-06-03 10:05:00,1457.3,1458,1455.3,1456.6,22118
2025-06-03 10:10:00,1456.6,1456.9,1453,1455,89516
2025-06-03 10:15:00,1454.5,1455,1450.1,1452.1,32540
2025-06-03 10:20:00,1452.1,1458.6,1451.9,1454.6,50443
2025-06-03 10:25:00,1454.6,1455,1447.4,1448.8,50028
2025-06-03 10:30:00,1448.8,1452.8,1448,1451.4,27875
2025-06-03 10:35:00,1451.4,1451.8,1444.8,1445.3,52151
2025-06-03 10:40:00,1445.2,1447,1442.8,1444.6,46653
2025-06-03 10:45:00,1444.4,1446.6,1443.6,1445.7,20387
2025-06-03 10:50:00,1445.7,1446.2,1444,1444.3,34053
2025-06-03 10:55:00,1444.4,1444.9,1441.5,1441.6,22151
2025-06-03 11:00:00,1441.6,1443.6,1441,1443.4,22996
2025-06-03 11:05:00,1443.2,1443.8,1440.5,1441.3,27967
2025-06-03 11:10:00,1441.7,1443.3,1439.3,1440.3,33979
2025-06-03 11:15:00,1439.5,1441.9,1438.3,1441.8,25529
2025-06-03 11:20:00,1441.8,1442.7,1440,1441.8,13117
2025-06-03 11:25:00,1441.8,1445.9,1441,1445.9,16130
2025-06-03 11:30:00,1445.5,1449.9,1444.5,1448.1,39233
