datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,7048.5,7068.5,7046,7065,2167,0.0000
2025-11-10 05:50:00,7066,7075,7059,7061.5,3786,0.0000
2025-11-10 05:55:00,7061.5,7078,7047,7063.5,4592,0.0000
2025-11-10 06:00:00,7063,7115.5,7056.5,7095,17161,0.0000
2025-11-10 06:05:00,7094.5,7110,7086,7091.5,11642,0.0000
2025-11-10 06:10:00,7091.5,7098.5,7081,7092,4340,0.0000
2025-11-10 06:15:00,7093,7105,7083,7090.5,4626,0.0000
2025-11-10 06:20:00,7090,7102,7080,7082.5,2817,0.0000
2025-11-10 06:25:00,7082,7113.5,7080,7086.5,5167,0.0000
2025-11-10 06:30:00,7086.5,7097,7061,7066.5,7856,0.0000
2025-11-10 06:35:00,7066.5,7069.5,7061.5,7067.5,2701,0.0000
2025-11-10 06:40:00,7068,7087.5,7065.5,7070,3119,0.0000
2025-11-10 06:45:00,7070,7078.5,7066,7071,1991,0.0000
2025-11-10 06:50:00,7071,7077,7042,7042,4808,0.0000
2025-11-10 06:55:00,7042,7042,7020,7033.5,6511,0.0000
2025-11-10 07:00:00,7033,7040.5,7031.5,7039,4047,0.0000
2025-11-10 07:05:00,7037,7039,7025,7033,3763,0.0000
2025-11-10 07:10:00,7032.5,7047,7029.5,7041.5,2268,0.0000
2025-11-10 07:15:00,7039,7048,7037.5,7046,2157,0.0000
2025-11-10 07:20:00,7047,7048,7034,7038,1640,0.0000
2025-11-10 07:25:00,7037.5,7039,7032,7039,1607,0.0000
2025-11-10 07:30:00,7038.5,7040,7031.5,7036.5,2436,0.0000
2025-11-10 07:35:00,7036,7055,7032,7053,5006,0.0000
2025-11-10 07:40:00,7053,7053,7043,7044.5,966,0.0000
2025-11-10 07:45:00,7044.5,7050,7040.5,7047,2100,0.0000
2025-11-10 07:50:00,7047.5,7047.5,7030,7035,2601,0.0000
2025-11-10 07:55:00,7034.5,7034.5,7021.5,7025,3455,0.0000
2025-11-10 08:00:00,7022.5,7029.5,7020,7021,5190,0.0000
2025-11-10 08:05:00,7022,7054.5,7021,7047.5,6139,0.0000
2025-11-10 08:10:00,7047.5,7050,7041,7046,1363,0.0000
2025-11-10 08:15:00,7045,7048.5,7038,7045.5,1393,0.0000
2025-11-10 08:20:00,7047.5,7048,7035,7040,1136,0.0000
2025-11-10 08:25:00,7036,7044.5,7032,7034,1116,0.0000
2025-11-10 08:30:00,7036.5,7046.5,7032,7035.5,1117,2.4289
2025-11-10 08:35:00,7035,7045.5,7035,7038,1477,2.3857
2025-11-10 08:40:00,7038,7044.5,7028.5,7040,2687,2.4624
2025-11-10 08:45:00,7037,7050,7036,7046.5,3486,2.8919
2025-11-10 08:50:00,7044.5,7045.5,7032,7033.5,2981,2.2689
2025-11-10 08:55:00,7033.5,7042,7032,7040.5,1188,2.2901
2025-11-10 09:00:00,7039.5,7041,7032.5,7038,1948,2.1024
2025-11-10 09:05:00,7038.5,7042,7034,7041,2024,2.1399
2025-11-10 09:10:00,7041,7042.5,7032.5,7037.5,2821,1.8969
2025-11-10 09:15:00,7039,7062,7030,7055,11246,2.8266
2025-11-10 09:20:00,7058,7061,7041,7043.5,6597,2.5854
2025-11-10 09:25:00,7045,7049,7033,7041.5,4513,2.2235
2025-11-10 09:30:00,7042,7042,7027.5,7035,6800,1.5125
2025-11-10 09:35:00,7035,7035,7021,7029.5,8004,0.6804
2025-11-10 09:40:00,7030,7031,7021.5,7027,12072,0.0059
2025-11-10 09:45:00,7027,7028,6990,7000.5,30637,-2.0661
2025-11-10 09:50:00,7003,7025,7000,7013.5,15698,-2.3798
2025-11-10 09:55:00,7012,7020,7002.5,7011,9230,-2.5589
2025-11-11 03:45:00,7020,7120,7016.5,7103.5,27896,3.4243
2025-11-11 03:50:00,7109.5,7149,7107,7139,15184,9.3110
2025-11-11 03:55:00,7139,7145,7110.5,7141,12057,12.6693
2025-11-11 04:00:00,7142,7179.5,7115,7133.5,18416,13.6318
2025-11-11 04:05:00,7134,7160,7120,7137,5802,13.7131
2025-11-11 04:10:00,7135,7139.5,7095,7114.5,8203,11.5473
2025-11-11 04:15:00,7112.5,7122,7100,7106,4584,8.9537
2025-11-11 04:20:00,7108,7146,7102.5,7136.5,4884,8.6964
2025-11-11 04:25:00,7135.5,7145,7108,7122,3229,7.0253
2025-11-11 04:30:00,7121.5,7142.5,7119,7135,3458,6.2947
2025-11-11 04:35:00,7133.5,7149,7133.5,7138,2738,5.5394
2025-11-11 04:40:00,7138.5,7147,7130.5,7140.5,3692,4.7636
2025-11-11 04:45:00,7140,7152,7135,7148.5,3142,4.3557
2025-11-11 04:50:00,7149.5,7168,7145,7155,5720,4.0943
2025-11-11 04:55:00,7155,7159,7135.5,7146,3733,2.9397
2025-11-11 05:00:00,7146,7149.5,7142,7146,1638,1.8536
2025-11-11 05:05:00,7146,7147,7138,7138.5,2324,0.3845
2025-11-11 05:10:00,7138,7144.5,7138,7144,1157,-0.4189
2025-11-11 05:15:00,7141,7143.5,7137,7137,742,-1.5598
2025-11-11 05:20:00,7137,7154,7137,7150.5,3174,-1.5405
2025-11-11 05:25:00,7150,7173,7147.5,7166,4683,-0.6639
2025-11-11 05:30:00,7164,7186.5,7163,7169.5,4700,-0.0602
2025-11-11 05:35:00,7168.5,7172,7153.5,7158,1619,-0.6164
2025-11-11 05:40:00,7158,7171.5,7154,7170,928,-0.3692
2025-11-11 05:45:00,7168,7179,7156,7157,2017,-1.2261
2025-11-11 05:50:00,7159.5,7166,7154,7160,1215,-1.7062
2025-11-11 05:55:00,7162.5,7170,7154,7157.5,1347,-2.2721
2025-11-11 06:00:00,7157,7207,7156.5,7205,6859,0.3340
2025-11-11 06:05:00,7202,7215,7190.5,7215,6158,2.3977
2025-11-11 06:10:00,7215,7215,7199.5,7208.5,5359,2.9547
2025-11-11 06:15:00,7208.5,7220,7206,7209.5,4849,3.0102
2025-11-11 06:20:00,7211.5,7211.5,7179,7191.5,5788,1.5289
2025-11-11 06:25:00,7191.5,7205.5,7182,7184.5,3174,-0.1394
2025-11-11 06:30:00,7184.5,7184.5,7162,7175.5,4629,-1.9647
2025-11-11 06:35:00,7168,7184,7168,7181,2509,-2.8630
2025-11-11 06:40:00,7181,7199.5,7173.5,7198,3172,-2.3927
2025-11-11 06:45:00,7198,7225,7191,7204.5,9263,-1.7539
2025-11-11 06:50:00,7204.5,7216.5,7199.5,7212,2295,-0.9752
2025-11-11 06:55:00,7215.5,7248,7208,7248,13815,1.6715
2025-11-11 07:00:00,7248,7268.5,7238,7265.5,8945,4.1658
2025-11-11 07:05:00,7267.5,7286,7246,7280.5,9845,6.2647
2025-11-11 07:10:00,7284,7295,7273.5,7281,9632,7.0663
2025-11-11 07:15:00,7284,7290,7262.5,7273.5,6941,6.4859
2025-11-11 07:20:00,7275,7280,7245.5,7248,7830,3.9063
2025-11-11 07:25:00,7248,7251,7246.5,7247,1964,1.7636
2025-11-11 07:30:00,7247,7259.5,7247,7254.5,2859,0.5453
2025-11-11 07:35:00,7254.5,7260,7251,7253.5,1188,-0.5733
2025-11-11 07:40:00,7255,7274,7255,7268,3123,-0.5803
2025-11-11 07:45:00,7267,7290,7227.5,7240,13335,-2.6012
2025-11-11 07:50:00,7241.5,7250,7224.5,7247.5,5697,-3.5069
2025-11-11 07:55:00,7247,7255,7231,7235,5860,-4.9346
2025-11-11 08:00:00,7235,7250,7230,7238.5,2672,-5.5822
2025-11-11 08:05:00,7239,7243.5,7213.5,7220.5,4647,-7.0663
2025-11-11 08:10:00,7217,7219,7183,7198,12638,-9.2679
2025-11-11 08:15:00,7198,7205,7191.5,7199,3546,-10.2831
2025-11-11 08:20:00,7198.5,7213,7191.5,7199.5,5735,-10.5099
2025-11-11 08:25:00,7199.5,7204,7195,7200,2151,-10.2067
2025-11-11 08:30:00,7198,7203.5,7185,7189.5,3549,-10.2658
2025-11-11 08:35:00,7187.5,7198.5,7179.5,7192,3722,-9.6961
2025-11-11 08:40:00,7191.5,7205,7190,7196.5,3311,-8.6122
2025-11-11 08:45:00,7196,7202,7196,7199.5,2910,-7.3390
2025-11-11 08:50:00,7200,7204,7196,7201.5,2479,-6.0610
2025-11-11 08:55:00,7200,7205,7196.5,7197,4866,-5.2480
2025-11-11 09:00:00,7196.5,7205,7196.5,7197.5,2132,-4.4380
2025-11-11 09:05:00,7200.5,7205,7196,7199.5,2560,-3.5665
2025-11-11 09:10:00,7196.5,7199.5,7170.5,7189,5123,-3.4917
2025-11-11 09:15:00,7189,7196.5,7162,7163,4372,-4.9015
2025-11-11 09:20:00,7162,7169,7145,7150,6807,-6.3270
2025-11-11 09:25:00,7150,7158,7142,7147,4806,-7.0350
2025-11-11 09:30:00,7147,7157,7146,7150,5316,-6.8573
2025-11-11 09:35:00,7150,7155.5,7143.5,7153,6080,-6.1182
2025-11-11 09:40:00,7150,7156.5,7138,7141,10965,-6.0092
2025-11-11 09:45:00,7141,7146.5,7136,7139,12418,-5.6490
2025-11-11 09:50:00,7139,7173,7116,7170,22969,-3.0313
2025-11-11 09:55:00,7169.5,7195,7153.5,7170,4116,-1.1074
2025-11-12 03:45:00,7184.5,7229.5,7152.5,7215,24853,3.1551
2025-11-12 03:50:00,7215.5,7255,7210.5,7232,14309,6.8659
2025-11-12 03:55:00,7234,7244,7224.5,7238.5,4822,9.3506
2025-11-12 04:00:00,7237,7245.5,7170,7175,11177,6.4480
2025-11-12 04:05:00,7175,7184,7143,7158,9298,3.2738
2025-11-12 04:10:00,7160,7170,7139.5,7158,7315,1.1732
2025-11-12 04:15:00,7154,7158,7139.5,7152,3288,-0.5300
2025-11-12 04:20:00,7152,7154.5,7145,7146.5,1947,-1.8618
2025-11-12 04:25:00,7145.5,7160,7140,7154,2267,-2.0569
2025-11-12 04:30:00,7151,7154,7140,7140.5,3991,-2.8650
2025-11-12 04:35:00,7142,7144.5,7117,7117.5,7360,-4.6146
2025-11-12 04:40:00,7118,7125,7107.5,7113,5093,-5.6715
2025-11-12 04:45:00,7114,7126,7110.5,7115.5,1694,-5.7791
2025-11-12 04:50:00,7115,7123.5,7100,7118,3202,-5.2730
2025-11-12 04:55:00,7118,7125,7116.5,7124.5,1054,-4.1413
2025-11-12 05:00:00,7122,7136.5,7122,7130,3298,-2.7314
2025-11-12 05:05:00,7128.5,7129.5,7120,7121,1149,-2.1401
2025-11-12 05:10:00,7121,7128.5,7120,7124,845,-1.3221
2025-11-12 05:15:00,7121.5,7130,7118.5,7130,1548,-0.2105
2025-11-12 05:20:00,7127.5,7134.5,7120,7129,1725,0.5806
2025-11-12 05:25:00,7127,7129,7120,7122.5,738,0.7771
2025-11-12 05:30:00,7122.5,7142,7122,7138,1520,1.9927
2025-11-12 05:35:00,7137,7139,7130,7131.5,823,2.3749
2025-11-12 05:40:00,7133.5,7134,7113,7115,1829,1.5711
2025-11-12 05:45:00,7115,7137,7110,7132,3215,2.2004
2025-11-12 05:50:00,7132,7142,7132,7133,1170,2.6688
2025-11-12 05:55:00,7133,7138.5,7127.5,7135.5,947,3.1015
2025-11-12 06:00:00,7134,7138,7132,7134.5,884,3.2586
2025-11-12 06:05:00,7137.5,7139,7132,7133,538,3.1955
