datetime,open,high,low,close,volume
2026-01-13 09:15:00,7299,7300,7260,7294,6264
2026-01-13 09:20:00,7291.5,7296.5,7275,7275.5,2441
2026-01-13 09:25:00,7277.5,7277.5,7266,7268.5,1093
2026-01-13 09:30:00,7267.5,7271.5,7250,7253.5,3336
2026-01-13 09:35:00,7253.5,7260,7251.5,7255,1015
2026-01-13 09:40:00,7253,7254,7240,7247,2830
2026-01-13 09:45:00,7250,7279,7250,7260.5,4178
2026-01-13 09:50:00,7260.5,7273.5,7259.5,7264.5,1225
2026-01-13 09:55:00,7263,7263,7246.5,7249.5,754
2026-01-13 10:00:00,7251.5,7264,7245,7260.5,1984
2026-01-13 10:05:00,7258.5,7272,7249,7272,25131
2026-01-13 10:10:00,7272,7272,7253,7255,1350
2026-01-13 10:15:00,7253.5,7260,7249.5,7256.5,2706
2026-01-13 10:20:00,7256.5,7270.5,7254.5,7255,2197
2026-01-13 10:25:00,7257.5,7273.5,7257.5,7273.5,1122
2026-01-13 10:30:00,7273,7282.5,7267,7273,26405
2026-01-13 10:35:00,7273.5,7278,7259,7275,7406
2026-01-13 10:40:00,7275,7276.5,7265,7275.5,4228
2026-01-13 10:45:00,7275,7277,7269,7275.5,1218
2026-01-13 10:50:00,7275,7277,7261,7263,786
2026-01-13 10:55:00,7263,7274,7258,7273,1437
2026-01-13 11:00:00,7271.5,7274,7263,7272,1385
2026-01-13 11:05:00,7272,7274,7266.5,7273.5,1207
2026-01-13 11:10:00,7273,7278.5,7268.5,7278.5,1019
2026-01-13 11:15:00,7278.5,7284,7275.5,7275.5,2460
2026-01-13 11:20:00,7279.5,7280,7273,7274.5,1111
2026-01-13 11:25:00,7274.5,7276,7270.5,7274.5,1077
2026-01-13 11:30:00,7274.5,7281.5,7272.5,7281,1255
2026-01-13 11:35:00,7281.5,7283,7278,7280,1140
2026-01-13 11:40:00,7280,7283,7275,7275,1558
2026-01-13 11:45:00,7273,7302.5,7273,7300,8428
2026-01-13 11:50:00,7300,7310.5,7292,7298,8878
2026-01-13 11:55:00,7298,7302.5,7292,7296,3200
2026-01-13 12:00:00,7294.5,7295.5,7282,7287,1945
2026-01-13 12:05:00,7287,7288.5,7282,7288.5,1015
2026-01-13 12:10:00,7288,7288.5,7280,7281.5,908
2026-01-13 12:15:00,7281.5,7284,7274,7280,1928
2026-01-13 12:20:00,7278,7280.5,7271.5,7274.5,798
2026-01-13 12:25:00,7274.5,7285,7274.5,7285,4331
2026-01-13 12:30:00,7285,7290,7280,7287.5,2160
2026-01-13 12:35:00,7287.5,7288.5,7278,7280.5,963
2026-01-13 12:40:00,7278.5,7282,7271,7274,1873
2026-01-13 12:45:00,7274,7274,7267.5,7271.5,1543
2026-01-13 12:50:00,7273,7273,7267,7267,741
2026-01-13 12:55:00,7268.5,7268.5,7256,7257,1146
2026-01-13 13:00:00,7258,7258,7252,7255,1572
2026-01-13 13:05:00,7254,7266,7251,7263.5,3179
2026-01-13 13:10:00,7265.5,7266,7255,7263,25507
2026-01-13 13:15:00,7263,7268.5,7258.5,7259,2128
2026-01-13 13:20:00,7255.5,7269,7255,7262.5,1801
2026-01-13 13:25:00,7262,7262,7255,7260,1385
2026-01-13 13:30:00,7257.5,7264.5,7255.5,7264.5,892
2026-01-13 13:35:00,7264.5,7269.5,7262.5,7264.5,2666
2026-01-13 13:40:00,7264,7270.5,7258,7268.5,1365
2026-01-13 13:45:00,7268.5,7274,7266.5,7270,1473
2026-01-13 13:50:00,7270.5,7278,7267.5,7277,1665
2026-01-13 13:55:00,7277,7277,7268.5,7270.5,1555
2026-01-13 14:00:00,7271.5,7272,7265,7272,2621
2026-01-13 14:05:00,7272.5,7274,7265.5,7268.5,500
2026-01-13 14:10:00,7269,7270,7265,7266.5,1584
2026-01-13 14:15:00,7266.5,7277,7266,7272.5,1467
2026-01-13 14:20:00,7272.5,7273.5,7266,7266,827
2026-01-13 14:25:00,7268,7271.5,7265,7267,4244
2026-01-13 14:30:00,7267,7286,7266.5,7279,4191
2026-01-13 14:35:00,7279,7292,7277,7288.5,1448
2026-01-13 14:40:00,7289,7299,7288.5,7297,6929
2026-01-13 14:45:00,7297,7309.5,7296.5,7305.5,3754
2026-01-13 14:50:00,7305.5,7315.5,7304,7314,2873
2026-01-13 14:55:00,7314,7320,7305,7315,5070
2026-01-13 15:00:00,7314.5,7317.5,7309.5,7310.5,5158
2026-01-13 15:05:00,7310.5,7320.5,7309.5,7319,6528
2026-01-13 15:10:00,7317.5,7321.5,7312,7313,7134
2026-01-13 15:15:00,7313.5,7313.5,7305.5,7311.5,8204
2026-01-13 15:20:00,7311.5,7313,7303,7311,9826
2026-01-13 15:25:00,7311,7318.5,7300,7308,5436
2026-01-14 09:15:00,7258,7314.5,7242.5,7287,33116
2026-01-14 09:20:00,7284,7306.5,7277.5,7297.5,21420
2026-01-14 09:25:00,7297,7305.5,7284,7296,12981
2026-01-14 09:30:00,7296.5,7302,7288,7291.5,4807
2026-01-14 09:35:00,7289.5,7295,7283,7283,4764
2026-01-14 09:40:00,7283,7284.5,7273.5,7274.5,9381
2026-01-14 09:45:00,7274.5,7280,7255,7255,6600
2026-01-14 09:50:00,7256,7290,7255,7290,5457
2026-01-14 09:55:00,7288.5,7302,7285,7298.5,3201
2026-01-14 10:00:00,7299,7305,7297.5,7302,2727
2026-01-14 10:05:00,7299.5,7302.5,7286,7289,1436
2026-01-14 10:10:00,7287.5,7288.5,7280.5,7283.5,1363
2026-01-14 10:15:00,7281,7281,7269.5,7273,1935
2026-01-14 10:20:00,7273,7275.5,7266.5,7272.5,1948
2026-01-14 10:25:00,7272,7290.5,7271.5,7290.5,1916
2026-01-14 10:30:00,7290.5,7291,7280.5,7285,1906
2026-01-14 10:35:00,7285.5,7287.5,7285,7286.5,983
2026-01-14 10:40:00,7286.5,7291,7271,7273.5,2589
2026-01-14 10:45:00,7273,7285,7270,7280.5,3140
2026-01-14 10:50:00,7279,7289,7279,7285,1401
2026-01-14 10:55:00,7285,7285,7277.5,7283.5,1011
2026-01-14 11:00:00,7282.5,7296.5,7282.5,7290,3991
2026-01-14 11:05:00,7290,7293.5,7283.5,7287,1284
2026-01-14 11:10:00,7287,7288,7276,7278.5,1033
2026-01-14 11:15:00,7278.5,7288,7278.5,7283.5,1558
2026-01-14 11:20:00,7283.5,7284.5,7280.5,7281.5,1303
2026-01-14 11:25:00,7281.5,7298,7277,7292,4896
2026-01-14 11:30:00,7292,7298,7290.5,7297.5,2296
2026-01-14 11:35:00,7298,7303.5,7290.5,7298.5,2375
2026-01-14 11:40:00,7298.5,7303.5,7291,7291,1141
2026-01-14 11:45:00,7291,7302.5,7290,7302.5,1728
2026-01-14 11:50:00,7302.5,7309.5,7300.5,7305,3016
2026-01-14 11:55:00,7305,7316.5,7305,7316.5,3167
2026-01-14 12:00:00,7316.5,7325.5,7313.5,7320,4341
2026-01-14 12:05:00,7320,7321,7310,7310.5,6233
2026-01-14 12:10:00,7310.5,7311,7301.5,7303,2573
2026-01-14 12:15:00,7303,7310,7300.5,7310,2177
2026-01-14 12:20:00,7310,7317,7310,7314.5,1866
2026-01-14 12:25:00,7314.5,7315,7307.5,7311,1034
2026-01-14 12:30:00,7311,7315.5,7307.5,7315,2637
2026-01-14 12:35:00,7313,7315.5,7310.5,7313,1388
