datetime,open,high,low,close,volume
2025-12-08 03:45:00,160.9,162.81,160.87,162.33,648356
2025-12-08 03:50:00,162.34,162.54,161.99,162.22,433692
2025-12-08 03:55:00,162.22,162.35,161.87,162.15,224572
2025-12-08 04:00:00,162.11,162.13,161.6,161.66,297872
2025-12-08 04:05:00,161.61,162.93,161.5,162.63,388181
2025-12-08 04:10:00,162.6,162.9,162.5,162.68,434280
2025-12-08 04:15:00,162.7,162.74,162.32,162.45,218439
2025-12-08 04:20:00,162.49,162.52,161.85,161.96,297871
2025-12-08 04:25:00,161.96,162.2,161.81,161.95,130076
2025-12-08 04:30:00,161.95,161.99,161.6,161.7,187279
2025-12-08 04:35:00,161.65,161.97,161.61,161.83,101525
2025-12-08 04:40:00,161.79,161.88,161.65,161.88,89697
2025-12-08 04:45:00,161.89,162.07,161.8,161.81,77178
2025-12-08 04:50:00,161.84,162.24,161.81,162.05,84700
2025-12-08 04:55:00,162.05,162.09,161.8,161.91,66100
2025-12-08 05:00:00,161.9,161.93,161.65,161.84,80629
2025-12-08 05:05:00,161.84,161.9,161.63,161.77,64032
2025-12-08 05:10:00,161.72,161.77,161.35,161.5,192910
2025-12-08 05:15:00,161.51,161.64,161.45,161.55,67872
2025-12-08 05:20:00,161.54,161.61,161.38,161.5,143413
2025-12-08 05:25:00,161.5,161.65,161.35,161.49,57417
2025-12-08 05:30:00,161.45,161.5,161.31,161.42,49210
2025-12-08 05:35:00,161.42,161.42,160.86,160.92,179175
2025-12-08 05:40:00,160.92,160.98,160.74,160.89,68031
2025-12-08 05:45:00,160.93,161.05,160.85,160.86,99810
2025-12-08 05:50:00,160.86,161,160.82,161,58563
2025-12-08 05:55:00,161,161,160.83,160.88,57267
2025-12-08 06:00:00,160.86,161.01,160.85,160.9,52844
2025-12-08 06:05:00,160.85,160.97,160.39,160.75,286661
2025-12-08 06:10:00,160.7,160.75,160.45,160.58,330664
2025-12-08 06:15:00,160.58,160.58,160.14,160.25,216630
2025-12-08 06:20:00,160.17,160.27,159.76,159.83,139261
2025-12-08 06:25:00,159.84,159.84,159.61,159.65,48903
2025-12-08 06:30:00,159.62,159.84,159.55,159.67,135494
2025-12-08 06:35:00,159.65,159.67,159.28,159.4,127275
2025-12-08 06:40:00,159.4,159.43,159.18,159.37,152501
2025-12-08 06:45:00,159.35,159.59,159.3,159.48,53288
2025-12-08 06:50:00,159.48,159.7,159.32,159.4,78428
2025-12-08 06:55:00,159.4,159.4,159.16,159.27,63013
2025-12-08 07:00:00,159.3,159.34,159.15,159.27,59343
2025-12-08 07:05:00,159.25,159.26,158.66,158.71,163852
2025-12-08 07:10:00,158.73,158.9,158.62,158.66,107779
2025-12-08 07:15:00,158.75,158.75,158.51,158.7,50147
2025-12-08 07:20:00,158.62,158.7,158.54,158.54,41252
2025-12-08 07:25:00,158.54,159.09,158.51,158.95,184859
2025-12-08 07:30:00,158.94,158.95,158.63,158.95,51125
2025-12-08 07:35:00,158.95,159.16,158.61,158.82,171456
2025-12-08 07:40:00,158.82,159.07,158.75,159,48662
2025-12-08 07:45:00,159,159.05,158.77,158.87,44691
2025-12-08 07:50:00,158.87,158.93,158.66,158.8,71680
2025-12-08 07:55:00,158.81,158.93,158.58,158.9,54120
2025-12-08 08:00:00,158.94,158.99,158.15,158.36,125370
2025-12-08 08:05:00,158.36,158.58,158.3,158.49,62056
2025-12-08 08:10:00,158.49,158.9,158.48,158.63,54710
2025-12-08 08:15:00,158.69,158.87,158.6,158.74,48535
2025-12-08 08:20:00,158.74,158.94,158.74,158.81,62981
2025-12-08 08:25:00,158.85,158.97,158.65,158.87,58262
2025-12-08 08:30:00,158.86,158.9,158.59,158.75,50293
2025-12-08 08:35:00,158.75,158.85,158.63,158.8,49222
2025-12-08 08:40:00,158.8,158.99,158.67,158.75,85235
2025-12-08 08:45:00,158.74,158.95,158.59,158.94,123027
2025-12-08 08:50:00,158.9,158.94,158.35,158.47,154619
2025-12-08 08:55:00,158.48,158.72,158.28,158.62,62677
2025-12-08 09:00:00,158.62,158.64,158.17,158.18,84460
2025-12-08 09:05:00,158.2,158.33,157.9,158,168545
2025-12-08 09:10:00,158.03,158.09,157.9,158.09,67799
2025-12-08 09:15:00,158,158.25,157.93,158.18,61249
2025-12-08 09:20:00,158.18,158.37,158.14,158.22,67380
2025-12-08 09:25:00,158.22,158.39,158.15,158.26,58141
2025-12-08 09:30:00,158.33,159.45,158.33,159.16,384831
2025-12-08 09:35:00,159.2,159.42,159.16,159.32,231319
2025-12-08 09:40:00,159.33,159.5,159.13,159.25,395986
2025-12-08 09:45:00,159.25,159.43,159,159.26,527783
2025-12-08 09:50:00,159.26,159.39,159.07,159.29,485849
2025-12-08 09:55:00,159.26,161.46,159,159.31,393108
2025-12-09 03:45:00,159.17,159.17,156.83,157.03,552362
2025-12-09 03:50:00,157.04,157.64,156.94,157.45,159092
