datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,915,916.9,907.6,908.5,39203,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,908.5,913.2,908.2,911.65,28199,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,910.9,911.8,909.3,910,9280,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,909.95,910.15,906,906.25,10723,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,906,908,905.3,908,16138,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,907.8,908.1,906.25,907.4,12973,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,907.5,908.25,906.6,906.75,8566,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,906.7,907.8,906,907,8536,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,906.85,907.2,906.5,906.6,2177,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,906.6,906.9,905.15,905.35,5426,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,905.7,906.65,904.05,904.15,6132,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,904.15,904.85,903.6,903.6,10538,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,903.6,904.3,903.05,903.9,5081,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,903.9,904,901.55,901.75,5090,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,901.85,902.6,901.15,902,13713,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,902,904.05,900.3,900.75,9874,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,900.75,900.95,896.15,896.2,30687,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,896.2,897.8,892.55,894.75,54641,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,894.75,896.35,894.45,896,13309,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:50:00,896,896.3,894.6,895,4498,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:55:00,895.4,897.1,894.25,894.35,79780,0.0000,0.0000,0.00,0.0000,100.00
