datetime,open,high,low,close,volume
2026-01-13 09:15:00,303.1,303.35,301.6,302.7,253161
2026-01-13 09:20:00,302.65,303.7,302.35,303.55,160071
2026-01-13 09:25:00,303.5,303.5,301.6,301.7,115185
2026-01-13 09:30:00,301.7,302.7,301.1,301.3,159357
2026-01-13 09:35:00,301.45,302.3,301.25,301.25,75402
2026-01-13 09:40:00,301.25,301.6,300.6,301.6,80558
2026-01-13 09:45:00,301.65,302.8,301.65,302.2,68160
2026-01-13 09:50:00,302.25,302.65,301.85,301.85,42881
2026-01-13 09:55:00,301.85,301.9,301,301.05,47072
2026-01-13 10:00:00,301.1,301.95,300.75,301.5,151404
2026-01-13 10:05:00,301.55,301.85,301.45,301.6,17252
2026-01-13 10:10:00,301.55,301.75,301,301,20512
2026-01-13 10:15:00,301,301.35,300.8,301.15,27227
2026-01-13 10:20:00,301.15,302.3,301.05,302.05,32075
2026-01-13 10:25:00,302,302.7,302,302.5,30932
2026-01-13 10:30:00,302.5,302.65,302.15,302.15,29295
2026-01-13 10:35:00,302.25,302.3,301.75,301.75,24537
2026-01-13 10:40:00,301.7,301.8,301.3,301.8,16746
2026-01-13 10:45:00,301.55,301.55,300.9,301.35,495006
2026-01-13 10:50:00,301.2,301.65,300.3,300.5,123745
2026-01-13 10:55:00,300.5,300.85,300.45,300.65,35428
2026-01-13 11:00:00,300.8,300.95,300.5,300.7,38401
2026-01-13 11:05:00,300.7,300.85,300.35,300.55,28757
2026-01-13 11:10:00,300.5,301.45,300.5,301.25,214604
2026-01-13 11:15:00,301.25,301.5,300.55,300.7,85371
2026-01-13 11:20:00,300.7,301,300.6,300.9,16185
2026-01-13 11:25:00,300.9,301,300.8,300.8,13423
2026-01-13 11:30:00,300.85,301,300.7,300.8,20062
2026-01-13 11:35:00,300.7,300.8,300.35,300.55,20578
2026-01-13 11:40:00,300.65,300.9,300.45,300.45,18297
2026-01-13 11:45:00,300.5,300.9,300.4,300.5,90064
2026-01-13 11:50:00,300.5,300.85,300.15,300.2,165432
2026-01-13 11:55:00,300.2,300.8,300.2,300.35,12670
2026-01-13 12:00:00,300.5,300.5,299.9,300,103018
2026-01-13 12:05:00,300.05,300.55,300,300.4,143858
2026-01-13 12:10:00,300.4,300.45,299.55,299.55,73554
2026-01-13 12:15:00,299.55,300.3,299.4,300.25,175259
2026-01-13 12:20:00,300.25,300.25,299.9,300.1,31812
2026-01-13 12:25:00,300.15,301.25,300.1,301.2,53823
2026-01-13 12:30:00,301.25,301.8,300.75,301.55,73889
2026-01-13 12:35:00,301.6,301.7,301.3,301.5,29177
2026-01-13 12:40:00,301.5,301.5,301,301.45,40929
2026-01-13 12:45:00,301.4,301.4,300.6,300.8,36881
2026-01-13 12:50:00,300.8,300.85,300.15,300.65,36765
2026-01-13 12:55:00,300.65,300.65,299.85,299.9,33657
2026-01-13 13:00:00,299.85,300,299.6,299.9,60619
2026-01-13 13:05:00,299.8,300.35,299.65,300.3,38290
2026-01-13 13:10:00,300.2,300.45,299.75,299.8,74835
2026-01-13 13:15:00,299.85,300.05,299.6,299.85,42890
2026-01-13 13:20:00,299.85,300.65,299.6,300.4,57673
2026-01-13 13:25:00,300.45,300.7,300,300.5,27377
2026-01-13 13:30:00,300.5,300.5,299.85,300.45,41362
2026-01-13 13:35:00,300.45,300.6,300.1,300.4,46263
2026-01-13 13:40:00,300.4,300.75,299.85,300.7,36912
2026-01-13 13:45:00,300.75,300.9,300.45,300.8,36947
2026-01-13 13:50:00,300.8,301.4,300.65,301.15,56553
2026-01-13 13:55:00,301.15,301.15,300.75,300.9,30188
2026-01-13 14:00:00,300.75,300.75,299.8,299.9,30108
2026-01-13 14:05:00,299.85,299.9,299.3,299.3,96556
2026-01-13 14:10:00,299.4,299.4,298.7,299.25,76700
2026-01-13 14:15:00,299.2,299.55,298.95,299.35,26703
2026-01-13 14:20:00,299.35,299.35,298.7,298.75,35392
2026-01-13 14:25:00,298.8,299.5,298.65,298.9,47743
2026-01-13 14:30:00,298.9,300.25,298.75,300.05,83792
2026-01-13 14:35:00,299.85,300.35,299.7,300.25,39845
2026-01-13 14:40:00,300.15,300.95,300.05,300.75,72597
2026-01-13 14:45:00,300.65,301.15,300.5,300.95,85322
2026-01-13 14:50:00,300.8,301.45,300.7,301,100774
2026-01-13 14:55:00,301,301.75,300.8,301.5,99702
2026-01-13 15:00:00,301.45,301.75,301.25,301.3,89201
2026-01-13 15:05:00,301.3,301.7,301.3,301.65,41513
2026-01-13 15:10:00,301.65,301.9,301.45,301.65,130939
2026-01-13 15:15:00,301.5,302.4,301.4,302,171547
2026-01-13 15:20:00,301.85,302.4,301.85,302.3,143377
2026-01-13 15:25:00,302.25,302.3,302,302.15,159812
2026-01-14 09:15:00,302.55,302.95,301.15,301.9,159685
2026-01-14 09:20:00,301.8,302.75,301.75,301.85,106669
2026-01-14 09:25:00,301.85,302,301.4,301.65,54751
2026-01-14 09:30:00,301.55,302.3,301.5,301.85,72614
2026-01-14 09:35:00,301.9,302,301,301.1,134564
2026-01-14 09:40:00,301.2,301.5,300.65,300.85,67385
2026-01-14 09:45:00,300.9,301.8,300.9,301.4,114872
2026-01-14 09:50:00,301.35,301.65,301.3,301.55,47536
2026-01-14 09:55:00,301.55,301.95,301.35,301.5,45206
2026-01-14 10:00:00,301.5,302.4,301.3,302.4,151902
2026-01-14 10:05:00,302.35,302.4,301.75,302.2,169558
2026-01-14 10:10:00,302.15,302.2,300.8,300.85,217027
2026-01-14 10:15:00,300.85,300.9,299.35,299.85,144147
2026-01-14 10:20:00,299.85,300.2,299.5,300.1,68621
2026-01-14 10:25:00,300.15,301.2,300.05,301.2,56983
2026-01-14 10:30:00,301.15,301.5,300.8,301.15,47977
2026-01-14 10:35:00,301.2,301.45,300.8,301,46752
2026-01-14 10:40:00,301,301.5,300.8,300.9,55421
2026-01-14 10:45:00,300.9,301.45,300.8,301.4,25113
2026-01-14 10:50:00,301.35,301.75,301.1,301.65,66923
2026-01-14 10:55:00,301.6,302.3,301.5,302.3,67408
2026-01-14 11:00:00,302.35,303,302.3,302.85,113803
2026-01-14 11:05:00,302.85,302.95,302.35,302.6,74529
2026-01-14 11:10:00,302.65,303,302.5,302.75,59344
2026-01-14 11:15:00,302.75,302.95,302.6,302.85,56929
2026-01-14 11:20:00,302.8,303,302.45,302.45,66927
2026-01-14 11:25:00,302.55,302.6,302.3,302.35,76382
2026-01-14 11:30:00,302.3,302.4,302.15,302.3,54437
2026-01-14 11:35:00,302.3,302.4,301.95,302.05,72529
2026-01-14 11:40:00,301.95,302.25,301.1,301.1,71801
2026-01-14 11:45:00,301.15,301.8,301.1,301.45,100870
2026-01-14 11:50:00,301.4,301.45,300.75,300.8,165679
2026-01-14 11:55:00,300.85,301,300.65,300.8,51777
2026-01-14 12:00:00,300.8,301.2,300.8,301.2,67357
2026-01-14 12:05:00,301.2,301.55,301,301.3,106513
2026-01-14 12:10:00,301.3,302.05,301.05,301.65,199691
2026-01-14 12:15:00,301.8,301.8,300.75,301.75,73059
2026-01-14 12:20:00,301.75,302.15,301.25,301.4,230240
2026-01-14 12:25:00,301.3,301.45,301.15,301.35,31449
2026-01-14 12:30:00,301.4,301.8,301.35,301.55,73200
2026-01-14 12:35:00,301.45,301.7,301.45,301.6,26604
2026-01-14 12:40:00,301.65,301.75,301.35,301.45,32672
2026-01-14 12:45:00,301.35,302.7,301.35,302.6,239336
2026-01-14 12:50:00,302.6,303.2,302.5,303.1,59532
2026-01-14 12:55:00,303.05,303.5,302.5,303.45,147542
2026-01-14 13:00:00,303.45,304.3,303.4,303.95,253538
2026-01-14 13:05:00,303.95,304.4,303.6,304.15,210796
2026-01-14 13:10:00,304.2,306.8,304.15,306.6,576543
2026-01-14 13:15:00,306.65,308,306.6,306.8,436806
2026-01-14 13:20:00,306.75,307.2,306.1,306.4,193307
2026-01-14 13:25:00,306.45,307.2,306,307,108330
2026-01-14 13:30:00,307.05,307.4,306.4,306.85,272932
2026-01-14 13:35:00,306.85,307.7,306.8,307.15,161565
2026-01-14 13:40:00,307.2,307.8,307.1,307.1,141133
2026-01-14 13:45:00,307.15,307.35,306.5,306.9,99809
2026-01-14 13:50:00,306.9,307.1,305.95,306.3,176337
2026-01-14 13:55:00,306.35,306.75,305.85,306.5,108341
2026-01-14 14:00:00,306.55,307.2,306.55,306.6,103097
2026-01-14 14:05:00,306.6,306.9,306.2,306.35,109135
2026-01-14 14:10:00,306.35,306.9,305.85,306.7,264603
2026-01-14 14:15:00,306.7,306.75,305.7,306.3,119084
2026-01-14 14:20:00,306.25,307.05,305.85,306.4,441249
2026-01-14 14:25:00,306.4,306.5,305.8,305.95,287938
2026-01-14 14:30:00,305.95,306.3,305.55,306.2,126126
2026-01-14 14:35:00,306.25,306.6,306.05,306.4,116638
2026-01-14 14:40:00,306.45,306.95,306.4,306.85,116776
2026-01-14 14:45:00,306.75,307.2,306.7,306.95,115289
2026-01-14 14:50:00,307,308.4,307,307.8,345748
2026-01-14 14:55:00,307.8,308.1,307.5,307.5,202733
2026-01-14 15:00:00,307.65,307.75,307.1,307.35,191150
2026-01-14 15:05:00,307.4,307.9,307.2,307.75,211870
2026-01-14 15:10:00,307.8,308.15,307.5,307.8,290157
2026-01-14 15:15:00,307.85,308,307.5,307.65,384415
2026-01-14 15:20:00,307.7,307.95,307.5,307.85,329765
2026-01-14 15:25:00,307.85,308,307.5,307.9,448970
2026-01-16 09:15:00,307.7,311,307.7,310.65,622763
2026-01-16 09:20:00,310.8,310.85,309.4,309.7,403471
2026-01-16 09:25:00,309.65,310.05,309.1,309.2,210200
2026-01-16 09:30:00,309.15,309.6,308.6,309.55,227754
2026-01-16 09:35:00,309.5,310.9,309.3,310,455888
2026-01-16 09:40:00,309.9,312,309.85,311.95,467611
2026-01-16 09:45:00,311.95,313.2,311.85,312.45,670845
2026-01-16 09:50:00,312.45,313.2,312.3,312.75,332397
2026-01-16 09:55:00,312.85,312.9,312.45,312.5,141097
2026-01-16 10:00:00,312.55,313.35,312.3,312.95,325261
