datetime,open,high,low,close,volume
2026-01-13 09:15:00,269.15,269.6,267.5,269.25,882036
2026-01-13 09:20:00,269.25,269.75,268.35,268.85,365309
2026-01-13 09:25:00,268.85,269.4,267.6,267.7,346010
2026-01-13 09:30:00,267.7,268.1,264.1,264.65,757017
2026-01-13 09:35:00,264.65,266,264.1,264.4,453532
2026-01-13 09:40:00,264.45,265.2,263.8,265.2,263435
2026-01-13 09:45:00,265.25,266.55,265.25,265.5,224055
2026-01-13 09:50:00,265.6,266,265.1,265.45,85632
2026-01-13 09:55:00,265.45,265.5,264.45,264.85,106836
2026-01-13 10:00:00,264.8,266.4,264.4,266.2,151136
2026-01-13 10:05:00,266.3,266.75,265.9,266.4,105980
2026-01-13 10:10:00,266.4,266.4,265.3,265.35,83632
2026-01-13 10:15:00,265.3,266,265.2,265.7,74460
2026-01-13 10:20:00,265.75,266.9,265.7,266.3,119666
2026-01-13 10:25:00,266.5,268,266.45,267.7,239503
2026-01-13 10:30:00,267.65,267.7,266.6,266.85,116857
2026-01-13 10:35:00,266.65,266.85,266,266.05,83043
2026-01-13 10:40:00,266,266.2,265.55,266,72584
2026-01-13 10:45:00,265.9,266.15,265.4,266.1,116705
2026-01-13 10:50:00,266.1,266.9,266,266.25,49753
2026-01-13 10:55:00,266.25,266.25,265.6,265.6,56645
2026-01-13 11:00:00,265.75,266,265.3,265.6,84368
2026-01-13 11:05:00,265.6,266.2,265.1,266.2,95476
2026-01-13 11:10:00,266.2,266.5,265.8,266,43451
2026-01-13 11:15:00,266,266.3,265.7,265.9,35762
2026-01-13 11:20:00,265.8,266,265.5,265.85,40809
2026-01-13 11:25:00,265.85,266.7,265.75,266.35,55133
2026-01-13 11:30:00,266.35,266.65,266.1,266.5,30057
2026-01-13 11:35:00,266.55,266.6,265.8,265.9,38979
2026-01-13 11:40:00,265.9,266.15,265.45,265.7,39551
2026-01-13 11:45:00,265.55,265.7,265.25,265.6,27701
2026-01-13 11:50:00,265.6,266.2,265.05,266,95330
2026-01-13 11:55:00,266.1,266.6,265.6,265.75,47440
2026-01-13 12:00:00,265.7,266.25,265.5,265.95,46974
2026-01-13 12:05:00,266,266,265.55,265.75,30228
2026-01-13 12:10:00,265.7,266.05,265.55,265.6,79383
2026-01-13 12:15:00,265.6,266.15,265.35,266.15,38360
2026-01-13 12:20:00,266.1,266.25,265.2,265.25,92934
2026-01-13 12:25:00,265.25,265.65,265.05,265.65,62145
2026-01-13 12:30:00,265.65,265.8,264.6,264.8,96755
2026-01-13 12:35:00,264.8,265.5,264.45,264.85,105193
2026-01-13 12:40:00,264.85,264.9,264.2,264.75,80026
2026-01-13 12:45:00,264.7,264.75,264.2,264.4,27289
2026-01-13 12:50:00,264.45,264.8,264.2,264.7,34221
2026-01-13 12:55:00,264.75,265,264.15,264.2,70639
2026-01-13 13:00:00,264.2,264.55,263.9,264.4,97786
2026-01-13 13:05:00,264.4,264.65,264.05,264.65,52574
2026-01-13 13:10:00,264.6,266.15,264.45,265.75,278504
2026-01-13 13:15:00,265.75,265.9,265.1,265.4,40070
2026-01-13 13:20:00,265.4,266.35,265.35,265.95,118508
2026-01-13 13:25:00,265.95,265.95,265.4,265.5,47450
2026-01-13 13:30:00,265.5,265.5,264.85,265.2,56528
2026-01-13 13:35:00,265.3,265.8,265.25,265.5,49467
2026-01-13 13:40:00,265.5,265.75,264.9,265.75,60869
2026-01-13 13:45:00,265.75,265.75,265.2,265.5,38698
2026-01-13 13:50:00,265.5,266.05,265.35,265.75,54565
2026-01-13 13:55:00,265.6,265.7,265.1,265.25,59160
2026-01-13 14:00:00,265.3,265.3,264.2,264.3,67853
