datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,37165,37185,37150,37150,181,0.0000
2025-11-10 05:50:00,37155,37155,37120,37140,135,0.0000
2025-11-10 05:55:00,37135,37180,37115,37125,105,0.0000
2025-11-10 06:00:00,37120,37135,37075,37075,104,0.0000
2025-11-10 06:05:00,37085,37155,37070,37070,195,0.0000
2025-11-10 06:10:00,37085,37120,37085,37115,44,0.0000
2025-11-10 06:15:00,37100,37135,37100,37135,47,0.0000
2025-11-10 06:20:00,37135,37185,37130,37160,80,0.0000
2025-11-10 06:25:00,37150,37200,37150,37170,92,0.0000
2025-11-10 06:30:00,37170,37175,37170,37175,22,0.0000
2025-11-10 06:35:00,37170,37195,37165,37170,29,0.0000
2025-11-10 06:40:00,37190,37190,37170,37170,6,0.0000
2025-11-10 06:45:00,37165,37200,37155,37200,146,0.0000
2025-11-10 06:50:00,37190,37200,37180,37180,82,0.0000
2025-11-10 06:55:00,37180,37200,37175,37190,55,0.0000
2025-11-10 07:00:00,37175,37180,37155,37155,24,0.0000
2025-11-10 07:05:00,37160,37160,37130,37160,64,0.0000
2025-11-10 07:10:00,37160,37170,37155,37155,24,0.0000
2025-11-10 07:15:00,37170,37175,37155,37165,44,0.0000
2025-11-10 07:20:00,37155,37165,37130,37130,57,0.0000
2025-11-10 07:25:00,37140,37175,37130,37145,106,0.0000
2025-11-10 07:30:00,37160,37300,37160,37295,722,0.0000
2025-11-10 07:35:00,37295,37320,37280,37315,175,0.0000
2025-11-10 07:40:00,37315,37315,37260,37260,85,0.0000
2025-11-10 07:45:00,37270,37295,37250,37275,74,0.0000
2025-11-10 07:50:00,37260,37295,37260,37280,46,0.0000
2025-11-10 07:55:00,37280,37355,37280,37300,408,0.0000
2025-11-10 08:00:00,37310,37370,37310,37370,142,0.0000
2025-11-10 08:05:00,37345,37415,37345,37410,187,0.0000
2025-11-10 08:10:00,37390,37410,37375,37375,122,0.0000
2025-11-10 08:15:00,37370,37405,37350,37385,115,0.0000
