datetime,open,high,low,close,volume
2026-01-13 09:15:00,150.99,150.99,150.22,150.58,494144
2026-01-13 09:20:00,150.56,151.49,150.32,151.39,582238
2026-01-13 09:25:00,151.4,151.47,150.56,150.6,461246
2026-01-13 09:30:00,150.6,151.1,150.39,150.5,305362
2026-01-13 09:35:00,150.5,150.99,150.38,150.43,154223
2026-01-13 09:40:00,150.43,150.71,150.08,150.71,276476
2026-01-13 09:45:00,150.75,151.59,150.75,151.22,521459
2026-01-13 09:50:00,151.25,151.48,151.01,151.08,277930
2026-01-13 09:55:00,151.08,151.09,150.64,150.82,153144
2026-01-13 10:00:00,150.82,151.28,150.7,151.19,162326
2026-01-13 10:05:00,151.2,151.25,151.02,151.03,79714
2026-01-13 10:10:00,151.06,151.15,150.9,150.9,169432
2026-01-13 10:15:00,150.92,151.06,150.78,150.89,165709
2026-01-13 10:20:00,150.93,151.47,150.93,151.18,176933
2026-01-13 10:25:00,151.21,151.37,151.08,151.33,160209
2026-01-13 10:30:00,151.35,151.43,151.05,151.13,152275
2026-01-13 10:35:00,151.15,151.29,150.84,150.87,153560
2026-01-13 10:40:00,150.93,151,150.71,151,119304
2026-01-13 10:45:00,151,151.14,150.83,151.1,75813
2026-01-13 10:50:00,151.11,151.2,150.8,150.9,170998
2026-01-13 10:55:00,150.91,151.07,150.83,150.99,83580
2026-01-13 11:00:00,150.95,151.07,150.84,151.07,61512
2026-01-13 11:05:00,151.07,151.07,150.7,150.94,125376
2026-01-13 11:10:00,150.92,150.97,150.82,150.95,48684
2026-01-13 11:15:00,150.97,151.1,150.81,150.85,69271
2026-01-13 11:20:00,150.86,151.1,150.8,150.98,51086
2026-01-13 11:25:00,150.99,151.15,150.99,151.06,67840
2026-01-13 11:30:00,151.05,151.19,150.92,151.04,52043
2026-01-13 11:35:00,151.05,151.08,150.75,150.82,98376
2026-01-13 11:40:00,150.82,150.99,150.71,150.74,76096
2026-01-13 11:45:00,150.75,150.86,150.35,150.43,298108
2026-01-13 11:50:00,150.44,150.5,150.13,150.24,147255
2026-01-13 11:55:00,150.24,150.5,150.23,150.31,81081
2026-01-13 12:00:00,150.31,150.31,150.06,150.15,148114
2026-01-13 12:05:00,150.18,150.23,150.04,150.11,61803
2026-01-13 12:10:00,150.14,150.26,149.91,149.95,147647
2026-01-13 12:15:00,149.94,150.35,149.82,150.35,135876
2026-01-13 12:20:00,150.35,150.36,149.93,150.06,106037
2026-01-13 12:25:00,150.06,150.5,150,150.5,419874
2026-01-13 12:30:00,150.5,150.75,150.32,150.57,437583
2026-01-13 12:35:00,150.6,150.67,150.43,150.45,151436
2026-01-13 12:40:00,150.45,150.49,150.1,150.45,61858
2026-01-13 12:45:00,150.46,150.46,150.03,150.06,143064
2026-01-13 12:50:00,150.11,150.13,149.71,149.87,168286
2026-01-13 12:55:00,149.96,149.96,149.6,149.67,116612
2026-01-13 13:00:00,149.67,149.87,149.5,149.57,217694
2026-01-13 13:05:00,149.66,149.9,149.5,149.9,104592
2026-01-13 13:10:00,149.89,149.98,149.65,149.65,99544
2026-01-13 13:15:00,149.69,149.75,149.5,149.61,94296
2026-01-13 13:20:00,149.68,150.07,149.52,149.8,135982
2026-01-13 13:25:00,149.88,150.06,149.6,149.98,181317
2026-01-13 13:30:00,149.97,149.99,149.76,149.97,61320
2026-01-13 13:35:00,149.96,150.09,149.83,150,65307
2026-01-13 13:40:00,150.02,150.2,149.76,150.19,103504
2026-01-13 13:45:00,150.19,150.19,149.97,150.14,53660
2026-01-13 13:50:00,150.14,150.5,150.12,150.4,113789
2026-01-13 13:55:00,150.42,150.42,150.13,150.2,88311
2026-01-13 14:00:00,150.17,150.2,149.72,149.79,83928
2026-01-13 14:05:00,149.8,149.87,149.6,149.66,70667
2026-01-13 14:10:00,149.68,149.68,149.33,149.47,107185
2026-01-13 14:15:00,149.5,149.73,149.36,149.56,114348
2026-01-13 14:20:00,149.61,149.62,149.24,149.3,116215
2026-01-13 14:25:00,149.3,149.55,149.26,149.36,158856
2026-01-13 14:30:00,149.41,150.08,149.33,149.92,144665
2026-01-13 14:35:00,149.92,150.03,149.76,149.93,117890
2026-01-13 14:40:00,149.98,150.4,149.92,150.27,165166
2026-01-13 14:45:00,150.27,150.58,150.19,150.43,233238
2026-01-13 14:50:00,150.47,150.88,150.43,150.84,273439
2026-01-13 14:55:00,150.84,150.94,150.58,150.88,256955
2026-01-13 15:00:00,150.86,151,150.58,150.8,388343
2026-01-13 15:05:00,150.8,150.9,150.75,150.83,132556
2026-01-13 15:10:00,150.83,150.95,150.78,150.81,304832
2026-01-13 15:15:00,150.88,150.92,150.76,150.84,255930
2026-01-13 15:20:00,150.85,150.98,150.73,150.91,336524
2026-01-13 15:25:00,150.92,151.1,150.8,151.07,406217
2026-01-14 09:15:00,151.3,151.59,150.96,151.23,570108
2026-01-14 09:20:00,151.21,151.54,151,151.38,370917
2026-01-14 09:25:00,151.38,151.54,151.25,151.5,209337
