datetime,open,high,low,close,volume
2025-12-08 03:45:00,380.9,380.9,378.5,378.7,49066
2025-12-08 03:50:00,378.7,378.7,378,378.45,41123
2025-12-08 03:55:00,378.4,378.5,377.6,377.8,33055
2025-12-08 04:00:00,377.85,378.15,377.6,377.8,24999
2025-12-08 04:05:00,377.75,377.8,376.7,377.2,62214
2025-12-08 04:10:00,377.2,377.4,377,377.3,21379
2025-12-08 04:15:00,377.3,377.3,376.7,376.95,23322
2025-12-08 04:20:00,376.95,377,376.6,376.8,15265
2025-12-08 04:25:00,376.7,376.8,376.25,376.65,14693
2025-12-08 04:30:00,376.7,376.85,376.4,376.5,10135
2025-12-08 04:35:00,376.5,376.55,376.15,376.25,15505
2025-12-08 04:40:00,376.25,376.75,376.1,376.7,19981
2025-12-08 04:45:00,376.75,376.95,376.2,376.5,13749
2025-12-08 04:50:00,376.5,377.1,376.25,376.75,22596
2025-12-08 04:55:00,376.75,377.15,376.65,377.15,10207
2025-12-08 05:00:00,377.15,377.35,376.3,376.5,26235
2025-12-08 05:05:00,376.5,377.2,376.35,377.1,15934
2025-12-08 05:10:00,377.1,377.3,376.55,376.85,13345
2025-12-08 05:15:00,376.85,376.85,376.25,376.45,5518
2025-12-08 05:20:00,376.45,376.75,376.25,376.7,5919
2025-12-08 05:25:00,376.7,377,376.6,376.85,9760
2025-12-08 05:30:00,376.85,377,376.75,376.9,7520
2025-12-08 05:35:00,376.9,376.9,376.5,376.65,16980
2025-12-08 05:40:00,376.65,377,376.5,376.85,8985
2025-12-08 05:45:00,376.75,377.4,376.65,377.15,11638
2025-12-08 05:50:00,377.15,377.55,376.85,377.35,24505
2025-12-08 05:55:00,377.35,378.15,377.25,378.15,63957
2025-12-08 06:00:00,378.15,378.25,378,378.15,15449
2025-12-08 06:05:00,378.15,378.15,378,378.1,16466
2025-12-08 06:10:00,378.1,378.25,377.95,378.25,40616
2025-12-08 06:15:00,378.25,379,378.1,378.9,17404
2025-12-08 06:20:00,378.95,378.95,378.5,378.55,21104
2025-12-08 06:25:00,378.55,378.55,377.8,378,19052
2025-12-08 06:30:00,378,378,377.6,377.75,10610
2025-12-08 06:35:00,377.75,378,377.15,377.35,49697
2025-12-08 06:40:00,377.35,378,376.8,378,64273
2025-12-08 06:45:00,378,378,377.45,377.5,58025
2025-12-08 06:50:00,377.45,377.5,376.9,377.2,37039
2025-12-08 06:55:00,377.15,377.9,377.15,377.8,212736
2025-12-08 07:00:00,377.8,377.8,377.35,377.65,14256
2025-12-08 07:05:00,377.55,378.15,377.2,378.1,55554
2025-12-08 07:10:00,378,378.15,378,378,15624
2025-12-08 07:15:00,378,378.2,377.65,378.1,39816
2025-12-08 07:20:00,378.1,378.2,378,378.1,14412
2025-12-08 07:25:00,378.1,378.1,377.05,377.45,144319
2025-12-08 07:30:00,377.3,378,377.05,378,50053
2025-12-08 07:35:00,377.95,378,377.8,377.95,11209
2025-12-08 07:40:00,377.95,378.1,377.8,378,10429
2025-12-08 07:45:00,378,378,377.25,377.55,20745
2025-12-08 07:50:00,377.55,377.55,376.05,376.3,43204
2025-12-08 07:55:00,376.3,376.35,376,376.3,24328
2025-12-08 08:00:00,376.3,376.3,375.55,375.9,54089
2025-12-08 08:05:00,375.75,375.9,375.55,375.9,17436
2025-12-08 08:10:00,375.9,377.2,375.75,376.9,207317
2025-12-08 08:15:00,376.9,377.15,376.7,377.1,19650
2025-12-08 08:20:00,377.1,377.15,376.5,377.1,33001
2025-12-08 08:25:00,377.05,377.1,376.45,377,99719
2025-12-08 08:30:00,376.85,377,375.95,376.2,76118
2025-12-08 08:35:00,376.1,377,375.95,376.6,175299
2025-12-08 08:40:00,376.6,376.8,376,376,26159
2025-12-08 08:45:00,376.1,376.4,375.6,376.25,74598
2025-12-08 08:50:00,376.25,376.45,376.05,376.25,7595
2025-12-08 08:55:00,376.25,376.4,376,376.3,17348
2025-12-08 09:00:00,376.3,376.3,376,376.1,10691
2025-12-08 09:05:00,376.1,376.2,376,376.1,19786
2025-12-08 09:10:00,376.05,376.55,376,376.5,20981
2025-12-08 09:15:00,376.5,376.8,376.2,376.8,26924
2025-12-08 09:20:00,376.8,377.2,376.5,376.65,87006
2025-12-08 09:25:00,376.6,376.65,376,376.35,33629
2025-12-08 09:30:00,376.35,377,376.3,376.85,74828
2025-12-08 09:35:00,376.85,379.35,376.8,377,476610
2025-12-08 09:40:00,377,378,376.85,377.2,347467
2025-12-08 09:45:00,377.2,377.3,376.8,376.85,85443
2025-12-08 09:50:00,376.85,377.35,376.85,377.1,161749
2025-12-08 09:55:00,377.1,377.25,375.9,376.85,145610
2025-12-09 03:45:00,375.1,376.5,373.85,374.45,185733
2025-12-09 03:50:00,374.4,374.5,373.35,374.2,74707
2025-12-09 03:55:00,374.15,374.9,374,374.65,94767
2025-12-09 04:00:00,374.65,374.65,373.6,374.15,122581
2025-12-09 04:05:00,374.1,374.75,373.85,374.25,42230
2025-12-09 04:10:00,374.25,374.75,374.05,374.15,32083
2025-12-09 04:15:00,374.05,374.55,374,374.4,36881
2025-12-09 04:20:00,374.45,374.55,373.9,374,52663
2025-12-09 04:25:00,374,374.1,373.8,373.9,22884
2025-12-09 04:30:00,373.85,374.9,373.7,374.6,49593
2025-12-09 04:35:00,374.45,375.4,374.4,374.95,55353
2025-12-09 04:40:00,374.95,375.15,374.7,374.85,26790
2025-12-09 04:45:00,374.85,376,374.75,375.75,30863
2025-12-09 04:50:00,375.75,376.75,375.75,376.55,44350
2025-12-09 04:55:00,376.55,376.8,375.75,376,40918
2025-12-09 05:00:00,376,376,375.4,375.4,24514
2025-12-09 05:05:00,375.4,375.5,375,375.4,20463
2025-12-09 05:10:00,375.5,377.05,375.4,376.45,223984
2025-12-09 05:15:00,376.45,377.35,376.35,377.15,110224
2025-12-09 05:20:00,377.15,377.25,377,377.25,23203
2025-12-09 05:25:00,377.25,377.45,376.8,377.25,39772
2025-12-09 05:30:00,377.4,377.4,377.15,377.25,10794
2025-12-09 05:35:00,377.25,377.8,377.15,377.75,31327
2025-12-09 05:40:00,377.75,378.7,377.7,378.6,42174
2025-12-09 05:45:00,378.6,378.7,378.4,378.55,33269
2025-12-09 05:50:00,378.55,378.55,378.25,378.4,16703
2025-12-09 05:55:00,378.3,378.4,377.95,378.3,24563
2025-12-09 06:00:00,378.25,378.4,378.15,378.25,17129
2025-12-09 06:05:00,378.25,378.35,378.05,378.1,9701
2025-12-09 06:10:00,378.1,378.45,377.8,377.8,39309
2025-12-09 06:15:00,377.8,378.65,377.6,378.5,37922
2025-12-09 06:20:00,378.55,378.7,378.5,378.65,13835
2025-12-09 06:25:00,378.65,379.3,378.6,378.9,55884
2025-12-09 06:30:00,378.9,379.3,378.9,379.1,27802
2025-12-09 06:35:00,379,379.7,379,379.6,20134
2025-12-09 06:40:00,379.5,379.8,379.5,379.75,23138
2025-12-09 06:45:00,379.75,379.75,379.55,379.7,12069
2025-12-09 06:50:00,379.7,380,379.6,380,26713
2025-12-09 06:55:00,380,380.9,379.85,380.2,131031
2025-12-09 07:00:00,380.2,380.25,379.9,380.2,23394
2025-12-09 07:05:00,380.15,380.7,379.55,379.65,278963
2025-12-09 07:10:00,379.55,379.65,379.2,379.4,7907
2025-12-09 07:15:00,379.4,380,379.05,379.75,30422
2025-12-09 07:20:00,379.9,379.9,378.95,379.7,185909
2025-12-09 07:25:00,379.7,380.05,379.1,379.8,92681
2025-12-09 07:30:00,379.8,380,379.5,379.7,16959
2025-12-09 07:35:00,379.7,380,379.7,379.95,38914
2025-12-09 07:40:00,380,380,379.7,379.75,6590
2025-12-09 07:45:00,379.75,380.45,379.65,380.3,22562
2025-12-09 07:50:00,380.45,380.45,380,380.4,17626
2025-12-09 07:55:00,380.4,380.5,380.05,380.1,14857
2025-12-09 08:00:00,380.25,380.55,380.15,380.5,35445
2025-12-09 08:05:00,380.55,380.55,380.2,380.4,74238
2025-12-09 08:10:00,380.35,380.5,380.15,380.15,18723
2025-12-09 08:15:00,380.15,380.6,380.1,380.5,24496
2025-12-09 08:20:00,380.6,380.7,380.45,380.45,30139
2025-12-09 08:25:00,380.4,380.6,380.4,380.6,8091
2025-12-09 08:30:00,380.6,381.2,380.3,381,118762
2025-12-09 08:35:00,380.9,381,380.3,380.75,24334
2025-12-09 08:40:00,380.7,380.75,380.35,380.35,23532
2025-12-09 08:45:00,380.45,380.5,379.6,379.75,83132
2025-12-09 08:50:00,379.75,379.8,378.95,378.95,32999
