datetime,open,high,low,close,volume
2026-01-13 09:15:00,1710,1717,1701,1703.1,92985
2026-01-13 09:20:00,1703.1,1709,1697.9,1707,19729
2026-01-13 09:25:00,1706.9,1707,1700.7,1700.8,17629
2026-01-13 09:30:00,1700.4,1700.4,1693.3,1697.7,15408
2026-01-13 09:35:00,1699,1703.8,1696.1,1696.8,8163
2026-01-13 09:40:00,1696.5,1697.7,1690.6,1691.8,11840
2026-01-13 09:45:00,1692.9,1697.3,1687.6,1687.6,26198
2026-01-13 09:50:00,1687.8,1694.1,1687.2,1689,9900
2026-01-13 09:55:00,1690,1690,1683.1,1687.1,9298
2026-01-13 10:00:00,1687.1,1693.5,1686.3,1692.1,10117
2026-01-13 10:05:00,1692.4,1694.2,1690.1,1692.8,5031
2026-01-13 10:10:00,1692.7,1697.4,1687,1690.1,69852
2026-01-13 10:15:00,1690.2,1696.6,1688.5,1696.3,104630
2026-01-13 10:20:00,1696.3,1705.8,1696.3,1702,97066
2026-01-13 10:25:00,1702,1711.3,1701.7,1708.7,50282
2026-01-13 10:30:00,1708.7,1714.6,1708.7,1710.1,52941
2026-01-13 10:35:00,1710.2,1710.4,1705.4,1706.3,18820
2026-01-13 10:40:00,1706,1707.9,1703.4,1706.6,114716
2026-01-13 10:45:00,1706.4,1707.1,1704.3,1706.5,15468
2026-01-13 10:50:00,1706.5,1709.9,1706.1,1706.5,9172
2026-01-13 10:55:00,1706.5,1706.5,1704,1704.7,7468
2026-01-13 11:00:00,1704.7,1705.6,1701,1702.3,18932
2026-01-13 11:05:00,1702.3,1712.4,1701.3,1712.1,48457
2026-01-13 11:10:00,1711.8,1715,1709.3,1709.9,134985
2026-01-13 11:15:00,1709.8,1712.5,1708,1712.2,19222
2026-01-13 11:20:00,1712,1714.9,1709.9,1711.2,84474
2026-01-13 11:25:00,1711.1,1713.3,1710.5,1712.4,8348
2026-01-13 11:30:00,1712.5,1713,1710,1713,16045
2026-01-13 11:35:00,1713,1713.8,1710.6,1711.8,13823
2026-01-13 11:40:00,1711.8,1715,1711.7,1713,119959
2026-01-13 11:45:00,1713,1713.4,1708.3,1708.9,17814
2026-01-13 11:50:00,1708.9,1709.3,1703.5,1703.9,36537
2026-01-13 11:55:00,1703.9,1706.1,1702,1702.8,27122
2026-01-13 12:00:00,1702.8,1704.2,1696.1,1698.2,53204
2026-01-13 12:05:00,1698.5,1701.5,1691,1700,196480
2026-01-13 12:10:00,1700,1700.8,1696.8,1696.9,26460
2026-01-13 12:15:00,1697.3,1701.1,1696.1,1700.6,11485
2026-01-13 12:20:00,1700.7,1704.1,1700,1700.3,16495
2026-01-13 12:25:00,1700.4,1703.9,1699.6,1703.6,16058
2026-01-13 12:30:00,1703.6,1703.6,1699.9,1702.1,14402
2026-01-13 12:35:00,1702,1702.9,1697.3,1699,26049
2026-01-13 12:40:00,1699,1702.4,1696.5,1701.4,20235
2026-01-13 12:45:00,1701.6,1702.1,1697.9,1699,21212
2026-01-13 12:50:00,1698.9,1700.3,1697.6,1698.8,14642
2026-01-13 12:55:00,1699.5,1699.5,1696.5,1696.9,19582
2026-01-13 13:00:00,1697.8,1698.5,1695,1697.7,20634
2026-01-13 13:05:00,1697.7,1699.7,1696.3,1698.6,18430
2026-01-13 13:10:00,1698.6,1702.3,1698.5,1700.3,23770
2026-01-13 13:15:00,1700.9,1701.4,1699,1701,11074
2026-01-13 13:20:00,1701,1704,1699.8,1701,13526
2026-01-13 13:25:00,1700.9,1700.9,1697,1698.7,14435
2026-01-13 13:30:00,1698.6,1699.2,1696.2,1698.4,9439
2026-01-13 13:35:00,1698,1700.1,1697.2,1697.5,10915
2026-01-13 13:40:00,1698,1700.2,1697.5,1699.4,6591
2026-01-13 13:45:00,1699.4,1700.1,1697.7,1700,6015
2026-01-13 13:50:00,1699.6,1702.7,1699.4,1702.4,8977
2026-01-13 13:55:00,1702.4,1702.7,1700.3,1701,6027
2026-01-13 14:00:00,1701,1704,1700.6,1702.7,7295
2026-01-13 14:05:00,1702.7,1703.1,1701.1,1701.3,6379
2026-01-13 14:10:00,1701.3,1702,1699.3,1701.9,21602
2026-01-13 14:15:00,1701.9,1703,1700,1702.9,8848
2026-01-13 14:20:00,1702.8,1703,1692.6,1695,58488
2026-01-13 14:25:00,1695.4,1697,1693,1695.3,22883
2026-01-13 14:30:00,1695.3,1702.6,1693.9,1698.2,16558
2026-01-13 14:35:00,1698.4,1702.7,1697.9,1700.9,24504
2026-01-13 14:40:00,1700.9,1704.8,1699.7,1704.6,27280
2026-01-13 14:45:00,1704.7,1706.2,1702.6,1704,9673
2026-01-13 14:50:00,1704.3,1708.2,1704,1705.9,83414
2026-01-13 14:55:00,1706,1707.6,1702.3,1706.5,43392
2026-01-13 15:00:00,1706.5,1710,1706.1,1706.1,18912
2026-01-13 15:05:00,1706.4,1708.4,1706.1,1707.9,14244
2026-01-13 15:10:00,1708,1710.4,1707.6,1710.1,41858
2026-01-13 15:15:00,1710.1,1710.4,1707,1708.1,49680
2026-01-13 15:20:00,1708.1,1708.8,1707.1,1708.1,35150
2026-01-13 15:25:00,1708.2,1709.8,1707,1708.6,31781
2026-01-14 09:15:00,1710,1729.2,1705.7,1717.8,201267
2026-01-14 09:20:00,1717.8,1721.1,1713.3,1714.7,38001
2026-01-14 09:25:00,1714.8,1718.1,1714,1715.1,18495
2026-01-14 09:30:00,1715.2,1716.9,1711.2,1713.2,29333
2026-01-14 09:35:00,1713.3,1713.4,1707.2,1707.7,20377
2026-01-14 09:40:00,1707.8,1709.8,1702.6,1704.2,22509
2026-01-14 09:45:00,1704.2,1709.4,1703.9,1708.3,19844
2026-01-14 09:50:00,1708.2,1711.3,1707.3,1711.3,8887
2026-01-14 09:55:00,1711.2,1714.3,1706.6,1706.9,6707
2026-01-14 10:00:00,1707.1,1707.7,1702.1,1703,10967
2026-01-14 10:05:00,1703.1,1704,1697.1,1699.5,25845
2026-01-14 10:10:00,1699.7,1700.3,1695.5,1695.9,9052
2026-01-14 10:15:00,1695.9,1699.1,1692.2,1695.1,25501
2026-01-14 10:20:00,1695.1,1695.9,1693.4,1694.5,9099
2026-01-14 10:25:00,1694.4,1705.9,1694.4,1704.5,54307
2026-01-14 10:30:00,1704.4,1704.6,1701,1703.3,11122
2026-01-14 10:35:00,1703.2,1703.6,1697.4,1699.7,17002
2026-01-14 10:40:00,1699.7,1704.5,1699.6,1702.4,22466
2026-01-14 10:45:00,1702.4,1708.9,1701.6,1708.9,25440
2026-01-14 10:50:00,1709,1709,1704.2,1705.4,14573
2026-01-14 10:55:00,1705.4,1706.5,1700.3,1705.5,48506
2026-01-14 11:00:00,1705.3,1705.8,1701.6,1705.7,10447
2026-01-14 11:05:00,1705,1706,1702.5,1704.5,8689
2026-01-14 11:10:00,1704.5,1706.6,1698.5,1699.8,16032
2026-01-14 11:15:00,1699.6,1706,1698.8,1703.9,8333
2026-01-14 11:20:00,1703.8,1705.9,1702.8,1703.8,6282
2026-01-14 11:25:00,1703.7,1708.9,1703.3,1707.3,9518
2026-01-14 11:30:00,1707.3,1708.2,1706,1708,8521
2026-01-14 11:35:00,1708.1,1708.6,1705.4,1707.1,7210
2026-01-14 11:40:00,1707.1,1707.7,1704.3,1704.4,8360
2026-01-14 11:45:00,1704.4,1705.7,1702.6,1705.5,5885
