datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,522.1,523,518,518.1,127602,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,518.15,518.3,516.15,517.7,71577,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,517.65,517.65,515.85,516.4,42186,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,516.4,518.05,516.05,517.95,22020,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,517.9,517.95,517.1,517.45,11337,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,517.4,518.7,517.1,518.55,12272,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,518.3,518.65,516.8,516.8,11902,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,516.8,517.85,516.7,517.35,15426,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,517.3,517.9,517.05,517.8,10861,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,517.75,519,517.45,518.55,23577,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,518.45,519.45,518.15,519.4,14891,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,519.3,520,517.85,518,7379,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,517.95,519.9,517.95,519.85,12611,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,519.6,519.85,518.15,518.15,27659,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,518.2,519.65,518.05,518.5,18256,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,518.45,518.8,517.85,518.2,3228,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,518.2,518.35,517.85,517.95,2800,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,517.9,518.15,517.7,517.85,3026,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,517.85,518.5,517.8,518.25,4483,0.0000,0.0000,0.00,0.0000,100.00
