datetime,open,high,low,close,volume
2026-01-13 09:15:00,251.9,253.9,251.3,253,184153
2026-01-13 09:20:00,253,253,252.05,252.25,36000
2026-01-13 09:25:00,252.2,252.55,249.95,250.2,81279
2026-01-13 09:30:00,250.25,250.5,249.05,249.5,63106
2026-01-13 09:35:00,249.65,250.05,248.95,248.95,32836
2026-01-13 09:40:00,248.9,248.95,248.15,248.5,50069
2026-01-13 09:45:00,248.7,250.95,248.7,250.4,69176
2026-01-13 09:50:00,250.35,250.45,249.7,249.7,13417
2026-01-13 09:55:00,249.7,249.85,248.45,248.9,33756
2026-01-13 10:00:00,248.85,249.85,248.6,249.65,11438
2026-01-13 10:05:00,249.8,250.6,249.65,250.45,18933
2026-01-13 10:10:00,250.5,250.5,249.45,249.5,38965
2026-01-13 10:15:00,249.5,249.65,249.1,249.35,7820
2026-01-13 10:20:00,249.35,250.3,249.25,249.95,12235
2026-01-13 10:25:00,250.1,250.85,249.95,250.55,15951
2026-01-13 10:30:00,250.6,250.9,250.15,250.2,14058
2026-01-13 10:35:00,250.2,250.3,249,249.1,23635
2026-01-13 10:40:00,249.05,249.35,248.9,249.3,10908
2026-01-13 10:45:00,249.05,249.2,248.7,249,12746
2026-01-13 10:50:00,248.85,249.25,248.65,248.9,17729
2026-01-13 10:55:00,248.7,249,248.5,248.6,19198
2026-01-13 11:00:00,248.8,248.9,248.25,248.8,19337
2026-01-13 11:05:00,248.65,248.9,248.5,248.7,6509
2026-01-13 11:10:00,248.8,249.4,248.7,249.05,12338
2026-01-13 11:15:00,249.05,249.75,249,249.7,18015
2026-01-13 11:20:00,249.6,249.8,249.25,249.5,5217
2026-01-13 11:25:00,249.5,250.2,249.4,250.15,11209
2026-01-13 11:30:00,250.15,250.5,250,250,7170
2026-01-13 11:35:00,250.1,250.3,249.95,249.95,8344
2026-01-13 11:40:00,249.95,250.1,249.4,249.4,14796
2026-01-13 11:45:00,249.4,249.7,249.2,249.55,9832
2026-01-13 11:50:00,249.55,249.8,249.35,249.5,2214
2026-01-13 11:55:00,249.5,249.8,249.5,249.55,3792
2026-01-13 12:00:00,249.55,249.65,249.3,249.45,15340
2026-01-13 12:05:00,249.45,249.45,249.2,249.3,2074
2026-01-13 12:10:00,249.2,249.45,248.8,248.85,20926
2026-01-13 12:15:00,248.9,249.95,248.9,249.75,16149
2026-01-13 12:20:00,249.75,249.95,249.1,249.1,11101
2026-01-13 12:25:00,249.3,250.45,249.05,250.3,37173
2026-01-13 12:30:00,250.4,250.8,250.35,250.5,15614
2026-01-13 12:35:00,250.5,250.7,250.1,250.1,24353
2026-01-13 12:40:00,250.2,250.45,249.85,250.2,10445
2026-01-13 12:45:00,250.05,250.3,249.85,250.2,25339
2026-01-13 12:50:00,250.2,250.5,250.2,250.25,3778
2026-01-13 12:55:00,250.35,251.55,250.05,250.8,124716
2026-01-13 13:00:00,250.8,251.55,250.6,251.4,95494
2026-01-13 13:05:00,251.25,251.8,251.1,251.55,56034
2026-01-13 13:10:00,251.5,252.05,251.3,251.85,53223
2026-01-13 13:15:00,251.95,252.3,251.4,252.3,24280
2026-01-13 13:20:00,252.15,252.65,251.9,252.45,21124
2026-01-13 13:25:00,252.35,252.8,252.05,252.4,23536
2026-01-13 13:30:00,252.35,252.6,251.85,252.25,37284
2026-01-13 13:35:00,252.2,252.45,251.9,252.2,12513
2026-01-13 13:40:00,252.2,252.45,251.65,251.75,77597
2026-01-13 13:45:00,251.75,252.5,251.6,252.45,45895
2026-01-13 13:50:00,252.45,252.95,252.3,252.8,24811
2026-01-13 13:55:00,252.85,252.85,252.35,252.6,5944
2026-01-13 14:00:00,252.45,252.75,252.4,252.5,8169
2026-01-13 14:05:00,252.45,252.65,252.15,252.25,13560
2026-01-13 14:10:00,252.25,252.25,251.1,251.75,104591
2026-01-13 14:15:00,251.9,252,251.7,251.8,3821
2026-01-13 14:20:00,251.8,251.9,251.05,251.25,17986
2026-01-13 14:25:00,251.2,251.7,251.1,251.3,23667
2026-01-13 14:30:00,251.3,252.55,251.05,252.05,42539
2026-01-13 14:35:00,252,252.45,251.5,252.2,52317
