datetime,open,high,low,close,volume
2025-06-02 09:15:00,2016.5,2024.4,2011.6,2019.1,3105
2025-06-02 09:20:00,2017.9,2022.6,2015.6,2018.5,4727
2025-06-02 09:25:00,2019.5,2022.5,2017,2020.3,1418
2025-06-02 09:30:00,2019.2,2023.2,2016.7,2019.5,726
2025-06-02 09:35:00,2020.1,2021,2016.7,2020.3,497
2025-06-02 09:40:00,2020.8,2024.4,2019.7,2021.5,451
2025-06-02 09:45:00,2021.5,2024.9,2017.6,2024,2886
2025-06-02 09:50:00,2025,2032.6,2023,2029,1636
2025-06-02 09:55:00,2028,2030.6,2020.1,2025.9,15394
2025-06-02 10:00:00,2026,2027.9,2023,2025.7,7365
2025-06-02 10:05:00,2025.8,2031.5,2023.5,2031.4,7811
2025-06-02 10:10:00,2031.9,2032,2027.7,2030.3,1512
2025-06-02 10:15:00,2030.9,2031.8,2027.7,2028.5,5580
2025-06-02 10:20:00,2028.2,2029.7,2025.6,2029,3174
2025-06-02 10:25:00,2028.6,2035.3,2028.5,2035,684
2025-06-02 10:30:00,2035.1,2039.1,2034.6,2039.1,466
2025-06-02 10:35:00,2037.7,2047.6,2037.7,2047.6,26441
2025-06-02 10:40:00,2047.9,2049.8,2045,2049.8,4745
2025-06-02 10:45:00,2049.8,2054,2048,2053.2,10725
2025-06-02 10:50:00,2052.4,2057.7,2050,2057.7,13093
2025-06-02 10:55:00,2057.9,2059.9,2056.6,2057.9,27222
2025-06-02 11:00:00,2057.1,2058.7,2051,2058.7,1810
2025-06-02 11:05:00,2059.1,2059.9,2056.5,2058,29152
2025-06-02 11:10:00,2058.3,2060,2053.1,2056.5,7625
2025-06-02 11:15:00,2056.9,2059.7,2055.9,2058.9,10187
2025-06-02 11:20:00,2058.8,2061.9,2058.1,2061.8,13919
2025-06-02 11:25:00,2061,2062,2058.6,2060.6,8236
2025-06-02 11:30:00,2059.6,2061.9,2054,2055.3,37874
2025-06-02 11:35:00,2054.6,2063,2053.9,2062.4,15967
2025-06-02 11:40:00,2061.5,2062.3,2057.5,2058.9,5047
2025-06-02 11:45:00,2058.9,2060.5,2056.4,2059.8,64435
2025-06-02 11:50:00,2059.4,2060,2050,2053.2,57702
2025-06-02 11:55:00,2052.1,2060,2050,2052.5,26403
2025-06-02 12:00:00,2051.6,2058.3,2051.1,2057.7,10458
2025-06-02 12:05:00,2056.3,2056.3,2052,2052.9,3641
2025-06-02 12:10:00,2052.8,2056.6,2052.2,2055,6601
2025-06-02 12:15:00,2053.7,2058.6,2053,2058.2,2676
2025-06-02 12:20:00,2057.1,2060.3,2057.1,2060.2,2058
2025-06-02 12:25:00,2060.2,2067.7,2060,2065.9,7693
2025-06-02 12:30:00,2067.7,2073.3,2066.2,2071.8,5694
2025-06-02 12:35:00,2071.8,2072.4,2069.1,2072.3,2360
2025-06-02 12:40:00,2072.3,2072.6,2070,2070.8,1746
2025-06-02 12:45:00,2072,2073.8,2071,2072,2352
2025-06-02 12:50:00,2072,2073,2066.8,2069.7,2213
2025-06-02 12:55:00,2069.8,2069.8,2066.2,2067.6,1783
2025-06-02 13:00:00,2067.5,2069,2067,2069,605
2025-06-02 13:05:00,2069.2,2072.8,2068.4,2070.9,4117
2025-06-02 13:10:00,2071,2071,2068.6,2070,941
2025-06-02 13:15:00,2070,2071,2068.5,2070.9,760
