datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,6661.5,6692,6658.5,6691.5,3919,0.0000
2025-11-10 05:50:00,6692,6698.5,6681.5,6682.5,2481,0.0000
2025-11-10 05:55:00,6682.5,6693.5,6682.5,6692,1526,0.0000
2025-11-10 06:00:00,6689.5,6699.5,6686.5,6699.5,1514,0.0000
2025-11-10 06:05:00,6698.5,6706.5,6692.5,6696,3423,0.0000
2025-11-10 06:10:00,6696,6698,6692,6695,1027,0.0000
2025-11-10 06:15:00,6695.5,6708,6685.5,6689,2144,0.0000
2025-11-10 06:20:00,6692.5,6692.5,6682,6690.5,1717,0.0000
2025-11-10 06:25:00,6690.5,6696.5,6680,6682.5,13547,0.0000
2025-11-10 06:30:00,6685,6694.5,6682.5,6686.5,1463,0.0000
2025-11-10 06:35:00,6689,6689,6682,6686,802,0.0000
2025-11-10 06:40:00,6689,6689,6680,6684.5,2373,0.0000
2025-11-10 06:45:00,6683.5,6685,6678,6681.5,1468,0.0000
2025-11-10 06:50:00,6677.5,6680.5,6671.5,6674.5,1048,0.0000
2025-11-10 06:55:00,6672.5,6677,6655,6671,9131,0.0000
2025-11-10 07:00:00,6674,6680,6664.5,6678.5,3097,0.0000
2025-11-10 07:05:00,6678.5,6700.5,6673.5,6698.5,5949,0.0000
2025-11-10 07:10:00,6699,6700,6685.5,6688,4648,0.0000
2025-11-10 07:15:00,6688,6693.5,6686,6693,2188,0.0000
2025-11-10 07:20:00,6691.5,6693,6684,6690,1850,0.0000
2025-11-10 07:25:00,6690,6695,6673.5,6674,3208,0.0000
2025-11-10 07:30:00,6674,6679.5,6661,6662.5,4299,0.0000
2025-11-10 07:35:00,6662.5,6663,6646.5,6650,3434,0.0000
2025-11-10 07:40:00,6650,6658.5,6645,6645,2552,0.0000
2025-11-10 07:45:00,6645.5,6659.5,6644,6657.5,2400,0.0000
2025-11-10 07:50:00,6655,6663,6654,6658.5,900,0.0000
2025-11-10 07:55:00,6659.5,6662,6653,6656,842,0.0000
2025-11-10 08:00:00,6655,6661,6655,6656.5,721,0.0000
2025-11-10 08:05:00,6658,6658.5,6653,6657,433,0.0000
2025-11-10 08:10:00,6657,6657.5,6652,6654,674,0.0000
2025-11-10 08:15:00,6652,6660,6648,6659,2012,0.0000
2025-11-10 08:20:00,6660,6669,6654.5,6665.5,33515,0.0000
2025-11-10 08:25:00,6665.5,6666.5,6653,6660,28065,0.0000
2025-11-10 08:30:00,6660,6664,6657.5,6660,861,2.2920
2025-11-10 08:35:00,6662.5,6666.5,6659.5,6665,745,2.5914
2025-11-10 08:40:00,6662.5,6676,6662,6670,2907,3.0602
2025-11-10 08:45:00,6670,6675,6670,6671,610,3.3483
2025-11-10 08:50:00,6671,6672.5,6670,6672.5,904,3.5323
2025-11-10 08:55:00,6672.5,6700,6670,6697.5,4329,5.1331
2025-11-10 09:00:00,6699,6701,6682.5,6690,6340,5.4523
