datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,6871.5,6885,6807,6812,15935,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,6812,6822,6785.5,6793.5,20128,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,6793.5,6800.5,6785,6800,8555,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,6799,6813,6789,6790.5,73931,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,6790.5,6800,6786,6794,4447,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,6791.5,6800,6791.5,6798.5,1149,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,6798.5,6800,6775,6779.5,8258,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,6779.5,6782,6771.5,6779.5,2611,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,6779,6780,6775,6778,1986,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,6779.5,6799,6779,6785,6807,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,6787.5,6795.5,6782.5,6791,3902,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,6793.5,6799.5,6788,6795,3006,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,6796,6802,6795,6796,7437,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,6798.5,6798.5,6790.5,6792.5,1534,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,6793.5,6795,6782,6785,2947,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,6787.5,6799.5,6773,6775,5962,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,6776,6779.5,6761,6763,2695,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,6764,6769,6760,6760,4283,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,6761,6767.5,6755,6755,3791,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:50:00,6755,6769.5,6754,6757.5,2000,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:55:00,6757.5,6760,6755.5,6758,1943,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:00:00,6758,6764,6756.5,6759,4031,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:05:00,6759,6767.5,6756,6760,13849,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:10:00,6759,6771,6759,6762.5,2492,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:15:00,6760.5,6764.5,6756,6764.5,711,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:20:00,6764.5,6767.5,6762,6766.5,812,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:25:00,6765,6772,6761.5,6767.5,1119,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:30:00,6770.5,6771,6766,6768.5,923,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:35:00,6770,6774.5,6765.5,6765.5,1197,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:40:00,6768.5,6774.5,6765.5,6769.5,4001,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:45:00,6769.5,6773,6767.5,6769.5,6271,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:50:00,6770,6788.5,6768.5,6785.5,8197,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:55:00,6788.5,6802,6786,6798,8523,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 12:00:00,6798,6805,6796.5,6800,20000,6.7942,0.0000,100.00,0.0000,100.00
2025-11-11 12:05:00,6799.5,6804.5,6793,6795.5,11645,6.5746,0.0000,100.00,0.0000,100.00
2025-11-11 12:10:00,6795.5,6796.5,6792,6794,2067,6.0522,0.0000,100.00,0.0000,100.00
2025-11-11 12:15:00,6794,6798,6792,6798,930,5.7045,0.0000,100.00,0.0000,100.00
2025-11-11 12:20:00,6797.5,6799,6794.5,6799,1205,5.2801,0.0000,100.00,0.0000,100.00
2025-11-11 12:25:00,6799,6811,6796,6810,18921,5.4561,0.0000,100.00,0.0000,100.00
2025-11-11 12:30:00,6811.5,6827.5,6806.5,6825.5,4359,6.2738,0.0000,100.00,0.0000,100.00
2025-11-11 12:35:00,6825.5,6836,6823,6831,2194,6.7984,0.0000,100.00,0.0000,100.00
2025-11-11 12:40:00,6832,6834.5,6823,6825.5,1278,6.3943,0.0000,100.00,0.0000,100.00
2025-11-11 12:45:00,6825,6832.5,6823,6831,2103,6.1168,0.0000,100.00,0.0000,100.00
2025-11-11 12:50:00,6833,6839,6831,6832,986,5.6320,0.0000,100.00,0.0000,100.00
2025-11-11 12:55:00,6832,6832.5,6822.5,6829.5,1187,4.8064,0.0000,100.00,0.0000,100.00
2025-11-11 13:00:00,6829.5,6832,6822.5,6828.5,921,3.8954,0.0000,100.00,0.0000,100.00
2025-11-11 13:05:00,6828.5,6841.5,6827.5,6836,2164,3.5122,0.0000,100.00,0.0000,100.00
2025-11-11 13:10:00,6835.5,6838,6834.5,6837.5,868,3.0888,0.0000,100.00,0.0000,100.00
2025-11-11 13:15:00,6837.5,6842,6835,6841.5,1316,2.8151,0.0000,100.00,0.0000,100.00
2025-11-11 13:20:00,6841.5,6841.5,6835,6838,1078,2.1645,0.0000,100.00,0.0000,100.00
2025-11-11 13:25:00,6835.5,6839.5,6835,6835,530,1.3387,0.0000,100.00,0.0000,100.00
2025-11-11 13:30:00,6836.5,6846,6835.5,6844.5,928,1.2410,0.0000,100.00,0.0000,100.00
