datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,181.34,181.35,181.1,181.16,59218,0.0000
2025-11-10 05:50:00,181.16,181.3,181.15,181.3,33755,0.0000
2025-11-10 05:55:00,181.26,181.27,181.11,181.27,21629,0.0000
2025-11-10 06:00:00,181.25,181.28,181,181.11,103465,0.0000
2025-11-10 06:05:00,181.11,181.15,180.85,180.95,73938,0.0000
2025-11-10 06:10:00,180.95,181.12,180.9,181,146835,0.0000
2025-11-10 06:15:00,181.01,181.15,181,181.02,18439,0.0000
2025-11-10 06:20:00,181.02,181.02,180.9,180.9,22083,0.0000
2025-11-10 06:25:00,180.9,180.92,180.85,180.9,20996,0.0000
2025-11-10 06:30:00,180.91,181.01,180.9,180.95,24696,0.0000
2025-11-10 06:35:00,180.95,181.12,180.94,181,14932,0.0000
2025-11-10 06:40:00,181,181.08,180.99,181,11005,0.0000
2025-11-10 06:45:00,181,181.09,180.99,181,13221,0.0000
2025-11-10 06:50:00,181,181.01,180.8,180.81,40872,0.0000
2025-11-10 06:55:00,180.81,180.9,180.8,180.87,12798,0.0000
2025-11-10 07:00:00,180.89,180.97,180.81,180.9,8189,0.0000
2025-11-10 07:05:00,180.93,180.93,180.9,180.91,16040,0.0000
2025-11-10 07:10:00,180.92,181,180.92,181,21754,0.0000
2025-11-10 07:15:00,181,181.02,180.82,180.88,28696,0.0000
2025-11-10 07:20:00,180.89,180.89,180.81,180.82,5690,0.0000
2025-11-10 07:25:00,180.83,180.89,180.3,180.3,45817,0.0000
2025-11-10 07:30:00,180.33,180.64,180.29,180.3,60031,0.0000
2025-11-10 07:35:00,180.3,181.05,180.25,180.97,379277,0.0000
2025-11-10 07:40:00,180.93,181,180.76,180.86,37632,0.0000
2025-11-10 07:45:00,180.85,181.15,180.83,181.01,323582,0.0000
2025-11-10 07:50:00,181.01,181.5,180.95,181.23,443850,0.0000
2025-11-10 07:55:00,181.25,181.29,181.15,181.22,32727,0.0000
2025-11-10 08:00:00,181.2,181.33,181.11,181.15,19119,0.0000
2025-11-10 08:05:00,181.15,181.46,181.12,181.14,29039,0.0000
2025-11-10 08:10:00,181.13,181.17,180.77,180.86,72178,0.0000
2025-11-10 08:15:00,180.81,181,180.75,180.99,23532,0.0000
2025-11-10 08:20:00,180.98,181.1,180.9,181.1,27986,0.0000
2025-11-10 08:25:00,181.1,181.1,180.75,180.85,22172,0.0000
2025-11-10 08:30:00,180.82,180.99,180.77,180.92,23986,-0.0008
2025-11-10 08:35:00,180.9,181.44,180.87,181.44,93305,0.0299
2025-11-10 08:40:00,181.43,181.57,181.2,181.2,80115,0.0322
2025-11-10 08:45:00,181.21,181.6,181.19,181.43,29163,0.0465
2025-11-10 08:50:00,181.48,181.67,181.41,181.65,26217,0.0669
2025-11-10 08:55:00,181.66,181.95,181.5,181.83,318831,0.0873
2025-11-10 09:00:00,181.79,181.89,181.55,181.65,122959,0.0835
2025-11-10 09:05:00,181.57,181.69,181.41,181.55,32668,0.0696
2025-11-10 09:10:00,181.5,181.55,181.32,181.39,50683,0.0461
2025-11-10 09:15:00,181.32,181.46,181.2,181.33,196335,0.0241
2025-11-10 09:20:00,181.28,181.41,181.25,181.31,49757,0.0067
2025-11-10 09:25:00,181.37,181.68,181.31,181.64,84454,0.0155
2025-11-10 09:30:00,181.62,181.69,181.4,181.63,187143,0.0184
2025-11-10 09:35:00,181.63,181.69,181.45,181.64,171083,0.0187
2025-11-10 09:40:00,181.64,181.76,181.35,181.5,221557,0.0078
2025-11-10 09:45:00,181.5,181.74,181.42,181.7,221630,0.0121
2025-11-10 09:50:00,181.7,181.74,181.48,181.72,275152,0.0142
2025-11-10 09:55:00,181.71,181.95,181.1,181.4,679884,-0.0069
2025-11-11 03:45:00,181.4,181.49,180.83,180.88,93818,-0.0542
2025-11-11 03:50:00,180.87,181.04,180.57,180.95,44791,-0.0777
2025-11-11 03:55:00,180.92,180.92,180.5,180.65,56474,-0.1085
2025-11-11 04:00:00,180.67,180.67,180.45,180.6,41932,-0.1260
2025-11-11 04:05:00,180.63,180.8,180.4,180.8,28936,-0.1180
2025-11-11 04:10:00,180.79,180.95,180.44,180.6,59388,-0.1198
2025-11-11 04:15:00,180.6,180.6,180.26,180.33,38535,-0.1317
2025-11-11 04:20:00,180.31,180.38,180.05,180.31,45049,-0.1331
2025-11-11 04:25:00,180.29,180.71,180.14,180.66,40809,-0.1040
2025-11-11 04:30:00,180.65,180.68,180.5,180.56,32237,-0.0857
2025-11-11 04:35:00,180.55,180.56,180.25,180.29,21801,-0.0858
2025-11-11 04:40:00,180.29,180.3,180.01,180.02,36913,-0.0973
2025-11-11 04:45:00,180.07,180.24,180,180.14,25487,-0.0901
2025-11-11 04:50:00,180.14,180.25,180.07,180.13,14466,-0.0798
2025-11-11 04:55:00,180.13,180.13,180,180.07,24657,-0.0710
2025-11-11 05:00:00,180.07,180.08,179.79,179.79,78235,-0.0775
2025-11-11 05:05:00,179.79,180,179.76,179.9,57774,-0.0682
2025-11-11 05:10:00,179.85,180.12,179.8,180.08,49680,-0.0449
2025-11-11 05:15:00,180.01,180.24,179.98,180,131384,-0.0305
2025-11-11 05:20:00,180,180.84,179.92,180.73,194684,0.0294
2025-11-11 05:25:00,180.73,180.99,180.66,180.96,39980,0.0826
2025-11-11 05:30:00,180.97,180.98,180.48,180.54,17667,0.0872
2025-11-11 05:35:00,180.48,180.7,180.43,180.7,12072,0.0978
2025-11-11 05:40:00,180.7,180.78,180.5,180.5,12108,0.0886
2025-11-11 05:45:00,180.56,180.62,180.52,180.56,12716,0.0837
2025-11-11 05:50:00,180.55,180.74,180.45,180.74,45068,0.0893
2025-11-11 05:55:00,180.74,180.88,180.5,180.69,20902,0.0863
2025-11-11 06:00:00,180.66,180.66,180.4,180.49,10660,0.0683
2025-11-11 06:05:00,180.4,180.6,180.38,180.57,12975,0.0595
2025-11-11 06:10:00,180.55,180.95,180.52,180.94,38461,0.0753
2025-11-11 06:15:00,180.95,181.18,180.88,181.07,45544,0.0903
2025-11-11 06:20:00,181.07,181.8,181.07,181.79,90615,0.1414
2025-11-11 06:25:00,181.78,181.9,181.45,181.61,66267,0.1547
2025-11-11 06:30:00,181.62,182.39,181.57,182.37,131990,0.2032
2025-11-11 06:35:00,182.39,182.5,181.93,182.14,107442,0.2076
2025-11-11 06:40:00,182.14,182.19,181.88,181.94,204991,0.1856
2025-11-11 06:45:00,181.92,182.05,181.9,182.02,63647,0.1657
2025-11-11 06:50:00,181.97,182.02,181.95,182,116593,0.1413
2025-11-11 06:55:00,182,182.09,181.86,182.06,190139,0.1201
2025-11-11 07:00:00,182.06,182.25,182.04,182.2,23560,0.1070
2025-11-11 07:05:00,182.2,182.24,182,182.04,15468,0.0802
2025-11-11 07:10:00,182.04,182.09,182,182,13110,0.0537
2025-11-11 07:15:00,182,182.13,182,182.13,26633,0.0395
2025-11-11 07:20:00,182.13,182.2,182,182.05,10073,0.0202
2025-11-11 07:25:00,182,182.05,182,182.02,10984,0.0020
2025-11-11 07:30:00,182.02,182.14,182,182,25021,-0.0141
2025-11-11 07:35:00,182,182.19,182,182,32276,-0.0266
2025-11-11 07:40:00,182,182.01,181.99,182,66603,-0.0361
2025-11-11 07:45:00,181.99,182.1,181.99,182.01,26244,-0.0426
2025-11-11 07:50:00,182,182.1,181.93,182.01,45331,-0.0474
2025-11-11 07:55:00,182.01,182.27,182,182.14,35953,-0.0424
2025-11-11 08:00:00,182.14,182.34,182.13,182.21,33586,-0.0354
2025-11-11 08:05:00,182.21,182.45,182.2,182.3,46787,-0.0260
2025-11-11 08:10:00,182.3,182.37,182.07,182.2,33421,-0.0278
2025-11-11 08:15:00,182.2,182.42,182.14,182.27,54097,-0.0255
2025-11-11 08:20:00,182.27,182.45,182.22,182.3,56868,-0.0233
2025-11-11 08:25:00,182.3,182.44,182.13,182.17,38786,-0.0314
2025-11-11 08:30:00,182.18,182.38,182.03,182.12,37536,-0.0404
2025-11-11 08:35:00,182.12,182.33,182.12,182.25,42535,-0.0378
2025-11-11 08:40:00,182.25,182.38,182.13,182.13,28129,-0.0441
2025-11-11 08:45:00,182.13,182.18,182,182.16,27197,-0.0459
2025-11-11 08:50:00,182.2,182.26,182.01,182.2,32270,-0.0440
2025-11-11 08:55:00,182.17,182.26,182.05,182.11,31367,-0.0481
2025-11-11 09:00:00,182.17,182.29,182.1,182.15,34626,-0.0474
2025-11-11 09:05:00,182.1,182.22,182,182.01,38708,-0.0550
2025-11-11 09:10:00,182.01,182.28,182,182.15,32273,-0.0495
2025-11-11 09:15:00,182.15,182.21,182.03,182.13,31029,-0.0462
2025-11-11 09:20:00,182.18,182.4,182.1,182.13,56496,-0.0430
2025-11-11 09:25:00,182.13,182.19,182,182.09,46505,-0.0425
2025-11-11 09:30:00,182.08,182.35,182.04,182.27,127397,-0.0295
2025-11-11 09:35:00,182.27,182.4,182.2,182.29,129704,-0.0197
2025-11-11 09:40:00,182.25,182.4,182.17,182.33,172137,-0.0109
2025-11-11 09:45:00,182.33,182.4,182.24,182.39,169443,-0.0020
2025-11-11 09:50:00,182.39,182.45,182.27,182.34,130807,-0.0004
2025-11-11 09:55:00,182.35,182.69,182.33,182.33,222970,-0.0010
2025-11-12 03:45:00,182.51,183.44,182.51,183.05,656864,0.0436
2025-11-12 03:50:00,183.1,183.44,182.89,182.91,193349,0.0593
2025-11-12 03:55:00,182.91,182.94,182.53,182.7,87680,0.0514
2025-11-12 04:00:00,182.61,183,182.56,182.7,169445,0.0425
2025-11-12 04:05:00,182.74,182.9,182.6,182.81,132229,0.0402
2025-11-12 04:10:00,182.85,183.2,182.73,183.1,124492,0.0537
2025-11-12 04:15:00,183.14,183.26,183,183,88585,0.0514
2025-11-12 04:20:00,183,183.28,182.77,183.2,130067,0.0582
2025-11-12 04:25:00,183.23,183.25,182.9,183.13,114810,0.0531
2025-11-12 04:30:00,183.13,183.3,183.07,183.14,118505,0.0457
2025-11-12 04:35:00,183.17,183.25,182.94,182.95,143452,0.0245
2025-11-12 04:40:00,182.95,183.19,182.9,182.9,135279,0.0046
2025-11-12 04:45:00,182.91,182.99,182.7,182.79,88748,-0.0174
2025-11-12 04:50:00,182.79,182.82,182.5,182.5,126254,-0.0509
2025-11-12 04:55:00,182.5,182.51,182.19,182.33,128143,-0.0820
2025-11-12 05:00:00,182.33,182.55,182.2,182.37,96477,-0.0965
2025-11-12 05:05:00,182.37,182.58,182.3,182.43,68683,-0.0984
2025-11-12 05:10:00,182.39,182.43,182.05,182.05,56535,-0.1200
2025-11-12 05:15:00,182.05,182.25,181.82,182.08,225033,-0.1264
2025-11-12 05:20:00,182.05,182.32,181.9,182.07,85959,-0.1253
2025-11-12 05:25:00,182.06,182.06,181.81,181.87,81741,-0.1313
2025-11-12 05:30:00,181.87,181.98,181.75,181.92,82934,-0.1253
2025-11-12 05:35:00,181.92,181.98,181.86,181.9,51130,-0.1162
2025-11-12 05:40:00,181.92,181.98,181.85,181.86,78462,-0.1066
2025-11-12 05:45:00,181.85,181.99,181.81,181.94,102234,-0.0893
2025-11-12 05:50:00,181.92,181.97,181.89,181.91,55711,-0.0750
2025-11-12 05:55:00,181.91,182.09,181.9,181.99,59069,-0.0560
2025-11-12 06:00:00,181.99,182.25,181.97,182.15,68110,-0.0299
2025-11-12 06:05:00,182.15,182.25,182.06,182.25,66401,-0.0045
2025-11-12 06:10:00,182.25,182.25,182.01,182.04,61703,-0.0006
2025-11-12 06:15:00,182.04,182.19,182,182.03,71925,0.0024
2025-11-12 06:20:00,182.03,182.12,182,182.07,55877,0.0078
2025-11-12 06:25:00,182.04,182.07,181.94,181.98,116940,0.0062
2025-11-12 06:30:00,182.01,182.02,181.9,181.96,62770,0.0046
2025-11-12 06:35:00,181.95,182.62,181.9,182.39,161660,0.0320
2025-11-12 06:40:00,182.39,182.5,182.28,182.47,124959,0.0536
2025-11-12 06:45:00,182.49,182.49,182.05,182.06,65776,0.0390
2025-11-12 06:50:00,182.05,182.06,182,182.01,36066,0.0254
2025-11-12 06:55:00,182,182.25,182,182.12,77102,0.0234
2025-11-12 07:00:00,182.11,182.3,182,182.2,75530,0.0267
2025-11-12 07:05:00,182.2,182.37,182.09,182.1,73710,0.0216
2025-11-12 07:10:00,182.09,182.1,182,182.01,48777,0.0121
2025-11-12 07:15:00,182,182.01,182,182.01,45455,0.0061
2025-11-12 07:20:00,182,182.09,181.86,182.01,179478,0.0025
2025-11-12 07:25:00,182,182.21,182,182.15,70327,0.0097
2025-11-12 07:30:00,182.18,182.33,182.12,182.17,49846,0.0154
2025-11-12 07:35:00,182.17,182.48,182.11,182.32,82148,0.0282
2025-11-12 07:40:00,182.32,182.49,182.25,182.44,72105,0.0429
2025-11-12 07:45:00,182.43,182.9,182.31,182.69,260663,0.0661
2025-11-12 07:50:00,182.67,182.68,182.52,182.62,69747,0.0729
2025-11-12 07:55:00,182.63,182.99,182.53,182.88,338328,0.0899
2025-11-12 08:00:00,182.92,183.1,182.75,183.02,238767,0.1046
2025-11-12 08:05:00,183,183,182.75,182.75,54543,0.0906
2025-11-12 08:10:00,182.75,182.82,182.47,182.59,124843,0.0663
2025-11-12 08:15:00,182.59,182.75,182.51,182.53,77895,0.0429
2025-11-12 08:20:00,182.54,182.67,182.45,182.6,62178,0.0296
2025-11-12 08:25:00,182.6,182.67,182.45,182.59,63101,0.0181
2025-11-12 08:30:00,182.58,182.61,182.37,182.41,59475,-0.0026
2025-11-12 08:35:00,182.42,182.56,182.19,182.2,91932,-0.0298
2025-11-12 08:40:00,182.2,182.31,182.01,182.13,92336,-0.0507
2025-11-12 08:45:00,182.13,182.13,181.92,182.01,53348,-0.0696
2025-11-12 08:50:00,182,182.19,181.95,182.04,86009,-0.0765
2025-11-12 08:55:00,182.04,182.06,182,182,80233,-0.0799
2025-11-12 09:00:00,182.01,182.3,182,182.23,67445,-0.0635
2025-11-12 09:05:00,182.25,182.51,182.21,182.32,78491,-0.0443
2025-11-12 09:10:00,182.32,182.47,182.21,182.37,95168,-0.0267
2025-11-12 09:15:00,182.4,182.55,182.32,182.53,86283,-0.0042
2025-11-12 09:20:00,182.53,182.66,182.43,182.5,139402,0.0083
2025-11-12 09:25:00,182.5,182.52,182.43,182.5,168023,0.0157
2025-11-12 09:30:00,182.5,182.74,182.45,182.5,330249,0.0195
2025-11-12 09:35:00,182.49,182.51,182.44,182.5,222476,0.0207
2025-11-12 09:40:00,182.49,182.5,182.41,182.48,159886,0.0190
2025-11-12 09:45:00,182.46,182.5,182.35,182.4,267958,0.0117
2025-11-12 09:50:00,182.4,182.4,182.2,182.37,332999,0.0043
2025-11-12 09:55:00,182.35,182.4,182.2,182.4,376234,0.0012
2025-11-13 03:45:00,182.45,182.99,182.18,182.73,200436,0.0200
2025-11-13 03:50:00,182.73,182.93,182.4,182.93,112847,0.0433
2025-11-13 03:55:00,182.94,183.74,182.87,183.64,1248827,0.1005
2025-11-13 04:00:00,183.64,184.09,183.49,183.56,256581,0.1255
2025-11-13 04:05:00,183.57,183.78,182.94,183.29,168907,0.1164
2025-11-13 04:10:00,183.3,183.45,183.25,183.44,59318,0.1131
2025-11-13 04:15:00,183.45,184.05,183.41,183.95,159009,0.1362
2025-11-13 04:20:00,183.96,184.19,183.94,184.05,158668,0.1482
2025-11-13 04:25:00,184.06,184.1,183.95,184.01,86421,0.1434
2025-11-13 04:30:00,184.01,184.88,184,184.76,348266,0.1783
2025-11-13 04:35:00,184.76,184.99,184.7,184.99,239144,0.2028
2025-11-13 04:40:00,184.97,185.18,184.82,184.98,319012,0.2036
2025-11-13 04:45:00,184.98,185.03,184.8,184.89,158085,0.1840
2025-11-13 04:50:00,184.94,185.37,184.89,185.26,222260,0.1816
2025-11-13 04:55:00,185.3,185.32,184.93,184.95,98280,0.1462
2025-11-13 05:00:00,184.96,185.12,184.91,185.06,72497,0.1185
2025-11-13 05:05:00,185.05,185.1,184.85,185.06,91409,0.0898
2025-11-13 05:10:00,185.06,185.11,184.95,185.01,78393,0.0586
2025-11-13 05:15:00,185.03,185.05,184.87,184.95,71890,0.0266
