datetime,open,high,low,close,volume,histogram
2026-01-27 03:45:00,4349.9,4349.9,4291.8,4298.8,54014,0.0000
2026-01-27 03:50:00,4297.6,4299.4,4271.7,4298.1,35158,0.0000
2026-01-27 03:55:00,4297.7,4307.4,4291.2,4301.7,20298,0.0000
2026-01-27 04:00:00,4302.2,4307.9,4288,4293.9,15838,0.0000
2026-01-27 04:05:00,4294.9,4325.3,4293.5,4321,30364,0.0000
2026-01-27 04:10:00,4323.1,4325,4314.1,4319.5,12506,0.0000
2026-01-27 04:15:00,4318.6,4329,4317.8,4328,18116,0.0000
2026-01-27 04:20:00,4328,4330.6,4314.6,4316.4,13118,0.0000
2026-01-27 04:25:00,4316.6,4321.7,4311.4,4316.9,11463,0.0000
2026-01-27 04:30:00,4317.2,4328.2,4316.4,4325.4,12052,0.0000
2026-01-27 04:35:00,4327.7,4329,4312.8,4318.8,7465,0.0000
2026-01-27 04:40:00,4318.5,4324.4,4315,4321.4,5142,0.0000
2026-01-27 04:45:00,4321.5,4335,4314.4,4327.6,17133,0.0000
2026-01-27 04:50:00,4325.2,4328,4318.8,4321,11620,0.0000
2026-01-27 04:55:00,4321.3,4332.6,4320.3,4320.3,13360,0.0000
2026-01-27 05:00:00,4321.3,4332,4318.1,4328.4,10541,0.0000
2026-01-27 05:05:00,4328.4,4330.9,4324,4324.6,10603,0.0000
2026-01-27 05:10:00,4324.1,4326,4303,4303.9,13025,0.0000
2026-01-27 05:15:00,4303.9,4307.4,4300,4304,11013,0.0000
2026-01-27 05:20:00,4304,4305.6,4285,4290.5,14214,0.0000
2026-01-27 05:25:00,4290.8,4295.7,4288,4288,5151,0.0000
2026-01-27 05:30:00,4288,4305,4287.7,4302.7,11140,0.0000
2026-01-27 05:35:00,4302.8,4311.1,4300.3,4308.7,5406,0.0000
2026-01-27 05:40:00,4308.8,4310.9,4304.5,4308.5,9989,0.0000
2026-01-27 05:45:00,4309.4,4312.8,4307,4309.3,9521,0.0000
2026-01-27 05:50:00,4309.8,4311.9,4304.9,4306.9,9044,0.0000
2026-01-27 05:55:00,4306.9,4317.5,4306.9,4316,14286,0.0000
2026-01-27 06:00:00,4316,4317.9,4305,4305.7,19580,0.0000
2026-01-27 06:05:00,4305,4315.4,4304.4,4312.2,6846,0.0000
2026-01-27 06:10:00,4313.9,4325,4312,4325,6012,0.0000
2026-01-27 06:15:00,4323.8,4326.6,4315,4316,11956,0.0000
2026-01-27 06:20:00,4318.1,4320.1,4313.3,4314.5,10135,0.0000
2026-01-27 06:25:00,4315,4324.2,4311.5,4315.7,5979,0.0000
2026-01-27 06:30:00,4315.6,4322,4313.4,4318.2,4277,1.9454
2026-01-27 06:35:00,4319.4,4322.6,4313.1,4315.9,4702,1.6747
2026-01-27 06:40:00,4316.5,4322.4,4315,4316.3,6738,1.4543
2026-01-27 06:45:00,4317.6,4319.7,4311,4312.1,10263,0.9801
2026-01-27 06:50:00,4312.1,4318.8,4310.5,4317.6,12710,0.9885
2026-01-27 06:55:00,4316.8,4320,4311,4311.6,8752,0.5628
2026-01-27 07:00:00,4311,4314.6,4308.5,4312.3,11797,0.3136
2026-01-27 07:05:00,4312.3,4317.3,4312,4312.1,5684,0.1300
2026-01-27 07:10:00,4313,4316.7,4312,4314.1,4173,0.1372
2026-01-27 07:15:00,4312.7,4315.2,4312,4314.4,3130,0.1547
2026-01-27 07:20:00,4314.4,4319,4314.4,4315,6058,0.1967
2026-01-27 07:25:00,4315.2,4315.9,4312.1,4313.9,3342,0.1429
2026-01-27 07:30:00,4314,4316.5,4310,4316,30201,0.2357
2026-01-27 07:35:00,4316,4317.6,4316,4316,10228,0.2809
2026-01-27 07:40:00,4316,4318.8,4313.4,4317.4,19866,0.3828
2026-01-27 07:45:00,4316.1,4318.7,4311,4315.4,18805,0.2969
2026-01-27 07:50:00,4314.1,4315,4308.9,4311.3,10389,-0.0369
2026-01-27 07:55:00,4310.8,4315.1,4307.1,4308,7374,-0.4574
2026-01-27 08:00:00,4308,4310,4298,4298.1,17771,-1.3304
2026-01-27 08:05:00,4298.4,4298.4,4286,4286.1,9200,-2.5722
2026-01-27 08:10:00,4286.8,4293.3,4282.7,4284.8,10634,-3.2913
2026-01-27 08:15:00,4284.7,4284.9,4281,4283.6,7592,-3.6313
2026-01-27 08:20:00,4283.6,4290.3,4282,4286.7,6055,-3.4331
2026-01-27 08:25:00,4287.2,4296.5,4281.8,4291.8,17243,-2.7725
2026-01-27 08:30:00,4292,4293.8,4281.6,4281.8,5967,-2.8141
2026-01-27 08:35:00,4281.8,4285.5,4280,4282.4,9773,-2.6107
2026-01-27 08:40:00,4281.7,4288.9,4281.7,4286.2,4925,-2.0543
2026-01-27 08:45:00,4286.8,4305,4285.2,4294.4,29934,-1.0202
2026-01-27 08:50:00,4294.4,4296.2,4288.9,4289.8,10866,-0.5556
2026-01-27 08:55:00,4291.4,4296.8,4289.1,4294.9,3688,0.1481
2026-01-27 09:00:00,4293.2,4305,4293,4301.1,9353,1.0346
2026-01-27 09:05:00,4301.3,4322,4301.1,4321,13479,2.8611
2026-01-27 09:10:00,4321,4337.8,4320.2,4333.8,22829,4.7215
2026-01-27 09:15:00,4333.8,4334.2,4323.1,4325.9,15828,5.1738
2026-01-27 09:20:00,4326.5,4339.9,4324.7,4336.6,16003,5.8950
2026-01-27 09:25:00,4337.6,4339.6,4325,4329.9,18726,5.6231
2026-01-27 09:30:00,4329.9,4335.9,4317.3,4327.2,18750,4.9854
2026-01-27 09:35:00,4327.4,4339.6,4327.2,4333.6,31541,4.7213
