datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,756.7,756.95,755.85,756.7,5308,0.0000
2025-11-10 05:50:00,756.7,757.9,755.95,757.85,29147,0.0000
2025-11-10 05:55:00,757.85,758.2,757,757.55,16244,0.0000
2025-11-10 06:00:00,757.55,757.55,756.6,756.85,12111,0.0000
2025-11-10 06:05:00,756.85,757.2,755.85,755.85,18774,0.0000
2025-11-10 06:10:00,756.3,756.6,755.25,756.6,12359,0.0000
2025-11-10 06:15:00,756.25,757.9,756.05,757.5,14299,0.0000
2025-11-10 06:20:00,757.5,757.9,757.2,757.75,14019,0.0000
2025-11-10 06:25:00,757.75,757.85,756.25,756.25,12978,0.0000
2025-11-10 06:30:00,756.75,757.4,756.35,757,10640,0.0000
2025-11-10 06:35:00,757,757.3,756.6,757,10458,0.0000
2025-11-10 06:40:00,757,757.45,754.55,755.05,32657,0.0000
2025-11-10 06:45:00,755.05,755.8,754.55,755.65,27182,0.0000
2025-11-10 06:50:00,755.3,755.8,754.95,755.7,9964,0.0000
2025-11-10 06:55:00,755.7,756.3,754.65,755.65,19470,0.0000
2025-11-10 07:00:00,755.65,755.9,755.3,755.8,11821,0.0000
2025-11-10 07:05:00,755.75,755.8,754.95,755.35,25155,0.0000
2025-11-10 07:10:00,755.55,755.9,755.25,755.85,12017,0.0000
2025-11-10 07:15:00,755.85,755.9,755,755.5,16810,0.0000
2025-11-10 07:20:00,755.5,757.75,755.2,757.75,43481,0.0000
2025-11-10 07:25:00,757.75,758.4,757.3,758.1,34581,0.0000
2025-11-10 07:30:00,758.4,759.2,758,758.75,39081,0.0000
2025-11-10 07:35:00,758.65,758.8,756.15,756.4,28291,0.0000
2025-11-10 07:40:00,756.25,756.5,755.35,755.9,12286,0.0000
2025-11-10 07:45:00,755.7,756.15,755.7,755.95,12459,0.0000
2025-11-10 07:50:00,755.9,756.75,754.85,756.75,24464,0.0000
2025-11-10 07:55:00,756.75,757.4,756.25,757.2,23919,0.0000
2025-11-10 08:00:00,757.3,757.65,757,757.2,15223,0.0000
2025-11-10 08:05:00,757.15,758.45,757.1,758.15,27394,0.0000
2025-11-10 08:10:00,758.3,758.4,757.3,757.55,46998,0.0000
2025-11-10 08:15:00,757.4,757.55,755.3,756.7,29923,0.0000
2025-11-10 08:20:00,756.6,756.65,755.85,756.25,8675,0.0000
2025-11-10 08:25:00,756.3,756.3,755.1,755.75,11365,0.0000
2025-11-10 08:30:00,755.75,755.8,753.9,755,80107,-0.2135
2025-11-10 08:35:00,755,755.4,753.55,754.4,25411,-0.2943
2025-11-10 08:40:00,754.4,754.7,753.65,754.15,15427,-0.3456
2025-11-10 08:45:00,754.15,754.2,753.65,754.05,10214,-0.3654
2025-11-10 08:50:00,754.05,755.25,753.6,755.2,26861,-0.2837
2025-11-10 08:55:00,755.2,756.2,754.2,754.55,44467,-0.2570
2025-11-10 09:00:00,754.45,754.55,753.65,754,11189,-0.2591
2025-11-10 09:05:00,754,755,753.6,754.8,14139,-0.1925
2025-11-10 09:10:00,754.8,755,754.05,754.3,32318,-0.1688
2025-11-10 09:15:00,754.25,754.35,753.4,753.75,12869,-0.1761
2025-11-10 09:20:00,753.75,754,752.2,753.45,30567,-0.1860
