datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,5375.5,5407,5362,5365.5,8089,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,5365,5369,5352.5,5366,3773,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,5365,5370.5,5360,5370.5,879,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,5367.5,5374.5,5359,5360,2715,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,5359,5368.5,5355.5,5367,2423,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,5367.5,5373,5366.5,5373,927,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,5373,5374.5,5352.5,5352.5,1527,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,5353,5361,5341.5,5351.5,2707,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,5352.5,5360.5,5351.5,5355.5,2507,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,5355,5362,5352.5,5356,1599,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,5356,5362.5,5353,5360,785,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,5362,5370,5360,5367,1196,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,5365,5372,5365,5370.5,751,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,5372,5373,5364,5366,483,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,5366,5366,5346,5348.5,12737,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,5348.5,5352.5,5342.5,5343,1341,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,5344.5,5346,5335,5338,1904,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,5335,5336,5331,5335,1280,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,5334,5340,5333,5336,1197,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:50:00,5336,5343.5,5335,5342.5,1278,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:55:00,5342.5,5351.5,5341.5,5351.5,926,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:00:00,5351.5,5352.5,5344,5346,890,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:05:00,5347,5350.5,5344,5347,824,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:10:00,5346.5,5350,5344.5,5348.5,542,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:15:00,5350,5364,5348.5,5361.5,2053,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:20:00,5362,5362,5353,5359.5,1174,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:25:00,5358.5,5358.5,5354.5,5355,556,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:30:00,5354,5356.5,5351,5354.5,411,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:35:00,5354.5,5361.5,5350.5,5358.5,1161,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:40:00,5357.5,5369,5352,5369,2333,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:45:00,5369,5370,5366.5,5369,1006,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:50:00,5369.5,5378.5,5369,5376,1377,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:55:00,5377.5,5391.5,5376,5391.5,3321,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 12:00:00,5391,5405,5391,5400.5,8247,6.5206,0.0000,100.00,0.0000,100.00
2025-11-11 12:05:00,5400.5,5413,5399.5,5410.5,7251,7.3490,0.0000,100.00,0.0000,100.00
2025-11-11 12:10:00,5409.5,5414,5404.5,5411,2671,7.4962,0.0000,100.00,0.0000,100.00
2025-11-11 12:15:00,5411,5416,5405.5,5408,4158,6.9684,0.0000,100.00,0.0000,100.00
2025-11-11 12:20:00,5408,5410,5407,5409.5,774,6.3164,0.0000,100.00,0.0000,100.00
2025-11-11 12:25:00,5408,5415,5408,5413,1581,5.7340,0.0000,100.00,0.0000,100.00
2025-11-11 12:30:00,5413,5428,5410,5428,5714,5.9466,0.0000,100.00,0.0000,100.00
2025-11-11 12:35:00,5428,5430,5409,5410,20552,4.5268,0.0000,100.00,0.0000,100.00
2025-11-11 12:40:00,5410,5411,5398.5,5400,11460,2.6584,0.0000,100.00,0.0000,100.00
2025-11-11 12:45:00,5400,5404,5397,5400,6161,1.2391,0.0000,100.00,0.0000,100.00
2025-11-11 12:50:00,5400,5414.5,5397,5397,13331,-0.0188,0.0000,-100.00,0.0000,100.00
2025-11-11 12:55:00,5399.5,5405.5,5396,5398.5,17246,-0.8222,0.0000,-100.00,0.0000,100.00
2025-11-11 13:00:00,5398.5,5401,5390,5399,14064,-1.3607,0.0000,-100.00,0.0000,100.00
2025-11-11 13:05:00,5399,5399.5,5396,5398,493,-1.7975,0.0000,-100.00,0.0000,100.00
2025-11-11 13:10:00,5398.5,5401,5397,5401,758,-1.8883,0.0000,-100.00,0.0000,100.00
2025-11-11 13:15:00,5400.5,5410,5400,5401.5,23199,-1.9127,0.0000,-100.00,0.0000,100.00
2025-11-11 13:20:00,5401.5,5405,5399.5,5400.5,4901,-1.9856,0.0000,-100.00,0.0000,100.00
2025-11-11 13:25:00,5401.5,5402,5398,5398,2591,-2.1762,0.0000,-100.00,0.0000,100.00
2025-11-11 13:30:00,5399.5,5419,5397,5414,19716,-1.2451,0.0000,-100.00,0.0000,100.00
2025-11-11 13:35:00,5413.5,5418,5409.5,5413.5,13809,-0.7098,0.0000,-100.00,0.0000,100.00
2025-11-11 13:40:00,5413.5,5414.5,5406.5,5412.5,2072,-0.4810,0.0000,-100.00,0.0000,100.00
2025-11-11 13:45:00,5412,5420.5,5410,5417.5,13567,-0.0723,0.0000,-100.00,0.0000,100.00
2025-11-11 13:50:00,5418.5,5430,5417,5427,6787,0.7151,0.0000,100.00,0.0000,100.00
2025-11-11 13:55:00,5427,5428,5421.5,5424.5,2525,0.9311,0.0000,100.00,0.0000,100.00
2025-11-11 14:00:00,5424.5,5426.5,5418.5,5419,2439,0.5841,0.0000,100.00,0.0000,100.00
2025-11-11 14:05:00,5421,5426.5,5419,5421.5,2340,0.4116,0.0000,100.00,0.0000,100.00
2025-11-11 14:10:00,5423.5,5424,5418,5418,972,-0.0263,0.0000,-100.00,0.0000,100.00
2025-11-11 14:15:00,5419,5420,5413.5,5419.5,1469,-0.2884,0.0000,-100.00,0.0000,100.00
2025-11-11 14:20:00,5419.5,5421,5416,5420.5,1166,-0.4579,0.0000,-100.00,0.0000,100.00
