datetime,open,high,low,close,volume
2026-02-12 09:15:00,11.7,11.74,11.32,11.45,87304462
2026-02-12 09:20:00,11.45,11.48,11.36,11.36,32079922
2026-02-12 09:25:00,11.37,11.46,11.36,11.45,18256784
2026-02-12 09:30:00,11.45,11.53,11.42,11.5,15041052
2026-02-12 09:35:00,11.51,11.52,11.45,11.47,20939833
2026-02-12 09:40:00,11.46,11.52,11.45,11.5,10286755
2026-02-12 09:45:00,11.5,11.51,11.47,11.51,12500622
2026-02-12 09:50:00,11.51,11.51,11.44,11.44,9352168
2026-02-12 09:55:00,11.44,11.5,11.44,11.48,5765967
2026-02-12 10:00:00,11.48,11.51,11.48,11.5,4021543
2026-02-12 10:05:00,11.5,11.5,11.44,11.45,7950414
2026-02-12 10:10:00,11.45,11.49,11.44,11.47,5802787
2026-02-12 10:15:00,11.48,11.48,11.46,11.47,2413690
2026-02-12 10:20:00,11.46,11.47,11.44,11.46,6258888
2026-02-12 10:25:00,11.45,11.46,11.42,11.45,8127590
2026-02-12 10:30:00,11.44,11.49,11.41,11.46,10970528
2026-02-12 10:35:00,11.47,11.49,11.46,11.48,4714671
2026-02-12 10:40:00,11.48,11.5,11.48,11.49,4129549
2026-02-12 10:45:00,11.49,11.49,11.47,11.49,1899232
2026-02-12 10:50:00,11.48,11.49,11.47,11.48,2382288
2026-02-12 10:55:00,11.48,11.49,11.47,11.49,1814963
2026-02-12 11:00:00,11.49,11.5,11.48,11.5,3417539
2026-02-12 11:05:00,11.49,11.51,11.48,11.51,3724930
2026-02-12 11:10:00,11.51,11.51,11.49,11.5,2338586
2026-02-12 11:15:00,11.5,11.5,11.48,11.49,1910853
2026-02-12 11:20:00,11.49,11.49,11.47,11.48,2123383
2026-02-12 11:25:00,11.48,11.5,11.48,11.5,1305850
2026-02-12 11:30:00,11.5,11.5,11.47,11.49,2168417
2026-02-12 11:35:00,11.49,11.5,11.48,11.49,1142706
2026-02-12 11:40:00,11.49,11.5,11.48,11.5,816842
2026-02-12 11:45:00,11.5,11.5,11.49,11.5,688698
2026-02-12 11:50:00,11.5,11.5,11.49,11.49,1583710
2026-02-12 11:55:00,11.49,11.51,11.49,11.51,2205868
2026-02-12 12:00:00,11.5,11.53,11.5,11.52,4693103
2026-02-12 12:05:00,11.53,11.57,11.52,11.56,10411960
2026-02-12 12:10:00,11.55,11.56,11.53,11.55,4123758
2026-02-12 12:15:00,11.55,11.56,11.55,11.55,1671196
2026-02-12 12:20:00,11.55,11.6,11.55,11.6,10206930
2026-02-12 12:25:00,11.59,11.6,11.54,11.55,9251676
2026-02-12 12:30:00,11.55,11.56,11.55,11.55,2062142
2026-02-12 12:35:00,11.55,11.56,11.52,11.54,4900193
2026-02-12 12:40:00,11.53,11.56,11.53,11.55,2566900
2026-02-12 12:45:00,11.55,11.55,11.53,11.54,2947998
2026-02-12 12:50:00,11.54,11.56,11.54,11.55,1698777
2026-02-12 12:55:00,11.55,11.57,11.55,11.56,2496540
2026-02-12 13:00:00,11.56,11.57,11.55,11.57,3446076
2026-02-12 13:05:00,11.57,11.57,11.55,11.56,1735214
2026-02-12 13:10:00,11.55,11.56,11.54,11.55,2541140
2026-02-12 13:15:00,11.54,11.58,11.54,11.57,4451449
2026-02-12 13:20:00,11.57,11.57,11.55,11.56,2640455
2026-02-12 13:25:00,11.57,11.57,11.55,11.56,1101933
2026-02-12 13:30:00,11.57,11.57,11.55,11.56,1389485
