datetime,open,high,low,close,volume
2026-01-13 09:15:00,339,339.5,337.75,339.2,658220
2026-01-13 09:20:00,339.15,339.45,338.75,339.15,152058
2026-01-13 09:25:00,339.15,339.2,338.35,338.5,159824
2026-01-13 09:30:00,338.5,338.7,338.1,338.55,190182
2026-01-13 09:35:00,338.55,338.75,337.45,337.95,433850
2026-01-13 09:40:00,337.95,338.35,337.8,338,188330
2026-01-13 09:45:00,338.1,338.95,338.1,338.4,176780
2026-01-13 09:50:00,338.4,338.65,338.05,338.25,104158
2026-01-13 09:55:00,338.25,338.25,337.55,337.7,205937
2026-01-13 10:00:00,337.7,338.3,337.55,338.15,83383
2026-01-13 10:05:00,338.2,338.2,338,338.1,72715
2026-01-13 10:10:00,338.2,338.2,337.75,337.75,119349
2026-01-13 10:15:00,337.85,338,337.25,337.5,150706
2026-01-13 10:20:00,337.45,337.95,337.4,337.65,123170
2026-01-13 10:25:00,337.55,338.15,337.5,338.05,153464
2026-01-13 10:30:00,338.05,338.2,337.75,338.05,191246
2026-01-13 10:35:00,338.1,338.15,337.55,337.65,142357
2026-01-13 10:40:00,337.65,337.75,336.9,337.1,358861
2026-01-13 10:45:00,337.15,337.25,336.9,337.2,124851
2026-01-13 10:50:00,337.2,337.4,336.55,336.8,255590
2026-01-13 10:55:00,336.8,337,336.05,336.15,373477
2026-01-13 11:00:00,336.15,336.3,335.85,336.2,370745
2026-01-13 11:05:00,336.05,336.2,335.8,335.95,276200
2026-01-13 11:10:00,336,336.05,335.35,335.5,286954
2026-01-13 11:15:00,335.5,335.85,335.35,335.7,361405
2026-01-13 11:20:00,335.7,336.45,335.6,336.3,308787
2026-01-13 11:25:00,336.3,336.65,336.25,336.5,141060
2026-01-13 11:30:00,336.5,336.95,336.25,336.7,128783
2026-01-13 11:35:00,336.7,336.9,336.45,336.5,145024
2026-01-13 11:40:00,336.5,336.65,336,336.2,183039
2026-01-13 11:45:00,336.05,336.4,335.95,336.1,310540
2026-01-13 11:50:00,336.1,336.2,335.3,335.4,741060
2026-01-13 11:55:00,335.4,335.7,333.8,334,2624009
2026-01-13 12:00:00,333.95,335.1,333.9,335,1571521
2026-01-13 12:05:00,334.95,335.15,334.7,334.85,1104710
2026-01-13 12:10:00,334.95,335.05,334.45,334.85,624432
2026-01-13 12:15:00,334.85,335.2,334.65,335,502648
2026-01-13 12:20:00,335,335.05,334.4,334.6,228121
2026-01-13 12:25:00,334.6,334.95,334.5,334.55,224961
2026-01-13 12:30:00,334.55,334.55,334,334.2,203096
2026-01-13 12:35:00,334.2,334.4,334,334.3,158172
2026-01-13 12:40:00,334.35,334.4,334,334.05,152786
2026-01-13 12:45:00,334.1,334.35,333.95,334.25,363598
2026-01-13 12:50:00,334.25,334.3,333.85,334.05,222684
2026-01-13 12:55:00,334.05,334.2,333.7,334,182741
2026-01-13 13:00:00,334.05,334.2,333.8,334,117334
2026-01-13 13:05:00,334.15,334.2,334,334.2,81528
2026-01-13 13:10:00,334.2,334.4,334,334.3,129354
2026-01-13 13:15:00,334.3,334.35,333.95,334.15,104079
2026-01-13 13:20:00,334.15,334.3,333.95,334.3,75095
2026-01-13 13:25:00,334.3,334.5,333.9,334.15,119622
2026-01-13 13:30:00,334.15,334.3,333.95,334.25,95495
2026-01-13 13:35:00,334.3,334.75,334.2,334.55,106877
2026-01-13 13:40:00,334.55,334.65,334.2,334.6,118899
2026-01-13 13:45:00,334.6,334.95,334.4,334.65,108917
2026-01-13 13:50:00,334.65,334.9,334.55,334.7,129463
2026-01-13 13:55:00,334.7,334.75,334.15,334.15,122693
2026-01-13 14:00:00,334.15,334.45,333.8,334.3,476631
2026-01-13 14:05:00,334.3,334.5,334.1,334.35,89956
2026-01-13 14:10:00,334.4,334.45,334.05,334.15,102147
2026-01-13 14:15:00,334.15,334.25,334,334.15,111572
2026-01-13 14:20:00,334.15,334.3,334,334.2,98918
2026-01-13 14:25:00,334.1,334.2,333.8,333.95,317722
2026-01-13 14:30:00,333.95,334.7,333.85,334.5,218602
2026-01-13 14:35:00,334.5,334.65,334.3,334.55,126776
2026-01-13 14:40:00,334.55,335,334.4,334.95,324324
2026-01-13 14:45:00,334.9,335.2,334.8,335,517900
2026-01-13 14:50:00,335,335.1,334.9,334.9,198810
2026-01-13 14:55:00,335,335.05,334.55,334.75,352834
2026-01-13 15:00:00,334.75,335.05,334.65,334.65,617371
2026-01-13 15:05:00,334.8,334.95,334.35,334.8,1049293
2026-01-13 15:10:00,334.7,335,334.55,334.8,914464
2026-01-13 15:15:00,334.75,334.85,334.55,334.7,624357
2026-01-13 15:20:00,334.7,334.8,334.2,334.5,989580
2026-01-13 15:25:00,334.5,334.75,334.1,334.3,590022
2026-01-14 09:15:00,336,336,333.65,334.6,391859
2026-01-14 09:20:00,334.7,335.2,334.6,334.95,395535
2026-01-14 09:25:00,335.05,335.2,334.7,334.85,230230
2026-01-14 09:30:00,334.85,334.9,334.2,334.45,177808
2026-01-14 09:35:00,334.45,334.85,334.4,334.5,121507
