datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,1187,1187,1178.3,1178.7,34478,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,1178.4,1181.5,1177.1,1179.9,11778,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,1179,1179.9,1177.1,1179.5,8503,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,1179.5,1180.4,1178.2,1180.3,4366,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,1179.7,1179.7,1175.7,1177.2,6221,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,1177.2,1177.5,1176.3,1176.9,2247,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,1177.4,1177.6,1173.7,1173.7,3386,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,1174,1176.1,1172.8,1174.6,12995,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,1174.6,1176.6,1174,1176,7204,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,1176,1177.2,1175,1176.3,3422,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,1176.3,1177.6,1175.2,1177.6,2835,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,1177.6,1177.7,1172.9,1173.1,22489,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,1173.3,1174.6,1172,1173.8,3522,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,1173.8,1174.8,1171,1171.1,3313,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,1171.1,1171.5,1170.1,1171.3,3619,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,1170.9,1173.1,1169.7,1171.4,42625,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,1171,1171.8,1169.1,1169.4,15212,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,1169.5,1171,1168.1,1168.9,5604,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,1168.8,1171.1,1168,1169.4,12558,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:50:00,1169.3,1170.3,1168.3,1168.6,14143,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:55:00,1168.5,1169.2,1167.3,1167.7,6212,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:00:00,1167.7,1169.4,1167.6,1169,5266,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:05:00,1168.6,1170.3,1168.1,1170.2,1229,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:10:00,1170.2,1173.9,1170.1,1170.6,24282,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:15:00,1170.5,1170.7,1168.1,1168.9,3031,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:20:00,1168.7,1169.8,1168.1,1168.1,4090,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:25:00,1168.2,1169.3,1168.1,1168.3,1795,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:30:00,1168.2,1169.5,1167.6,1167.7,13058,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:35:00,1167.8,1169.5,1166.1,1168.5,7139,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:40:00,1168.6,1173.3,1168.6,1173,10301,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:45:00,1172.2,1173.1,1171.2,1172.7,7292,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:50:00,1172,1175.4,1171.1,1174.1,8348,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:55:00,1174.3,1176.3,1172.2,1172.2,15526,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 12:00:00,1172.3,1174.5,1172.3,1173.9,7714,1.2496,0.0000,100.00,0.0000,100.00
2025-11-11 12:05:00,1173.6,1175,1173.3,1173.3,4582,1.1679,0.0000,100.00,0.0000,100.00
2025-11-11 12:10:00,1173.2,1174.9,1172.8,1173.2,5690,1.0663,0.0000,100.00,0.0000,100.00
2025-11-11 12:15:00,1173.1,1173.9,1173,1173.4,2537,0.9744,0.0000,100.00,0.0000,100.00
2025-11-11 12:20:00,1173.7,1174.7,1173.5,1173.8,3354,0.9038,0.0000,100.00,0.0000,100.00
2025-11-11 12:25:00,1173.8,1176.7,1173.6,1176.2,3155,0.9759,0.0000,100.00,0.0000,100.00
2025-11-11 12:30:00,1176.1,1177.6,1176,1177.2,4153,1.0422,0.0000,100.00,0.0000,100.00
2025-11-11 12:35:00,1177.2,1177.8,1175.6,1175.9,2146,0.9520,0.0000,100.00,0.0000,100.00
2025-11-11 12:40:00,1175.9,1175.9,1174.5,1174.7,994,0.7729,0.0000,100.00,0.0000,100.00
2025-11-11 12:45:00,1174.7,1176.8,1174.7,1176.6,3392,0.7433,0.0000,100.00,0.0000,100.00
2025-11-11 12:50:00,1176.5,1177,1175.1,1175.2,1382,0.5969,0.0000,100.00,0.0000,100.00
2025-11-11 12:55:00,1175.2,1175.9,1174,1175.1,2876,0.4664,0.0000,100.00,0.0000,100.00
2025-11-11 13:00:00,1175.1,1176.9,1174.1,1175.8,3841,0.4027,0.0000,100.00,0.0000,100.00
2025-11-11 13:05:00,1175.8,1177,1175.4,1175.8,3070,0.3387,0.0000,100.00,0.0000,100.00
2025-11-11 13:10:00,1175.9,1177.4,1175.9,1177.1,2643,0.3601,0.0000,100.00,0.0000,100.00
2025-11-11 13:15:00,1177.1,1178.8,1177,1177.9,2629,0.4010,0.0000,100.00,0.0000,100.00
2025-11-11 13:20:00,1177.9,1178.6,1177.4,1177.5,1461,0.3746,0.0000,100.00,0.0000,100.00
2025-11-11 13:25:00,1177.4,1177.7,1175.5,1176.5,7568,0.2683,0.0000,100.00,0.0000,100.00
2025-11-11 13:30:00,1176.5,1181.5,1176.1,1180.8,15484,0.4550,0.0000,100.00,0.0000,100.00
2025-11-11 13:35:00,1180.9,1183.7,1180.9,1182.2,30052,0.6295,0.0000,100.00,0.0000,100.00
2025-11-11 13:40:00,1182.2,1182.9,1180.3,1182,11524,0.6837,0.0000,100.00,0.0000,100.00
2025-11-11 13:45:00,1182,1184.5,1181.9,1183.8,10974,0.7857,0.0000,100.00,0.0000,100.00
2025-11-11 13:50:00,1183.3,1187.9,1183.3,1187.9,59384,1.0573,0.0000,100.00,0.0000,100.00
2025-11-11 13:55:00,1187.8,1188,1186.3,1187,34156,1.0995,0.0000,100.00,0.0000,100.00
2025-11-11 14:00:00,1187,1192.2,1187,1192.2,22132,1.3824,0.0000,100.00,0.0000,100.00
2025-11-11 14:05:00,1192.5,1203.2,1192.5,1201.5,66024,2.0600,0.0000,100.00,0.0000,100.00
2025-11-11 14:10:00,1201.3,1202.7,1199.2,1199.8,48430,2.2426,0.0000,100.00,0.0000,100.00
2025-11-11 14:15:00,1199.8,1201.5,1198.3,1201,44990,2.2854,0.0000,100.00,0.0000,100.00
2025-11-11 14:20:00,1201,1202.4,1200.3,1201.5,39876,2.1885,0.0000,100.00,0.0000,100.00
2025-11-11 14:25:00,1201.5,1204.2,1200.9,1203.7,29261,2.1126,0.0000,100.00,0.0000,100.00
2025-11-11 14:30:00,1203.3,1206.7,1203.2,1204.6,69527,1.9660,0.0000,100.00,0.0000,100.00
2025-11-11 14:35:00,1204.6,1206,1201.2,1201.3,79274,1.5103,0.0000,100.00,0.0000,100.00
2025-11-11 14:40:00,1201.4,1203.7,1194.8,1197,209760,0.8175,0.0000,100.00,0.0000,100.00
2025-11-11 14:45:00,1197,1200,1196.4,1198.7,34853,0.3934,0.0000,100.00,0.0000,100.00
2025-11-11 14:50:00,1198.7,1199.7,1197.1,1198.3,42096,0.0251,0.0000,100.00,0.0000,100.00
2025-11-11 14:55:00,1198.4,1199,1195.9,1196.8,39026,-0.3592,0.0000,-100.00,0.0000,100.00
2025-11-11 15:00:00,1196.8,1197.2,1196.2,1196.6,40279,-0.6496,0.0000,-100.00,0.0000,100.00
2025-11-11 15:05:00,1196.6,1196.7,1190.1,1190.9,60135,-1.2154,0.0000,-100.00,0.0000,100.00
2025-11-11 15:10:00,1190.9,1192.5,1190.5,1192.3,24082,-1.4684,0.0000,-100.00,0.0000,100.00
2025-11-11 15:15:00,1192.3,1193.5,1189.5,1189.6,47399,-1.7702,0.0000,-100.00,0.0000,100.00
2025-11-11 15:20:00,1189.7,1192.8,1186.8,1188.1,101332,-2.0063,0.0000,-100.00,0.0000,100.00
2025-11-11 15:25:00,1187.8,1188.9,1185.2,1186.7,35810,-2.1779,0.0000,-100.00,0.0000,100.00
2025-11-12 09:15:00,1192,1194.9,1184.3,1185.5,33058,-2.2822,-2.1779,4.79,1186.7000,-0.10
2025-11-12 09:20:00,1185.4,1189.2,1185.1,1186.7,19848,-2.1807,-2.1779,0.13,1186.7000,0.00
2025-11-12 09:25:00,1187,1188,1186.5,1187.4,10342,-1.9823,-2.1779,-8.98,1186.7000,0.06
2025-11-12 09:30:00,1187.4,1189.9,1186.6,1187,11055,-1.7992,-2.1779,-17.39,1186.7000,0.03
2025-11-12 09:35:00,1186.2,1187,1184.7,1185.5,17661,-1.7016,-2.1779,-21.87,1186.7000,-0.10
2025-11-12 09:40:00,1185,1187,1184.5,1186,12784,-1.5310,-2.1779,-29.70,1186.7000,-0.06
2025-11-12 09:45:00,1186,1186.9,1184,1184.6,6951,-1.4415,-2.1779,-33.81,1186.7000,-0.18
2025-11-12 09:50:00,1184.3,1184.8,1182,1183.4,17159,-1.3913,-2.1779,-36.12,1186.7000,-0.28
2025-11-12 09:55:00,1183,1183.8,1180.7,1182.4,16794,-1.3526,-2.1779,-37.89,1186.7000,-0.36
2025-11-12 10:00:00,1182.3,1183.8,1182.3,1183.5,5992,-1.1860,-2.1779,-45.54,1186.7000,-0.27
2025-11-12 10:05:00,1183.3,1183.9,1182.1,1183.2,8336,-1.0345,-2.1779,-52.50,1186.7000,-0.29
2025-11-12 10:10:00,1183.2,1183.5,1182.1,1183.5,5118,-0.8599,-2.1779,-60.52,1186.7000,-0.27
2025-11-12 10:15:00,1183.4,1185.3,1183.1,1183.1,6286,-0.7226,-2.1779,-66.82,1186.7000,-0.30
2025-11-12 10:20:00,1183.1,1183.2,1182.1,1183,3998,-0.5951,-2.1779,-72.68,1186.7000,-0.31
2025-11-12 10:25:00,1183,1183,1182.3,1182.4,3711,-0.5110,-2.1779,-76.54,1186.7000,-0.36
2025-11-12 10:30:00,1182.4,1184.2,1182.2,1184.1,6458,-0.3105,-2.1779,-85.74,1186.7000,-0.22
2025-11-12 10:35:00,1184,1185.6,1183.7,1185.3,48128,-0.0789,-2.1779,-96.38,1186.7000,-0.12
2025-11-12 10:40:00,1185.1,1185.2,1182.9,1183.4,17666,-0.0374,-2.1779,-98.28,1186.7000,-0.28
