datetime,open,high,low,close,volume
2025-06-02 09:15:00,5983,5990.5,5891.5,5913.5,14203
2025-06-02 09:20:00,5912,5923.5,5896,5904.5,9085
2025-06-02 09:25:00,5901.5,5931.5,5901,5912.5,4832
2025-06-02 09:30:00,5911,5922.5,5907.5,5910.5,2702
2025-06-02 09:35:00,5912.5,5915.5,5905,5912,2791
2025-06-02 09:40:00,5914.5,5928.5,5912,5919,4580
2025-06-02 09:45:00,5919,5922,5914,5915,1929
2025-06-02 09:50:00,5915,5929,5915,5927.5,2523
2025-06-02 09:55:00,5927,5935,5920.5,5935,4083
2025-06-02 10:00:00,5935,5939,5932,5936,2289
2025-06-02 10:05:00,5935,5962,5934,5957.5,6029
2025-06-02 10:10:00,5957.5,5964,5944,5951,2354
2025-06-02 10:15:00,5951,5951.5,5942,5946,1789
2025-06-02 10:20:00,5946.5,5950,5936,5938,1690
2025-06-02 10:25:00,5937.5,5948,5930.5,5945,2189
2025-06-02 10:30:00,5947.5,5949.5,5940.5,5945,1093
2025-06-02 10:35:00,5945,5949.5,5933.5,5949.5,1977
2025-06-02 10:40:00,5946.5,5949.5,5937,5947.5,1351
2025-06-02 10:45:00,5945,5954,5940.5,5954,1677
2025-06-02 10:50:00,5954,5954,5948,5951.5,564
2025-06-02 10:55:00,5951.5,5955,5947,5947,1927
2025-06-02 11:00:00,5947,5950,5920,5920,3997
2025-06-02 11:05:00,5921,5925.5,5917.5,5917.5,2251
2025-06-02 11:10:00,5918.5,5922,5917.5,5919.5,666
2025-06-02 11:15:00,5918.5,5921.5,5917.5,5921.5,1052
2025-06-02 11:20:00,5920,5921.5,5917,5918.5,1360
2025-06-02 11:25:00,5919,5920.5,5908,5908,2417
2025-06-02 11:30:00,5908,5917.5,5902.5,5917.5,3178
2025-06-02 11:35:00,5918,5954,5918,5948.5,6543
2025-06-02 11:40:00,5948,5950,5944.5,5949,1304
2025-06-02 11:45:00,5948,5950,5941.5,5943,1296
2025-06-02 11:50:00,5943,5943.5,5933.5,5935,1368
2025-06-02 11:55:00,5935,5938,5922.5,5924,769
2025-06-02 12:00:00,5924,5925.5,5919.5,5922.5,1380
2025-06-02 12:05:00,5923,5924.5,5920,5920,931
2025-06-02 12:10:00,5920,5927.5,5920,5923,755
2025-06-02 12:15:00,5922.5,5925.5,5918,5920.5,1060
2025-06-02 12:20:00,5918,5923,5917,5917,1405
