datetime,open,high,low,close,volume
2025-12-08 03:45:00,542.9,545,542,543.3,25175
2025-12-08 03:50:00,543.2,543.95,542.15,542.8,15872
2025-12-08 03:55:00,542.8,543,541.05,541.7,11791
2025-12-08 04:00:00,541.4,543.1,541.4,542.5,7393
2025-12-08 04:05:00,542.3,542.4,541.45,541.45,9289
2025-12-08 04:10:00,541.35,541.8,540.9,540.9,7092
2025-12-08 04:15:00,540.9,540.9,536.8,536.95,38239
2025-12-08 04:20:00,536.9,537.25,535.65,535.7,32537
2025-12-08 04:25:00,535.7,536.05,534.6,535,46866
2025-12-08 04:30:00,535.1,535.55,534.4,534.8,20070
2025-12-08 04:35:00,534.7,535.15,534.05,534.05,31552
2025-12-08 04:40:00,534.15,535.55,533.4,535.25,26289
2025-12-08 04:45:00,535.55,536.25,534.95,535.55,10895
2025-12-08 04:50:00,535.55,535.55,534.6,535,19000
2025-12-08 04:55:00,534.9,535.25,534.8,535,41980
2025-12-08 05:00:00,535,535.1,534.05,534.5,15649
2025-12-08 05:05:00,534.55,535,534.2,534.85,5515
2025-12-08 05:10:00,534.85,536,534.7,534.95,35001
2025-12-08 05:15:00,534.95,534.95,534.05,534.35,6298
2025-12-08 05:20:00,534.45,535,534.25,534.95,8846
2025-12-08 05:25:00,534.95,535.15,534.25,534.25,9761
2025-12-08 05:30:00,534.4,534.5,533.1,533.1,15397
2025-12-08 05:35:00,533.2,533.8,533.1,533.5,20684
2025-12-08 05:40:00,533.45,533.7,533.4,533.5,3491
2025-12-08 05:45:00,533.65,533.8,533.3,533.3,12988
2025-12-08 05:50:00,533.4,533.4,532.7,533,25970
2025-12-08 05:55:00,533,533.3,532.15,532.15,8075
2025-12-08 06:00:00,532.25,533.05,532.1,532.6,10744
2025-12-08 06:05:00,532.7,532.75,532,532.25,22315
2025-12-08 06:10:00,532.15,532.2,531.4,531.85,23345
2025-12-08 06:15:00,531.85,531.9,531.5,531.9,4976
2025-12-08 06:20:00,531.9,532.2,531.4,531.5,6189
2025-12-08 06:25:00,531.5,531.7,530.55,530.8,17204
2025-12-08 06:30:00,530.8,530.85,530.1,530.4,19209
2025-12-08 06:35:00,530.4,531.15,530.1,531.15,19856
2025-12-08 06:40:00,531.2,531.45,530.9,531.3,14255
2025-12-08 06:45:00,531.3,531.9,531.2,531.75,7413
2025-12-08 06:50:00,531.75,531.95,531.4,531.9,14843
2025-12-08 06:55:00,531.9,531.9,531.15,531.8,23586
2025-12-08 07:00:00,531.85,532,531.2,531.85,23040
2025-12-08 07:05:00,531.9,531.95,531,531.95,62032
2025-12-08 07:10:00,531.85,531.95,530.8,531.65,68778
2025-12-08 07:15:00,531.65,531.65,530.7,531.15,9877
2025-12-08 07:20:00,531.4,531.45,531,531.25,3699
2025-12-08 07:25:00,531.35,531.35,530.85,531.05,8301
2025-12-08 07:30:00,531.05,531.2,530.85,531,20706
2025-12-08 07:35:00,531.05,531.1,530.7,531,13967
2025-12-08 07:40:00,531,531.5,530.7,531.3,10846
2025-12-08 07:45:00,531.25,531.25,530.75,531.05,27890
2025-12-08 07:50:00,531,531.15,530.2,530.35,70722
2025-12-08 07:55:00,530.4,530.4,529.15,530.1,42567
2025-12-08 08:00:00,530.15,530.15,529.75,530.05,31843
2025-12-08 08:05:00,530.05,530.35,529.4,530.1,64148
2025-12-08 08:10:00,530.1,530.65,529.7,530.3,12060
2025-12-08 08:15:00,530.3,531.35,530.25,531.2,3659
2025-12-08 08:20:00,531,531.2,529.9,529.9,5908
2025-12-08 08:25:00,530.1,530.55,529.75,530.05,9648
2025-12-08 08:30:00,530.2,530.25,529.3,530,17776
2025-12-08 08:35:00,529.95,530,529.3,529.7,7581
2025-12-08 08:40:00,529.75,529.75,529,529.5,44392
2025-12-08 08:45:00,529.6,529.65,528,528.4,131639
2025-12-08 08:50:00,528.35,528.6,528,528.5,4974
2025-12-08 08:55:00,528.5,528.6,528,528.05,4809
2025-12-08 09:00:00,528.05,528.2,525.25,525.25,40273
2025-12-08 09:05:00,525.25,525.3,524.45,524.55,32867
2025-12-08 09:10:00,524.5,524.95,523.5,523.9,38908
2025-12-08 09:15:00,523.85,525.6,523.6,524,236763
2025-12-08 09:20:00,523.9,524.65,523.1,523.65,44008
2025-12-08 09:25:00,523.55,524.1,521.85,522,39232
2025-12-08 09:30:00,522,524.45,521.95,523.75,44739
2025-12-08 09:35:00,523.75,524.5,523.65,523.85,26023
2025-12-08 09:40:00,523.9,524.35,523.1,523.2,41221
2025-12-08 09:45:00,523.2,523.2,521.3,522.4,113271
2025-12-08 09:50:00,522.3,522.65,521.85,522.2,54629
2025-12-08 09:55:00,522.15,522.75,521.35,522.55,50265
2025-12-09 03:45:00,522.4,522.4,518.55,519.55,56406
2025-12-09 03:50:00,519.55,521.9,519.5,521.6,41206
2025-12-09 03:55:00,521.65,521.9,520.3,521.3,42458
2025-12-09 04:00:00,521.35,522.5,520.4,522.2,19758
2025-12-09 04:05:00,522.1,523.35,521,522.5,53203
2025-12-09 04:10:00,522.3,523.7,521.9,522,18707
2025-12-09 04:15:00,521.8,522.35,521.15,522.2,17144
