datetime,open,high,low,close,volume
2026-01-13 09:15:00,16662,16726,16635,16716,10926
2026-01-13 09:20:00,16712,16712,16664,16665,4484
2026-01-13 09:25:00,16666,16675,16607,16611,4500
2026-01-13 09:30:00,16611,16625,16575,16595,4340
2026-01-13 09:35:00,16591,16597,16566,16571,2478
2026-01-13 09:40:00,16570,16594,16560,16592,2013
2026-01-13 09:45:00,16596,16632,16581,16581,4093
2026-01-13 09:50:00,16582,16600,16564,16564,1921
2026-01-13 09:55:00,16568,16568,16535,16538,3093
2026-01-13 10:00:00,16538,16584,16528,16579,2029
2026-01-13 10:05:00,16581,16582,16551,16562,2355
2026-01-13 10:10:00,16562,16576,16550,16560,1514
2026-01-13 10:15:00,16563,16593,16558,16588,1680
2026-01-13 10:20:00,16589,16629,16588,16616,2928
2026-01-13 10:25:00,16615,16648,16609,16629,2972
2026-01-13 10:30:00,16634,16645,16616,16630,2663
2026-01-13 10:35:00,16629,16632,16584,16586,2977
2026-01-13 10:40:00,16584,16592,16559,16568,2208
2026-01-13 10:45:00,16568,16575,16542,16550,2794
2026-01-13 10:50:00,16550,16554,16499,16500,3615
2026-01-13 10:55:00,16500,16520,16487,16498,2949
2026-01-13 11:00:00,16498,16515,16455,16475,3788
2026-01-13 11:05:00,16475,16492,16445,16481,3743
2026-01-13 11:10:00,16484,16500,16472,16483,2689
2026-01-13 11:15:00,16483,16500,16435,16445,3675
2026-01-13 11:20:00,16446,16461,16433,16435,3601
2026-01-13 11:25:00,16435,16481,16431,16474,3927
2026-01-13 11:30:00,16474,16504,16462,16500,4876
2026-01-13 11:35:00,16496,16515,16441,16452,8107
2026-01-13 11:40:00,16451,16465,16442,16454,2457
2026-01-13 11:45:00,16454,16470,16442,16461,2330
2026-01-13 11:50:00,16459,16459,16401,16408,2962
2026-01-13 11:55:00,16402,16431,16402,16419,1810
2026-01-13 12:00:00,16419,16419,16375,16385,4821
2026-01-13 12:05:00,16385,16400,16385,16397,2490
2026-01-13 12:10:00,16395,16399,16369,16372,3032
2026-01-13 12:15:00,16370,16384,16336,16337,4121
2026-01-13 12:20:00,16337,16345,16312,16325,3600
2026-01-13 12:25:00,16323,16389,16293,16389,9596
2026-01-13 12:30:00,16391,16400,16371,16387,4049
2026-01-13 12:35:00,16387,16397,16385,16386,2448
2026-01-13 12:40:00,16387,16400,16370,16400,7481
2026-01-13 12:45:00,16400,16414,16389,16396,5393
2026-01-13 12:50:00,16400,16400,16363,16380,1945
2026-01-13 12:55:00,16380,16400,16377,16385,1682
2026-01-13 13:00:00,16385,16393,16375,16377,1401
2026-01-13 13:05:00,16384,16385,16350,16358,5265
2026-01-13 13:10:00,16353,16374,16352,16367,1281
2026-01-13 13:15:00,16367,16370,16351,16356,1236
2026-01-13 13:20:00,16360,16369,16344,16350,2355
2026-01-13 13:25:00,16351,16360,16338,16350,1594
2026-01-13 13:30:00,16350,16371,16340,16369,2362
2026-01-13 13:35:00,16370,16383,16362,16372,3026
2026-01-13 13:40:00,16376,16377,16354,16354,5396
2026-01-13 13:45:00,16354,16359,16328,16335,2863
2026-01-13 13:50:00,16337,16366,16335,16341,2375
2026-01-13 13:55:00,16345,16345,16316,16331,2652
2026-01-13 14:00:00,16334,16339,16295,16301,4620
2026-01-13 14:05:00,16301,16322,16300,16312,3383
2026-01-13 14:10:00,16312,16324,16295,16323,3484
2026-01-13 14:15:00,16323,16339,16312,16317,4372
2026-01-13 14:20:00,16316,16335,16308,16326,3041
2026-01-13 14:25:00,16327,16331,16314,16325,5184
2026-01-13 14:30:00,16325,16368,16320,16358,3206
2026-01-13 14:35:00,16357,16361,16340,16352,4460
2026-01-13 14:40:00,16351,16396,16349,16386,5903
2026-01-13 14:45:00,16389,16413,16389,16401,5537
2026-01-13 14:50:00,16400,16429,16396,16422,5389
2026-01-13 14:55:00,16426,16432,16408,16425,4821
2026-01-13 15:00:00,16427,16449,16427,16430,12090
2026-01-13 15:05:00,16429,16435,16425,16435,6158
2026-01-13 15:10:00,16435,16438,16425,16425,6327
2026-01-13 15:15:00,16428,16430,16414,16423,7183
2026-01-13 15:20:00,16423,16430,16411,16425,16478
2026-01-13 15:25:00,16426,16427,16387,16387,14421
2026-01-14 09:15:00,16390,16399,16310,16380,6134
2026-01-14 09:20:00,16378,16404,16370,16370,4401
2026-01-14 09:25:00,16377,16412,16377,16399,2461
2026-01-14 09:30:00,16399,16412,16371,16371,1959
2026-01-14 09:35:00,16370,16385,16351,16371,2401
2026-01-14 09:40:00,16370,16384,16343,16343,1277
2026-01-14 09:45:00,16343,16350,16315,16330,1989
2026-01-14 09:50:00,16330,16388,16325,16388,2032
2026-01-14 09:55:00,16384,16392,16370,16382,2085
2026-01-14 10:00:00,16381,16382,16366,16373,737
2026-01-14 10:05:00,16373,16375,16364,16364,622
2026-01-14 10:10:00,16364,16367,16360,16360,340
2026-01-14 10:15:00,16360,16369,16352,16354,789
2026-01-14 10:20:00,16354,16354,16320,16330,1843
2026-01-14 10:25:00,16338,16366,16326,16366,1014
2026-01-14 10:30:00,16366,16367,16344,16358,1451
2026-01-14 10:35:00,16360,16368,16344,16362,868
2026-01-14 10:40:00,16359,16390,16356,16360,1296
2026-01-14 10:45:00,16361,16361,16345,16345,1191
2026-01-14 10:50:00,16346,16358,16345,16345,467
2026-01-14 10:55:00,16348,16369,16344,16369,666
2026-01-14 11:00:00,16365,16371,16342,16352,1165
2026-01-14 11:05:00,16352,16382,16330,16342,1825
2026-01-14 11:10:00,16344,16355,16315,16319,2955
2026-01-14 11:15:00,16321,16335,16320,16332,1003
2026-01-14 11:20:00,16331,16343,16315,16316,1290
2026-01-14 11:25:00,16315,16333,16311,16333,1072
2026-01-14 11:30:00,16329,16346,16328,16333,1144
2026-01-14 11:35:00,16333,16336,16322,16336,787
2026-01-14 11:40:00,16331,16350,16329,16339,1230
2026-01-14 11:45:00,16342,16354,16331,16354,970
2026-01-14 11:50:00,16355,16356,16303,16310,5706
2026-01-14 11:55:00,16310,16310,16301,16307,1913
2026-01-14 12:00:00,16307,16310,16303,16306,1286
2026-01-14 12:05:00,16305,16308,16280,16280,4182
2026-01-14 12:10:00,16283,16285,16240,16267,3862
2026-01-14 12:15:00,16265,16310,16260,16293,2807
2026-01-14 12:20:00,16297,16341,16292,16321,5391
2026-01-14 12:25:00,16321,16355,16305,16305,2494
2026-01-14 12:30:00,16309,16323,16305,16316,825
2026-01-14 12:35:00,16321,16330,16300,16322,1498
2026-01-14 12:40:00,16324,16327,16300,16302,1406
2026-01-14 12:45:00,16304,16308,16275,16280,3120
2026-01-14 12:50:00,16281,16281,16275,16279,1203
2026-01-14 12:55:00,16279,16279,16264,16265,1805
2026-01-14 13:00:00,16266,16275,16251,16269,1339
2026-01-14 13:05:00,16272,16276,16264,16272,920
2026-01-14 13:10:00,16272,16279,16260,16260,2123
2026-01-14 13:15:00,16266,16266,16251,16254,986
2026-01-14 13:20:00,16254,16254,16210,16212,3537
2026-01-14 13:25:00,16211,16224,16190,16197,4132
2026-01-14 13:30:00,16199,16203,16174,16189,2301
2026-01-14 13:35:00,16184,16189,16165,16165,2658
2026-01-14 13:40:00,16165,16175,16154,16159,2359
2026-01-14 13:45:00,16159,16163,16151,16156,1788
2026-01-14 13:50:00,16152,16156,16121,16121,2752
2026-01-14 13:55:00,16121,16124,16107,16120,2982
2026-01-14 14:00:00,16120,16146,16111,16112,3531
2026-01-14 14:05:00,16111,16123,16094,16103,5387
2026-01-14 14:10:00,16106,16149,16103,16145,2716
2026-01-14 14:15:00,16145,16150,16123,16132,2730
2026-01-14 14:20:00,16132,16138,16114,16119,5620
2026-01-14 14:25:00,16118,16131,16111,16111,2162
2026-01-14 14:30:00,16111,16115,16103,16113,2580
2026-01-14 14:35:00,16113,16156,16090,16133,17801
2026-01-14 14:40:00,16132,16160,16127,16159,5637
2026-01-14 14:45:00,16160,16188,16151,16177,5133
2026-01-14 14:50:00,16176,16195,16176,16192,6763
2026-01-14 14:55:00,16192,16196,16162,16170,7357
2026-01-14 15:00:00,16171,16173,16131,16140,19336
2026-01-14 15:05:00,16140,16150,16135,16140,5394
2026-01-14 15:10:00,16141,16160,16139,16154,7618
2026-01-14 15:15:00,16154,16160,16140,16145,9339
2026-01-14 15:20:00,16146,16149,16145,16147,7161
2026-01-14 15:25:00,16147,16152,16140,16148,7791
2026-01-16 09:15:00,16000,16197,15904,16076,24713
2026-01-16 09:20:00,16074,16129,16060,16067,12181
2026-01-16 09:25:00,16067,16091,16051,16062,7443
2026-01-16 09:30:00,16059,16068,16021,16047,8815
2026-01-16 09:35:00,16041,16057,16026,16031,4830
2026-01-16 09:40:00,16033,16080,16033,16069,5856
2026-01-16 09:45:00,16069,16095,16069,16084,6632
2026-01-16 09:50:00,16085,16130,16073,16130,5634
2026-01-16 09:55:00,16129,16130,16075,16099,15098
2026-01-16 10:00:00,16099,16104,16060,16070,10613
2026-01-16 10:05:00,16067,16084,16046,16065,5323
2026-01-16 10:10:00,16064,16105,16053,16083,5586
2026-01-16 10:15:00,16083,16156,16079,16127,9544
2026-01-16 10:20:00,16127,16169,16126,16138,8614
2026-01-16 10:25:00,16138,16149,16126,16137,9953
2026-01-16 10:30:00,16134,16142,16121,16129,5314
2026-01-16 10:35:00,16129,16139,16101,16115,6930
2026-01-16 10:40:00,16115,16130,16084,16100,14471
2026-01-16 10:45:00,16100,16119,16076,16091,15622
2026-01-16 10:50:00,16091,16105,16076,16104,4784
2026-01-16 10:55:00,16100,16111,16080,16105,9411
2026-01-16 11:00:00,16104,16109,16090,16100,3121
2026-01-16 11:05:00,16100,16112,16091,16103,5189
2026-01-16 11:10:00,16101,16110,16092,16100,3717
2026-01-16 11:15:00,16100,16110,16091,16104,6780
2026-01-16 11:20:00,16104,16116,16089,16100,8551
2026-01-16 11:25:00,16101,16101,16036,16039,7302
2026-01-16 11:30:00,16039,16045,16000,16009,5313
2026-01-16 11:35:00,16001,16008,15972,15984,7842
2026-01-16 11:40:00,15982,15997,15965,15966,6517
2026-01-16 11:45:00,15965,15980,15945,15945,7983
2026-01-16 11:50:00,15946,15985,15932,15969,9537
2026-01-16 11:55:00,15969,15985,15947,15954,6901
2026-01-16 12:00:00,15954,15962,15934,15949,8112
2026-01-16 12:05:00,15949,15953,15923,15939,7039
2026-01-16 12:10:00,15938,15966,15931,15955,7839
2026-01-16 12:15:00,15955,15995,15938,15992,10156
2026-01-16 12:20:00,15992,15999,15969,15969,5329
2026-01-16 12:25:00,15969,15971,15898,15899,13996
2026-01-16 12:30:00,15900,15908,15872,15886,16961
2026-01-16 12:35:00,15885,15893,15871,15879,7473
2026-01-16 12:40:00,15878,15890,15874,15881,5208
2026-01-16 12:45:00,15881,15917,15877,15902,6429
2026-01-16 12:50:00,15904,15925,15900,15922,5919
2026-01-16 12:55:00,15919,15922,15897,15899,5244
2026-01-16 13:00:00,15899,15900,15880,15890,5702
2026-01-16 13:05:00,15890,15901,15889,15898,5591
2026-01-16 13:10:00,15896,15897,15865,15880,7076
2026-01-16 13:15:00,15881,15883,15859,15868,5631
2026-01-16 13:20:00,15868,15881,15865,15866,4128
2026-01-16 13:25:00,15866,15873,15841,15849,9932
2026-01-16 13:30:00,15849,15858,15839,15843,9059
2026-01-16 13:35:00,15842,15848,15830,15840,4797
2026-01-16 13:40:00,15839,15848,15826,15835,5024
2026-01-16 13:45:00,15835,15851,15830,15833,5563
2026-01-16 13:50:00,15833,15842,15802,15820,7078
2026-01-16 13:55:00,15820,15829,15806,15808,4956
2026-01-16 14:00:00,15808,15821,15799,15799,16732
2026-01-16 14:05:00,15799,15828,15799,15806,8364
2026-01-16 14:10:00,15806,15837,15801,15830,7246
2026-01-16 14:15:00,15830,15830,15808,15816,5408
2026-01-16 14:20:00,15814,15819,15806,15809,11694
2026-01-16 14:25:00,15808,15811,15791,15807,7835
2026-01-16 14:30:00,15805,15807,15792,15799,6703
2026-01-16 14:35:00,15797,15799,15770,15780,17410
2026-01-16 14:40:00,15779,15798,15779,15795,10833
2026-01-16 14:45:00,15793,15860,15783,15855,17972
2026-01-16 14:50:00,15853,15864,15832,15844,11772
2026-01-16 14:55:00,15844,15858,15833,15847,12463
2026-01-16 15:00:00,15847,15872,15834,15867,36637
2026-01-16 15:05:00,15865,15867,15849,15851,9135
2026-01-16 15:10:00,15852,15854,15841,15849,12066
2026-01-16 15:15:00,15849,15861,15838,15859,16920
2026-01-16 15:20:00,15859,15881,15859,15877,17037
2026-01-16 15:25:00,15881,15891,15864,15877,13999
2026-01-19 09:15:00,15859,15912,15813,15892,7271
2026-01-19 09:20:00,15885,15928,15864,15919,5376
2026-01-19 09:25:00,15923,15968,15919,15927,4271
2026-01-19 09:30:00,15930,15951,15907,15948,2121
2026-01-19 09:35:00,15945,16017,15943,15993,18135
2026-01-19 09:40:00,15992,15992,15953,15981,3280
2026-01-19 09:45:00,15981,15989,15962,15981,2109
2026-01-19 09:50:00,15980,15981,15951,15958,2032
2026-01-19 09:55:00,15957,16022,15957,16022,17527
2026-01-19 10:00:00,16022,16023,16000,16011,2977
2026-01-19 10:05:00,16011,16072,16005,16069,21175
2026-01-19 10:10:00,16070,16074,16050,16057,5755
2026-01-19 10:15:00,16060,16063,16044,16044,2493
2026-01-19 10:20:00,16044,16059,16033,16047,3114
2026-01-19 10:25:00,16047,16065,16030,16032,2229
2026-01-19 10:30:00,16037,16041,16032,16034,1072
2026-01-19 10:35:00,16034,16038,16012,16013,2203
2026-01-19 10:40:00,16013,16057,16002,16055,13140
2026-01-19 10:45:00,16057,16074,16050,16074,3209
2026-01-19 10:50:00,16072,16097,16054,16059,4311
2026-01-19 10:55:00,16063,16102,16059,16094,15199
2026-01-19 11:00:00,16095,16110,16082,16090,3217
2026-01-19 11:05:00,16089,16100,16077,16082,1236
2026-01-19 11:10:00,16079,16083,16060,16075,1692
2026-01-19 11:15:00,16070,16085,16065,16078,1158
2026-01-19 11:20:00,16077,16078,16057,16058,2088
2026-01-19 11:25:00,16060,16064,16025,16032,4618
2026-01-19 11:30:00,16032,16046,16017,16020,2674
2026-01-19 11:35:00,16025,16084,16024,16080,13820
2026-01-19 11:40:00,16080,16105,16080,16091,2944
2026-01-19 11:45:00,16094,16100,16073,16086,3566
2026-01-19 11:50:00,16086,16110,16070,16102,3711
2026-01-19 11:55:00,16102,16107,16088,16088,2893
2026-01-19 12:00:00,16088,16095,16080,16085,1813
2026-01-19 12:05:00,16085,16090,16075,16089,3401
2026-01-19 12:10:00,16085,16124,16080,16117,5736
2026-01-19 12:15:00,16117,16150,16117,16141,5648
2026-01-19 12:20:00,16142,16142,16107,16113,3535
2026-01-19 12:25:00,16111,16125,16093,16106,2244
2026-01-19 12:30:00,16106,16130,16106,16116,2396
2026-01-19 12:35:00,16120,16127,16088,16091,1864
2026-01-19 12:40:00,16091,16110,16088,16105,2302
2026-01-19 12:45:00,16105,16130,16105,16122,3496
2026-01-19 12:50:00,16119,16136,16114,16132,1966
2026-01-19 12:55:00,16130,16160,16125,16151,3599
2026-01-19 13:00:00,16155,16166,16144,16160,1973
2026-01-19 13:05:00,16160,16189,16156,16189,3290
