datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,2710,2736,2707.1,2726.8,64899,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,2726.1,2747,2721.1,2745,44900,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,2745.4,2751.8,2735.9,2740,69951,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,2740,2754,2737,2738.7,51159,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,2737.9,2746.7,2736,2745.3,24913,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,2744.1,2745.5,2735,2740.9,22825,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,2740.8,2745,2736,2736.5,12033,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,2736.5,2741,2735,2736.2,12109,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,2735,2742.5,2733,2738.3,17021,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,2738.6,2740,2732,2737,10128,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,2737.1,2746,2736,2744,20589,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,2743.9,2745.3,2738,2739.5,7585,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,2739.5,2740.1,2734.9,2735.2,7705,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,2735.2,2736,2725.3,2727,15707,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,2727.7,2729,2724.2,2727.3,12227,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,2728.2,2729.4,2719.4,2719.9,15578,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,2721,2723.3,2718.7,2721.1,12255,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,2721.1,2721.5,2718,2721.4,5579,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,2721.3,2724,2720.5,2721.3,10530,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:50:00,2720.8,2734,2719.4,2730.3,11684,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:55:00,2729.1,2732.6,2726.8,2730.9,6057,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:00:00,2730.9,2736.8,2729.7,2731.3,11875,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:05:00,2731.3,2735,2729,2734,12297,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:10:00,2733.9,2734,2724.8,2726.7,6635,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:15:00,2726.4,2726.9,2722.1,2723.3,7119,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:20:00,2723.1,2724.9,2721.4,2722.3,4712,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:25:00,2722.4,2724.8,2722.2,2724.7,3088,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:30:00,2724.7,2726.8,2723,2725.5,5638,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:35:00,2725.5,2726.5,2724,2725.4,2019,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:40:00,2725.5,2727.3,2725,2725.9,2634,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:45:00,2726,2732.1,2725,2731,3390,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:50:00,2730.6,2742.1,2729,2738.1,28744,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:55:00,2737,2755.8,2736.4,2752.4,70750,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 12:00:00,2753.5,2758,2745,2749,41144,4.0975,0.0000,100.00,0.0000,100.00
2025-11-11 12:05:00,2749.1,2749.9,2742.8,2744.5,10183,3.8104,0.0000,100.00,0.0000,100.00
2025-11-11 12:10:00,2744.5,2745,2742,2742.3,6713,3.3083,0.0000,100.00,0.0000,100.00
2025-11-11 12:15:00,2742.3,2743.4,2738.4,2739,6274,2.6198,0.0000,100.00,0.0000,100.00
2025-11-11 12:20:00,2739,2741.7,2738.5,2741,4133,2.1830,0.0000,100.00,0.0000,100.00
2025-11-11 12:25:00,2741,2744,2738.3,2741.8,9172,1.8452,0.0000,100.00,0.0000,100.00
2025-11-11 12:30:00,2741.6,2747,2741.6,2746,8549,1.8000,0.0000,100.00,0.0000,100.00
2025-11-11 12:35:00,2746,2746.7,2743.1,2745.4,5376,1.6301,0.0000,100.00,0.0000,100.00
2025-11-11 12:40:00,2745.5,2746.4,2743.1,2745.9,5282,1.4574,0.0000,100.00,0.0000,100.00
2025-11-11 12:45:00,2745.9,2749,2744.3,2746.5,8189,1.2951,0.0000,100.00,0.0000,100.00
2025-11-11 12:50:00,2747,2747.8,2745,2747.1,3872,1.1449,0.0000,100.00,0.0000,100.00
2025-11-11 12:55:00,2746.1,2747.1,2742.8,2743.7,5845,0.7522,0.0000,100.00,0.0000,100.00
