datetime,open,high,low,close,volume
2025-12-08 03:45:00,77.05,77.3,76.6,76.85,182178
2025-12-08 03:50:00,76.83,76.99,76.62,76.9,118113
2025-12-08 03:55:00,76.9,76.92,76.61,76.69,89027
2025-12-08 04:00:00,76.66,76.87,76.65,76.66,113464
2025-12-08 04:05:00,76.66,76.7,76.55,76.58,108902
2025-12-08 04:10:00,76.58,76.6,76.51,76.56,53537
2025-12-08 04:15:00,76.55,76.75,76.53,76.66,70603
2025-12-08 04:20:00,76.63,76.66,76.51,76.54,44242
2025-12-08 04:25:00,76.51,76.63,76.45,76.6,89200
2025-12-08 04:30:00,76.58,76.84,76.56,76.73,187098
2025-12-08 04:35:00,76.7,76.75,76.64,76.7,49839
2025-12-08 04:40:00,76.67,76.74,76.62,76.74,55072
2025-12-08 04:45:00,76.73,76.83,76.69,76.75,137039
2025-12-08 04:50:00,76.72,76.81,76.7,76.7,62148
2025-12-08 04:55:00,76.7,76.78,76.62,76.73,69852
2025-12-08 05:00:00,76.72,76.8,76.7,76.77,78016
2025-12-08 05:05:00,76.74,76.79,76.68,76.78,68121
2025-12-08 05:10:00,76.75,76.8,76.71,76.75,34079
2025-12-08 05:15:00,76.76,76.81,76.67,76.78,89386
2025-12-08 05:20:00,76.75,76.8,76.62,76.74,51988
2025-12-08 05:25:00,76.74,76.83,76.71,76.74,59452
2025-12-08 05:30:00,76.73,76.8,76.68,76.76,82481
2025-12-08 05:35:00,76.76,76.79,76.71,76.78,39036
2025-12-08 05:40:00,76.76,76.79,76.74,76.74,33081
2025-12-08 05:45:00,76.74,76.79,76.57,76.67,85421
2025-12-08 05:50:00,76.68,76.74,76.52,76.52,89354
2025-12-08 05:55:00,76.51,76.73,76.51,76.6,43294
2025-12-08 06:00:00,76.6,76.67,76.58,76.66,44552
2025-12-08 06:05:00,76.64,76.79,76.63,76.79,111670
2025-12-08 06:10:00,76.76,76.92,76.74,76.76,105509
2025-12-08 06:15:00,76.76,76.84,76.7,76.84,61501
2025-12-08 06:20:00,76.83,76.85,76.72,76.8,43757
2025-12-08 06:25:00,76.77,76.87,76.71,76.77,166501
2025-12-08 06:30:00,76.77,76.8,76.71,76.77,79379
2025-12-08 06:35:00,76.75,76.78,76.71,76.73,33063
2025-12-08 06:40:00,76.73,76.78,76.58,76.6,97429
2025-12-08 06:45:00,76.6,76.72,76.58,76.7,59982
2025-12-08 06:50:00,76.68,76.73,76.62,76.71,62494
2025-12-08 06:55:00,76.68,76.69,76.6,76.67,51725
2025-12-08 07:00:00,76.67,76.77,76.6,76.62,112198
2025-12-08 07:05:00,76.62,76.73,76.62,76.71,89844
2025-12-08 07:10:00,76.68,76.81,76.66,76.69,73807
2025-12-08 07:15:00,76.69,76.8,76.64,76.77,107266
2025-12-08 07:20:00,76.74,76.77,76.65,76.76,45342
2025-12-08 07:25:00,76.73,76.81,76.68,76.71,78161
2025-12-08 07:30:00,76.72,76.77,76.66,76.75,64964
2025-12-08 07:35:00,76.71,76.78,76.69,76.76,55747
2025-12-08 07:40:00,76.73,76.79,76.69,76.73,56084
2025-12-08 07:45:00,76.71,76.79,76.64,76.75,93947
2025-12-08 07:50:00,76.74,77.1,76.7,76.79,903188
2025-12-08 07:55:00,76.78,76.8,76.6,76.62,135496
2025-12-08 08:00:00,76.62,76.66,76.35,76.46,217710
2025-12-08 08:05:00,76.42,76.51,76.34,76.5,127296
2025-12-08 08:10:00,76.49,76.76,76.49,76.72,138307
2025-12-08 08:15:00,76.72,76.96,76.71,76.95,148267
2025-12-08 08:20:00,76.94,77.04,76.91,77.01,249623
2025-12-08 08:25:00,77.01,77.03,76.91,77,351903
2025-12-08 08:30:00,76.97,77.01,76.59,76.63,301318
2025-12-08 08:35:00,76.61,76.74,76.55,76.6,110558
2025-12-08 08:40:00,76.58,76.7,76.58,76.62,62828
2025-12-08 08:45:00,76.62,76.65,76.37,76.59,131341
2025-12-08 08:50:00,76.56,76.61,76.48,76.58,48394
2025-12-08 08:55:00,76.58,76.59,76.41,76.46,57939
2025-12-08 09:00:00,76.46,76.48,76.22,76.25,121305
2025-12-08 09:05:00,76.24,76.25,76.05,76.1,176523
2025-12-08 09:10:00,76.1,76.16,76.06,76.16,274779
2025-12-08 09:15:00,76.13,76.28,76.05,76.25,101257
2025-12-08 09:20:00,76.25,76.38,76.22,76.32,141051
2025-12-08 09:25:00,76.31,76.34,76.15,76.25,104766
2025-12-08 09:30:00,76.25,76.59,76.22,76.49,280780
2025-12-08 09:35:00,76.5,76.61,76.42,76.59,170297
2025-12-08 09:40:00,76.56,76.58,76.37,76.41,199640
2025-12-08 09:45:00,76.4,76.43,76.32,76.43,247278
2025-12-08 09:50:00,76.42,76.44,76.34,76.41,216441
2025-12-08 09:55:00,76.41,76.45,76.2,76.45,254932
2025-12-09 03:45:00,76.2,76.39,75.66,75.73,290132
2025-12-09 03:50:00,75.71,75.78,75.49,75.67,215021
2025-12-09 03:55:00,75.7,75.75,75.55,75.59,182089
2025-12-09 04:00:00,75.57,75.6,75.2,75.4,272696
2025-12-09 04:05:00,75.44,75.55,75.3,75.33,82352
2025-12-09 04:10:00,75.3,75.45,75.22,75.26,57724
2025-12-09 04:15:00,75.23,75.3,75.15,75.26,129862
2025-12-09 04:20:00,75.26,75.27,75.05,75.12,221612
2025-12-09 04:25:00,75.07,75.39,75.05,75.15,108667
2025-12-09 04:30:00,75.15,75.42,75.15,75.38,37016
2025-12-09 04:35:00,75.35,75.88,75.34,75.73,224075
2025-12-09 04:40:00,75.71,75.81,75.63,75.7,92610
2025-12-09 04:45:00,75.68,76.13,75.68,76.02,110098
2025-12-09 04:50:00,76,76.07,75.88,76.04,95517
2025-12-09 04:55:00,76.02,76.1,75.92,75.95,112382
2025-12-09 05:00:00,75.92,75.97,75.66,75.68,173129
