datetime,open,high,low,close,volume,histogram
2025-12-05 05:45:00,75.6,75.61,75.45,75.5,332145,0.0000
2025-12-05 05:50:00,75.49,75.71,75.45,75.62,569886,0.0000
2025-12-05 05:55:00,75.63,75.78,75.6,75.69,270940,0.0000
2025-12-05 06:00:00,75.74,75.79,75.68,75.69,143786,0.0000
2025-12-05 06:05:00,75.69,75.76,75.63,75.65,192253,0.0000
2025-12-05 06:10:00,75.65,76.24,75.65,76.13,814943,0.0000
2025-12-05 06:15:00,76.13,76.13,75.87,75.9,444689,0.0000
2025-12-05 06:20:00,75.9,75.93,75.85,75.88,59221,0.0000
2025-12-05 06:25:00,75.88,75.9,75.78,75.82,168887,0.0000
2025-12-05 06:30:00,75.82,75.88,75.81,75.82,44675,0.0000
2025-12-05 06:35:00,75.84,75.88,75.74,75.8,64048,0.0000
2025-12-05 06:40:00,75.8,75.89,75.73,75.76,70333,0.0000
2025-12-05 06:45:00,75.76,75.76,75.65,75.68,59568,0.0000
2025-12-05 06:50:00,75.68,75.83,75.61,75.8,91386,0.0000
2025-12-05 06:55:00,75.8,76.1,75.78,76.01,261947,0.0000
2025-12-05 07:00:00,76.01,76.1,76,76.07,117402,0.0000
2025-12-05 07:05:00,76.05,76.2,76.03,76.13,154321,0.0000
2025-12-05 07:10:00,76.14,76.15,76.01,76.08,67691,0.0000
2025-12-05 07:15:00,76.08,76.15,76.05,76.07,54109,0.0000
2025-12-05 07:20:00,76.07,76.19,76.04,76.04,88034,0.0000
2025-12-05 07:25:00,76.04,76.24,76,76.15,315331,0.0000
2025-12-05 07:30:00,76.15,76.28,76.11,76.18,390996,0.0000
2025-12-05 07:35:00,76.18,76.22,76.13,76.15,157121,0.0000
2025-12-05 07:40:00,76.15,76.2,76.11,76.16,49993,0.0000
2025-12-05 07:45:00,76.16,76.24,76.15,76.21,76824,0.0000
2025-12-05 07:50:00,76.22,76.3,76.14,76.19,101547,0.0000
2025-12-05 07:55:00,76.19,76.23,76.15,76.22,71765,0.0000
2025-12-05 08:00:00,76.2,76.25,76.1,76.16,103879,0.0000
2025-12-05 08:05:00,76.16,76.22,76.15,76.19,59798,0.0000
2025-12-05 08:10:00,76.2,76.29,76.16,76.26,108480,0.0000
2025-12-05 08:15:00,76.27,76.3,76.19,76.22,70247,0.0000
2025-12-05 08:20:00,76.22,76.5,76.1,76.11,434008,0.0000
2025-12-05 08:25:00,76.12,76.27,76.12,76.2,100696,0.0000
2025-12-05 08:30:00,76.21,76.28,76.18,76.23,127665,-0.0252
2025-12-05 08:35:00,76.23,76.27,76.11,76.14,128613,-0.0293
2025-12-05 08:40:00,76.15,76.25,76.14,76.17,56338,-0.0296
2025-12-05 08:45:00,76.17,76.24,76.16,76.23,91874,-0.0256
2025-12-05 08:50:00,76.22,76.24,76.15,76.18,53515,-0.0260
2025-12-05 08:55:00,76.15,76.49,76.14,76.49,306595,-0.0062
2025-12-05 09:00:00,76.47,76.5,76.3,76.42,271410,0.0010
2025-12-05 09:05:00,76.39,76.46,76.3,76.39,171144,0.0025
2025-12-05 09:10:00,76.38,76.4,76.25,76.26,197472,-0.0060
2025-12-05 09:15:00,76.25,76.25,76.11,76.15,146131,-0.0191
2025-12-05 09:20:00,76.15,76.25,76.1,76.13,91409,-0.0286
2025-12-05 09:25:00,76.13,76.45,76.12,76.42,2472566,-0.0154
2025-12-05 09:30:00,76.42,76.53,76.39,76.45,338700,-0.0054
2025-12-05 09:35:00,76.45,76.59,76.44,76.49,413558,0.0029
2025-12-05 09:40:00,76.48,76.58,76.43,76.44,261370,0.0038
2025-12-05 09:45:00,76.45,76.5,76.44,76.48,301687,0.0059
2025-12-05 09:50:00,76.49,76.49,76.42,76.42,257999,0.0021
2025-12-05 09:55:00,76.43,76.47,76.35,76.36,302352,-0.0051
2025-12-08 03:45:00,76.35,76.49,76.08,76.22,422138,-0.0192
2025-12-08 03:50:00,76.22,76.39,76.06,76.32,426887,-0.0215
2025-12-08 03:55:00,76.32,76.44,76.06,76.09,170858,-0.0373
2025-12-08 04:00:00,76.11,76.29,76.11,76.23,156925,-0.0371
