datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,8236,8240.5,8235.5,8237,391,0.0000
2025-11-10 05:50:00,8239.5,8248,8233,8241,889,0.0000
2025-11-10 05:55:00,8241.5,8244.5,8231.5,8231.5,530,0.0000
2025-11-10 06:00:00,8230.5,8236,8221.5,8224,875,0.0000
2025-11-10 06:05:00,8221.5,8224,8205.5,8211.5,633,0.0000
2025-11-10 06:10:00,8211.5,8219.5,8207,8209,678,0.0000
2025-11-10 06:15:00,8214.5,8218,8210.5,8212.5,94,0.0000
2025-11-10 06:20:00,8212.5,8218.5,8206,8211,829,0.0000
2025-11-10 06:25:00,8214.5,8218.5,8211,8211,441,0.0000
2025-11-10 06:30:00,8212,8230.5,8212,8216.5,524,0.0000
2025-11-10 06:35:00,8215,8221,8211,8211,761,0.0000
2025-11-10 06:40:00,8210.5,8220.5,8210,8211.5,1148,0.0000
2025-11-10 06:45:00,8212,8231,8211.5,8219.5,810,0.0000
2025-11-10 06:50:00,8217,8224,8215.5,8218,229,0.0000
2025-11-10 06:55:00,8218,8222,8213.5,8219,308,0.0000
2025-11-10 07:00:00,8214.5,8216.5,8202.5,8205,1413,0.0000
2025-11-10 07:05:00,8205,8210.5,8205,8208,799,0.0000
2025-11-10 07:10:00,8208,8208,8205,8205.5,306,0.0000
2025-11-10 07:15:00,8205.5,8206,8190,8192.5,2278,0.0000
2025-11-10 07:20:00,8194,8202.5,8193.5,8193.5,483,0.0000
2025-11-10 07:25:00,8195.5,8204,8190.5,8198.5,201,0.0000
2025-11-10 07:30:00,8196,8200,8193.5,8193.5,74,0.0000
2025-11-10 07:35:00,8194.5,8195.5,8191.5,8192,137,0.0000
2025-11-10 07:40:00,8191.5,8197.5,8188.5,8188.5,388,0.0000
2025-11-10 07:45:00,8191.5,8199.5,8189,8193,452,0.0000
2025-11-10 07:50:00,8193.5,8207.5,8193.5,8207.5,345,0.0000
2025-11-10 07:55:00,8208,8224.5,8207.5,8219.5,644,0.0000
2025-11-10 08:00:00,8219.5,8226,8215,8218,572,0.0000
2025-11-10 08:05:00,8220.5,8220.5,8208,8208,481,0.0000
2025-11-10 08:10:00,8208.5,8215.5,8193.5,8193.5,531,0.0000
2025-11-10 08:15:00,8195.5,8199.5,8190,8197,646,0.0000
2025-11-10 08:20:00,8197,8213,8196,8213,306,0.0000
2025-11-10 08:25:00,8213.5,8213.5,8201,8202.5,147,0.0000
2025-11-10 08:30:00,8202.5,8210,8198.5,8202.5,305,1.5756
2025-11-10 08:35:00,8202.5,8210,8202,8210,228,1.8938
2025-11-10 08:40:00,8210,8211.5,8204,8204,37,1.6594
2025-11-10 08:45:00,8204.5,8208.5,8200,8206.5,249,1.6296
2025-11-10 08:50:00,8206,8209,8205,8205.5,346,1.5025
2025-11-10 08:55:00,8206.5,8214.5,8202.5,8211.5,989,1.7643
2025-11-10 09:00:00,8207.5,8218,8202,8205,642,1.4545
