datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-12-08 09:15:00,241.23,242,240.76,240.99,164014,-0.0082,0.0000,-100.00,0.0000,100.00
2025-12-08 09:20:00,240.94,241.17,240.63,241,66914,-0.0222,0.0000,-100.00,0.0000,100.00
2025-12-08 09:25:00,240.92,240.99,240.7,240.72,36190,-0.0450,0.0000,-100.00,0.0000,100.00
2025-12-08 09:30:00,240.74,241.19,240.6,240.91,97138,-0.0421,0.0000,-100.00,0.0000,100.00
2025-12-08 09:35:00,240.91,241.17,240.9,240.92,67757,-0.0346,0.0000,-100.00,0.0000,100.00
2025-12-08 09:40:00,240.93,241.06,240.82,240.92,49024,-0.0251,0.0000,-100.00,0.0000,100.00
2025-12-08 09:45:00,240.9,240.96,240.6,240.85,41576,-0.0194,0.0000,-100.00,0.0000,100.00
2025-12-08 09:50:00,240.83,240.83,240.49,240.67,42337,-0.0233,0.0000,-100.00,0.0000,100.00
2025-12-08 09:55:00,240.67,240.8,240.58,240.8,27707,-0.0131,0.0000,-100.00,0.0000,100.00
2025-12-08 10:00:00,240.8,240.97,240.7,240.81,49238,-0.0023,0.0000,-100.00,0.0000,100.00
2025-12-08 10:05:00,240.81,240.92,240.55,240.62,29595,-0.0044,0.0000,-100.00,0.0000,100.00
2025-12-08 10:10:00,240.61,240.95,240.6,240.95,29499,0.0186,0.0000,100.00,0.0000,100.00
2025-12-08 10:15:00,240.95,241,240.73,240.9,37632,0.0320,0.0000,100.00,0.0000,100.00
2025-12-08 10:20:00,240.86,241.03,240.8,240.97,33863,0.0462,0.0000,100.00,0.0000,100.00
2025-12-08 10:25:00,241.01,241.01,240.48,240.73,61871,0.0402,0.0000,100.00,0.0000,100.00
2025-12-08 10:30:00,240.73,240.98,240.6,240.79,31135,0.0410,0.0000,100.00,0.0000,100.00
2025-12-08 10:35:00,240.79,240.99,240.68,240.95,36952,0.0523,0.0000,100.00,0.0000,100.00
2025-12-08 10:40:00,240.95,241,240.78,240.91,23988,0.0566,0.0000,100.00,0.0000,100.00
2025-12-08 10:45:00,240.91,241,240.73,240.77,24823,0.0499,0.0000,100.00,0.0000,100.00
2025-12-08 10:50:00,240.77,241,240.75,240.93,30301,0.0557,0.0000,100.00,0.0000,100.00
2025-12-08 10:55:00,240.93,241,240.82,240.85,30051,0.0534,0.0000,100.00,0.0000,100.00
2025-12-08 11:00:00,240.85,240.99,240.82,240.96,22202,0.0584,0.0000,100.00,0.0000,100.00
2025-12-08 11:05:00,240.96,241.02,240.78,240.95,39259,0.0597,0.0000,100.00,0.0000,100.00
2025-12-08 11:10:00,240.96,241,240.82,240.97,19475,0.0606,0.0000,100.00,0.0000,100.00
2025-12-08 11:15:00,240.94,241.1,240.93,240.97,45600,0.0596,0.0000,100.00,0.0000,100.00
2025-12-08 11:20:00,240.96,241.39,240.96,241.19,56857,0.0715,0.0000,100.00,0.0000,100.00
2025-12-08 11:25:00,241.17,241.55,241.11,241.47,61319,0.0944,0.0000,100.00,0.0000,100.00
2025-12-08 11:30:00,241.45,241.45,241.17,241.26,53471,0.0916,0.0000,100.00,0.0000,100.00
2025-12-08 11:35:00,241.25,241.28,241.06,241.07,59212,0.0739,0.0000,100.00,0.0000,100.00
2025-12-08 11:40:00,241.06,241.13,240.93,241.08,44003,0.0604,0.0000,100.00,0.0000,100.00
2025-12-08 11:45:00,241.11,241.43,241.07,241.41,35409,0.0705,0.0000,100.00,0.0000,100.00
2025-12-08 11:50:00,241.41,241.5,241.31,241.43,58102,0.0749,0.0000,100.00,0.0000,100.00
2025-12-08 11:55:00,241.45,241.5,241.14,241.24,48608,0.0619,0.0000,100.00,0.0000,100.00
2025-12-08 12:00:00,241.22,241.25,240.98,241,34975,0.0354,0.0000,100.00,0.0000,100.00
2025-12-08 12:05:00,240.99,241.1,240.78,241.06,56736,0.0209,0.0000,100.00,0.0000,100.00
2025-12-08 12:10:00,241.05,241.05,240.81,240.88,22576,-0.0007,0.0000,-100.00,0.0000,100.00
2025-12-08 12:15:00,240.88,241.01,240.76,240.97,27289,-0.0084,0.0000,-100.00,0.0000,100.00
2025-12-08 12:20:00,240.97,241.01,240.76,240.81,21819,-0.0230,0.0000,-100.00,0.0000,100.00
2025-12-08 12:25:00,240.86,240.92,240.7,240.74,48067,-0.0352,0.0000,-100.00,0.0000,100.00
2025-12-08 12:30:00,240.74,240.98,240.73,240.81,21677,-0.0363,0.0000,-100.00,0.0000,100.00
2025-12-08 12:35:00,240.81,241.08,240.8,240.98,50511,-0.0240,0.0000,-100.00,0.0000,100.00
2025-12-08 12:40:00,240.97,240.98,240.82,240.85,34857,-0.0229,0.0000,-100.00,0.0000,100.00
2025-12-08 12:45:00,240.85,240.88,240.59,240.79,57725,-0.0245,0.0000,-100.00,0.0000,100.00
2025-12-08 12:50:00,240.83,240.92,240.33,240.45,65541,-0.0454,0.0000,-100.00,0.0000,100.00
2025-12-08 12:55:00,240.4,240.4,239.79,239.97,172578,-0.0862,0.0000,-100.00,0.0000,100.00
2025-12-08 13:00:00,240.02,240.05,239.9,240.02,39281,-0.1033,0.0000,-100.00,0.0000,100.00
2025-12-08 13:05:00,240.02,240.03,239.77,239.99,40148,-0.1096,0.0000,-100.00,0.0000,100.00
2025-12-08 13:10:00,240,240.2,239.95,239.99,60727,-0.1065,0.0000,-100.00,0.0000,100.00
2025-12-08 13:15:00,239.99,239.99,239.73,239.86,44502,-0.1058,0.0000,-100.00,0.0000,100.00
2025-12-08 13:20:00,239.85,239.85,239.58,239.7,34856,-0.1082,0.0000,-100.00,0.0000,100.00
2025-12-08 13:25:00,239.7,239.75,239.4,239.43,54477,-0.1194,0.0000,-100.00,0.0000,100.00
2025-12-08 13:30:00,239.48,239.54,238.85,239,143366,-0.1453,0.0000,-100.00,0.0000,100.00
2025-12-08 13:35:00,239,239,238.72,238.8,88343,-0.1641,0.0000,-100.00,0.0000,100.00
2025-12-08 13:40:00,238.82,239.08,238.79,238.91,83698,-0.1573,0.0000,-100.00,0.0000,100.00
2025-12-08 13:45:00,238.93,239.34,238.9,239.25,122017,-0.1198,0.0000,-100.00,0.0000,100.00
2025-12-08 13:50:00,239.25,239.35,238.94,239,61721,-0.1024,0.0000,-100.00,0.0000,100.00
2025-12-08 13:55:00,239,239,238.8,238.95,35028,-0.0855,0.0000,-100.00,0.0000,100.00
2025-12-08 14:00:00,238.95,238.97,238.65,238.96,70886,-0.0657,0.0000,-100.00,0.0000,100.00
2025-12-08 14:05:00,238.95,238.95,238.5,238.77,92835,-0.0579,0.0000,-100.00,0.0000,100.00
2025-12-08 14:10:00,238.77,238.99,238.7,238.8,76197,-0.0437,0.0000,-100.00,0.0000,100.00
2025-12-08 14:15:00,238.81,238.99,238.45,238.95,143717,-0.0186,0.0000,-100.00,0.0000,100.00
2025-12-08 14:20:00,238.95,238.95,238.75,238.88,51591,-0.0019,0.0000,-100.00,0.0000,100.00
2025-12-08 14:25:00,238.87,238.87,238.54,238.83,51208,0.0099,0.0000,100.00,0.0000,100.00
2025-12-08 14:30:00,238.83,238.84,238.6,238.79,43461,0.0187,0.0000,100.00,0.0000,100.00
2025-12-08 14:35:00,238.73,238.86,238.57,238.7,62679,0.0218,0.0000,100.00,0.0000,100.00
2025-12-08 14:40:00,238.7,238.9,238.68,238.87,64101,0.0378,0.0000,100.00,0.0000,100.00
2025-12-08 14:45:00,238.86,238.99,238.6,238.85,127947,0.0488,0.0000,100.00,0.0000,100.00
2025-12-08 14:50:00,238.85,239.25,238.65,238.69,191293,0.0471,0.0000,100.00,0.0000,100.00
2025-12-08 14:55:00,238.69,238.79,238.35,238.4,124822,0.0291,0.0000,100.00,0.0000,100.00
2025-12-08 15:00:00,238.4,238.86,238.38,238.7,186300,0.0393,0.0000,100.00,0.0000,100.00
2025-12-08 15:05:00,238.72,238.89,238.53,238.72,172335,0.0488,0.0000,100.00,0.0000,100.00
2025-12-08 15:10:00,238.75,238.89,238.57,238.63,226025,0.0503,0.0000,100.00,0.0000,100.00
2025-12-08 15:15:00,238.63,238.68,238.35,238.61,188996,0.0509,0.0000,100.00,0.0000,100.00
2025-12-08 15:20:00,238.62,238.72,238.33,238.61,221622,0.0521,0.0000,100.00,0.0000,100.00
2025-12-08 15:25:00,238.61,238.61,237.7,238.1,190083,0.0210,0.0000,100.00,0.0000,100.00
2025-12-09 09:15:00,237.7,238.36,236.83,237.35,156680,-0.0441,0.0210,-310.00,238.1000,-0.31
2025-12-09 09:20:00,237.26,237.7,236.85,237.65,76142,-0.0600,0.0210,-385.71,238.1000,-0.19
2025-12-09 09:25:00,237.52,237.7,237.39,237.5,40474,-0.0728,0.0210,-446.67,238.1000,-0.25
2025-12-09 09:30:00,237.5,237.52,237.03,237.38,81412,-0.0809,0.0210,-485.24,238.1000,-0.30
2025-12-09 09:35:00,237.37,237.7,237.11,237.46,79531,-0.0726,0.0210,-445.71,238.1000,-0.27
2025-12-09 09:40:00,237.46,237.88,237.2,237.29,58739,-0.0704,0.0210,-435.24,238.1000,-0.34
2025-12-09 09:45:00,237.29,237.71,237.27,237.51,36733,-0.0470,0.0210,-323.81,238.1000,-0.25
2025-12-09 09:50:00,237.5,237.6,237.35,237.49,30282,-0.0268,0.0210,-227.62,238.1000,-0.26
2025-12-09 09:55:00,237.49,237.75,237.36,237.47,58007,-0.0096,0.0210,-145.71,238.1000,-0.26
2025-12-09 10:00:00,237.47,238.11,237.35,238,66542,0.0400,0.0210,90.48,238.1000,-0.04
2025-12-09 10:05:00,238,238.43,237.9,238.07,51535,0.0779,0.0210,270.95,238.1000,-0.01
2025-12-09 10:10:00,238.05,238.15,237.55,237.55,72108,0.0685,0.0210,226.19,238.1000,-0.23
