datetime,open,high,low,close,volume
2026-01-13 09:15:00,34625,34745,34410,34510,956
2026-01-13 09:20:00,34510,34510,34440,34465,301
2026-01-13 09:25:00,34465,34475,34420,34425,164
2026-01-13 09:30:00,34425,34450,34295,34330,435
2026-01-13 09:35:00,34350,34365,34300,34300,101
2026-01-13 09:40:00,34300,34300,34250,34255,105
2026-01-13 09:45:00,34290,34375,34290,34320,184
2026-01-13 09:50:00,34315,34350,34280,34290,123
2026-01-13 09:55:00,34285,34300,34225,34260,115
2026-01-13 10:00:00,34260,34330,34215,34325,190
2026-01-13 10:05:00,34310,34425,34310,34425,143
2026-01-13 10:10:00,34420,34500,34380,34430,481
2026-01-13 10:15:00,34430,34465,34385,34440,346
2026-01-13 10:20:00,34440,34515,34440,34485,149
2026-01-13 10:25:00,34495,34560,34485,34545,172
2026-01-13 10:30:00,34545,34585,34515,34565,178
2026-01-13 10:35:00,34545,34550,34440,34450,287
2026-01-13 10:40:00,34445,34470,34435,34440,185
2026-01-13 10:45:00,34445,34480,34420,34475,231
2026-01-13 10:50:00,34475,34495,34430,34430,95
2026-01-13 10:55:00,34430,34450,34405,34410,64
2026-01-13 11:00:00,34410,34440,34380,34415,135
2026-01-13 11:05:00,34415,34445,34415,34420,28
2026-01-13 11:10:00,34420,34500,34415,34465,97
2026-01-13 11:15:00,34465,34485,34440,34440,43
2026-01-13 11:20:00,34440,34470,34430,34445,40
2026-01-13 11:25:00,34445,34480,34440,34460,62
2026-01-13 11:30:00,34460,34500,34460,34490,185
2026-01-13 11:35:00,34505,34515,34475,34515,125
2026-01-13 11:40:00,34485,34485,34455,34455,45
2026-01-13 11:45:00,34455,34470,34450,34455,21
2026-01-13 11:50:00,34460,34470,34430,34430,93
2026-01-13 11:55:00,34430,34460,34430,34440,88
2026-01-13 12:00:00,34440,34465,34420,34445,145
2026-01-13 12:05:00,34445,34470,34440,34450,103
2026-01-13 12:10:00,34450,34465,34440,34460,120
2026-01-13 12:15:00,34440,34475,34440,34455,175
2026-01-13 12:20:00,34455,34475,34440,34465,113
2026-01-13 12:25:00,34475,34535,34465,34535,118
2026-01-13 12:30:00,34510,34525,34500,34510,56
2026-01-13 12:35:00,34500,34525,34495,34510,173
2026-01-13 12:40:00,34510,34550,34500,34550,309
2026-01-13 12:45:00,34540,34595,34485,34520,272
2026-01-13 12:50:00,34520,34550,34520,34530,65
2026-01-13 12:55:00,34530,34540,34495,34495,48
