datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,5899.5,5942,5880.5,5939.5,24239,4.6884,0.0000,100.00,0.0000,100.00
2025-11-11 09:20:00,5942,5960,5918.5,5954,27350,8.1323,0.0000,100.00,0.0000,100.00
2025-11-11 09:25:00,5955.5,5963,5943,5963,16711,10.3988,0.0000,100.00,0.0000,100.00
2025-11-11 09:30:00,5963,5964.5,5941.5,5959.5,23981,10.9871,0.0000,100.00,0.0000,100.00
2025-11-11 09:35:00,5959.5,5961.5,5953.5,5958.5,12663,10.6272,0.0000,100.00,0.0000,100.00
2025-11-11 09:40:00,5959.5,5998.5,5958.5,5995,48366,12.0608,0.0000,100.00,0.0000,100.00
2025-11-11 09:45:00,5995,6004,5975,5976,37661,10.9739,0.0000,100.00,0.0000,100.00
2025-11-11 09:50:00,5976,5980.5,5960.5,5975,18183,9.4881,0.0000,100.00,0.0000,100.00
2025-11-11 09:55:00,5975,6002,5974,6000,19800,9.4676,0.0000,100.00,0.0000,100.00
2025-11-11 10:00:00,6000,6013.5,6000,6010.5,30437,9.4198,0.0000,100.00,0.0000,100.00
2025-11-11 10:05:00,6012,6033,6010,6032,32088,10.0378,0.0000,100.00,0.0000,100.00
2025-11-11 10:10:00,6034,6040,6004.5,6014.5,22815,8.5290,0.0000,100.00,0.0000,100.00
2025-11-11 10:15:00,6017.5,6020,6010,6015,10388,6.8956,0.0000,100.00,0.0000,100.00
2025-11-11 10:20:00,6015.5,6016.5,6000,6010,9921,4.9029,0.0000,100.00,0.0000,100.00
2025-11-11 10:25:00,6009,6010,5990,5991,11817,1.8849,0.0000,100.00,0.0000,100.00
2025-11-11 10:30:00,5989,5997,5982,5995,11007,-0.1540,0.0000,-100.00,0.0000,100.00
2025-11-11 10:35:00,5995,6000,5990,5992,8436,-1.9188,0.0000,-100.00,0.0000,100.00
2025-11-11 10:40:00,5992,6000,5974.5,5975,7092,-4.3082,0.0000,-100.00,0.0000,100.00
2025-11-11 10:45:00,5975,5981.5,5963.5,5977,8436,-5.7416,0.0000,-100.00,0.0000,100.00
2025-11-11 10:50:00,5978.5,5990,5975,5988.5,3995,-5.8813,0.0000,-100.00,0.0000,100.00
2025-11-11 10:55:00,5990,5991.5,5984.5,5986,4047,-6.0828,0.0000,-100.00,0.0000,100.00
2025-11-11 11:00:00,5987,5988,5977.5,5979,4684,-6.5859,0.0000,-100.00,0.0000,100.00
2025-11-11 11:05:00,5980,5986.5,5978.5,5982,3397,-6.5983,0.0000,-100.00,0.0000,100.00
2025-11-11 11:10:00,5983.5,5985,5976,5979.5,3800,-6.6386,0.0000,-100.00,0.0000,100.00
2025-11-11 11:15:00,5982,5985.5,5978,5979,3694,-6.5514,0.0000,-100.00,0.0000,100.00
2025-11-11 11:20:00,5981.5,5982,5965,5972,5303,-6.7888,0.0000,-100.00,0.0000,100.00
2025-11-11 11:25:00,5971.5,5973,5951,5957,8447,-7.7123,0.0000,-100.00,0.0000,100.00
2025-11-11 11:30:00,5957,5961.5,5951,5955,6136,-8.1701,0.0000,-100.00,0.0000,100.00
2025-11-11 11:35:00,5957.5,5970,5950,5962,6192,-7.7192,0.0000,-100.00,0.0000,100.00
2025-11-11 11:40:00,5962,5971.5,5959,5961.5,4502,-7.1833,0.0000,-100.00,0.0000,100.00
2025-11-11 11:45:00,5964,5967,5957.5,5967,2025,-6.2229,0.0000,-100.00,0.0000,100.00
2025-11-11 11:50:00,5967,5967,5955.5,5962,3895,-5.7028,0.0000,-100.00,0.0000,100.00
2025-11-11 11:55:00,5962,5969,5956,5956.5,4026,-5.5048,0.0000,-100.00,0.0000,100.00
2025-11-11 12:00:00,5957,5962.5,5954,5957.5,4855,-5.0917,0.0000,-100.00,0.0000,100.00
2025-11-11 12:05:00,5960,5967,5954.5,5961.5,5826,-4.3624,0.0000,-100.00,0.0000,100.00
2025-11-11 12:10:00,5962,5965,5957,5961,3720,-3.7503,0.0000,-100.00,0.0000,100.00
2025-11-11 12:15:00,5961,5963.5,5957,5958.5,3751,-3.3629,0.0000,-100.00,0.0000,100.00
2025-11-11 12:20:00,5958.5,5963,5958.5,5959.5,3613,-2.9056,0.0000,-100.00,0.0000,100.00
2025-11-11 12:25:00,5961,5994.5,5955,5988,12815,-0.6669,0.0000,-100.00,0.0000,100.00
2025-11-11 12:30:00,5987.5,5995,5980,5994,9323,1.1367,0.0000,100.00,0.0000,100.00
2025-11-11 12:35:00,5994,5994,5985.5,5990.5,3267,1.9641,0.0000,100.00,0.0000,100.00
2025-11-11 12:40:00,5990.5,5994.5,5985.5,5992,7913,2.4509,0.0000,100.00,0.0000,100.00
2025-11-11 12:45:00,5992,5995,5987,5995,4624,2.7889,0.0000,100.00,0.0000,100.00
2025-11-11 12:50:00,5995,5997,5990.5,5996.5,4134,2.9138,0.0000,100.00,0.0000,100.00
2025-11-11 12:55:00,5997,5999,5989,5991,3429,2.4451,0.0000,100.00,0.0000,100.00
2025-11-11 13:00:00,5991.5,5999,5990,5996.5,4540,2.3255,0.0000,100.00,0.0000,100.00
2025-11-11 13:05:00,5996.5,5996.5,5981.5,5982.5,4780,1.1812,0.0000,100.00,0.0000,100.00
2025-11-11 13:10:00,5985,5988,5975.5,5977.5,4981,0.0262,0.0000,100.00,0.0000,100.00
2025-11-11 13:15:00,5980,5990.5,5980,5987.5,2979,-0.1176,0.0000,-100.00,0.0000,100.00
2025-11-11 13:20:00,5989,5991.5,5986,5988.5,2532,-0.1943,0.0000,-100.00,0.0000,100.00
2025-11-11 13:25:00,5988.5,5994.5,5986,5988,3162,-0.3202,0.0000,-100.00,0.0000,100.00
2025-11-11 13:30:00,5988,5993,5986,5988.5,3354,-0.4057,0.0000,-100.00,0.0000,100.00
2025-11-11 13:35:00,5988.5,5993,5986.5,5992,36392,-0.2690,0.0000,-100.00,0.0000,100.00
2025-11-11 13:40:00,5992,5992,5986,5987.5,2803,-0.5102,0.0000,-100.00,0.0000,100.00
2025-11-11 13:45:00,5990,5995,5984.5,5994.5,2933,-0.2406,0.0000,-100.00,0.0000,100.00
2025-11-11 13:50:00,5992.5,5995.5,5989.5,5990.5,4961,-0.3663,0.0000,-100.00,0.0000,100.00
2025-11-11 13:55:00,5992,5995.5,5985.5,5988.5,3361,-0.6048,0.0000,-100.00,0.0000,100.00
2025-11-11 14:00:00,5990,5992.5,5985.5,5988,3274,-0.8043,0.0000,-100.00,0.0000,100.00
2025-11-11 14:05:00,5988,5994.5,5986,5992.5,3303,-0.6480,0.0000,-100.00,0.0000,100.00
2025-11-11 14:10:00,5992.5,5994,5989.5,5990,3381,-0.7222,0.0000,-100.00,0.0000,100.00
2025-11-11 14:15:00,5992,5994,5987.5,5991,3073,-0.7119,0.0000,-100.00,0.0000,100.00
2025-11-11 14:20:00,5993.5,5994,5990.5,5993.5,2318,-0.5519,0.0000,-100.00,0.0000,100.00
2025-11-11 14:25:00,5993.5,5995,5992,5992.5,3086,-0.5285,0.0000,-100.00,0.0000,100.00
2025-11-11 14:30:00,5994.5,5997.5,5993.5,5996,4247,-0.3036,0.0000,-100.00,0.0000,100.00
2025-11-11 14:35:00,5997,6000,5995,6000,4722,0.0684,0.0000,100.00,0.0000,100.00
2025-11-11 14:40:00,5999.5,6000,5995,5999,7601,0.1939,0.0000,100.00,0.0000,100.00
2025-11-11 14:45:00,6000,6007.5,5999,6005.5,12580,0.6365,0.0000,100.00,0.0000,100.00
2025-11-11 14:50:00,6006,6009,6004,6007,3446,0.9341,0.0000,100.00,0.0000,100.00
2025-11-11 14:55:00,6008.5,6024.5,6006,6024,15778,2.1122,0.0000,100.00,0.0000,100.00
2025-11-11 15:00:00,6024,6039,6023.5,6035,27873,3.3928,0.0000,100.00,0.0000,100.00
2025-11-11 15:05:00,6035,6036,6026.5,6028,11306,3.5141,0.0000,100.00,0.0000,100.00
2025-11-11 15:10:00,6028,6038,6025,6037.5,17877,3.9472,0.0000,100.00,0.0000,100.00
2025-11-11 15:15:00,6037.5,6039,6026.5,6030,16783,3.4593,0.0000,100.00,0.0000,100.00
2025-11-11 15:20:00,6029,6033.5,6019.5,6033,19558,3.0819,0.0000,100.00,0.0000,100.00
2025-11-11 15:25:00,6032,6035,6026,6034,16051,2.6588,0.0000,100.00,0.0000,100.00
2025-11-12 09:15:00,6045.5,6094,6045.5,6092,23399,5.8608,2.6588,120.43,6034.0000,0.96
2025-11-12 09:20:00,6092.5,6117.5,6089,6105,24642,8.2820,2.6588,211.49,6034.0000,1.18
2025-11-12 09:25:00,6104,6104.5,6090.5,6098,10271,8.7917,2.6588,230.66,6034.0000,1.06
2025-11-12 09:30:00,6098,6115,6089,6094,10991,8.2478,2.6588,210.21,6034.0000,0.99
2025-11-12 09:35:00,6094,6100,6080,6098.5,11656,7.5959,2.6588,185.69,6034.0000,1.07
2025-11-12 09:40:00,6098.5,6124.5,6098.5,6117.5,22258,7.8184,2.6588,194.06,6034.0000,1.38
2025-11-12 09:45:00,6116.5,6129,6109,6114,15082,7.1236,2.6588,167.93,6034.0000,1.33
2025-11-12 09:50:00,6112.5,6130,6110,6116.5,10445,6.2570,2.6588,135.33,6034.0000,1.37
