datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,7620,7644,7549,7589.5,3344,-5.4998,0.0000,-100.00,0.0000,100.00
2025-11-11 09:20:00,7588,7608.5,7585.5,7605,2069,-4.7714,0.0000,-100.00,0.0000,100.00
2025-11-11 09:25:00,7605,7605,7585.5,7589.5,596,-5.0812,0.0000,-100.00,0.0000,100.00
2025-11-11 09:30:00,7590,7606,7588.5,7605,630,-4.0357,0.0000,-100.00,0.0000,100.00
2025-11-11 09:35:00,7604.5,7620,7598.5,7618,987,-2.3458,0.0000,-100.00,0.0000,100.00
2025-11-11 09:40:00,7618,7621.5,7610,7614,570,-1.4201,0.0000,-100.00,0.0000,100.00
2025-11-11 09:45:00,7616.5,7617,7602,7602,742,-1.5292,0.0000,-100.00,0.0000,100.00
2025-11-11 09:50:00,7605.5,7609.5,7603,7607.5,355,-1.1610,0.0000,-100.00,0.0000,100.00
2025-11-11 09:55:00,7607.5,7617,7603,7616.5,589,-0.2868,0.0000,-100.00,0.0000,100.00
2025-11-11 10:00:00,7616.5,7630,7611.5,7625,1275,0.8273,0.0000,100.00,0.0000,100.00
2025-11-11 10:05:00,7626.5,7656,7623.5,7654,4303,3.3399,0.0000,100.00,0.0000,100.00
2025-11-11 10:10:00,7655,7660,7650,7654,2253,4.7390,0.0000,100.00,0.0000,100.00
2025-11-11 10:15:00,7653.5,7663,7648.5,7658,1900,5.6112,0.0000,100.00,0.0000,100.00
2025-11-11 10:20:00,7656,7662,7651,7657.5,1040,5.8076,0.0000,100.00,0.0000,100.00
2025-11-11 10:25:00,7657,7683.5,7653.5,7676,6095,6.7693,0.0000,100.00,0.0000,100.00
2025-11-11 10:30:00,7676,7690,7663.5,7666,6395,6.3261,0.0000,100.00,0.0000,100.00
2025-11-11 10:35:00,7664.5,7666,7651,7657,1666,5.0749,0.0000,100.00,0.0000,100.00
2025-11-11 10:40:00,7656.5,7665.5,7650.5,7661,928,4.2010,0.0000,100.00,0.0000,100.00
2025-11-11 10:45:00,7664,7667,7649.5,7653,914,2.8340,0.0000,100.00,0.0000,100.00
2025-11-11 10:50:00,7654,7654.5,7640,7654,1298,1.7974,0.0000,100.00,0.0000,100.00
