datetime,open,high,low,close,volume
2025-06-02 09:15:00,290.3,291.5,289.3,290.25,496126
2025-06-02 09:20:00,290.15,290.55,289.65,290,215541
2025-06-02 09:25:00,290.05,290.25,289.45,289.5,119703
2025-06-02 09:30:00,289.45,289.6,288.4,288.8,143713
2025-06-02 09:35:00,288.8,289.8,288.7,289.65,80259
2025-06-02 09:40:00,289.65,290.1,289.5,289.75,74828
2025-06-02 09:45:00,289.8,290.5,289.75,290.4,68591
2025-06-02 09:50:00,290.35,290.4,290.05,290.35,48871
2025-06-02 09:55:00,290.35,290.45,289.95,290.4,74436
2025-06-02 10:00:00,290.4,290.45,289.95,290.1,57298
2025-06-02 10:05:00,290.15,290.85,289.95,290.8,75913
2025-06-02 10:10:00,290.8,291.15,290.75,291.15,67578
2025-06-02 10:15:00,291.05,291.15,290.55,290.8,67156
2025-06-02 10:20:00,290.75,290.9,290.45,290.8,65744
2025-06-02 10:25:00,290.8,291.1,290.6,291.05,39662
2025-06-02 10:30:00,291.05,291.45,291.05,291.2,95831
2025-06-02 10:35:00,291.2,292.35,291.15,292.35,102706
2025-06-02 10:40:00,292.4,292.4,292,292.05,41816
2025-06-02 10:45:00,292.05,292.3,292,292.1,75797
2025-06-02 10:50:00,292.05,292.1,291.55,291.9,155647
2025-06-02 10:55:00,291.9,292.1,291.65,292.1,84931
2025-06-02 11:00:00,292.05,292.1,291.2,292.05,115424
2025-06-02 11:05:00,292.05,292.25,291.9,292.25,72681
2025-06-02 11:10:00,292.2,292.25,291.95,292.05,62656
2025-06-02 11:15:00,292.05,292.2,291.8,292.2,54522
2025-06-02 11:20:00,292.15,292.35,292.15,292.3,52622
2025-06-02 11:25:00,292.25,292.35,292,292.05,38415
2025-06-02 11:30:00,292.05,292.3,291.8,292.3,65446
2025-06-02 11:35:00,292.3,292.35,292,292.3,32349
2025-06-02 11:40:00,292.3,292.4,292.15,292.25,45233
2025-06-02 11:45:00,292.25,292.3,291.75,292.15,98326
2025-06-02 11:50:00,292.15,292.25,291.8,292.15,31252
2025-06-02 11:55:00,292.2,292.2,291.85,292.05,60129
2025-06-02 12:00:00,292.05,292.3,291.6,292.25,159286
2025-06-02 12:05:00,292.3,292.3,292.05,292.1,17998
2025-06-02 12:10:00,292.05,292.1,291.95,292.05,15592
2025-06-02 12:15:00,292,292.25,292,292.1,25262
2025-06-02 12:20:00,292.1,292.85,292,292.65,103703
2025-06-02 12:25:00,292.65,292.65,292.1,292.4,33273
2025-06-02 12:30:00,292.4,293,292.25,293,47835
2025-06-02 12:35:00,293,293.3,292.9,293.1,133241
2025-06-02 12:40:00,293.1,293.15,292.8,292.9,23547
2025-06-02 12:45:00,292.9,293.2,292.75,293.1,42283
2025-06-02 12:50:00,293.1,293.15,292.9,293,36933
2025-06-02 12:55:00,293,293,292.25,292.35,52197
2025-06-02 13:00:00,292.35,292.8,292.3,292.7,22690
2025-06-02 13:05:00,292.7,292.8,292.5,292.75,38885
2025-06-02 13:10:00,292.75,292.85,292.35,292.55,59421
2025-06-02 13:15:00,292.55,292.75,292.45,292.55,40477
2025-06-02 13:20:00,292.65,293.45,292.35,293.15,128877
2025-06-02 13:25:00,293.3,293.3,292.8,293,99212
2025-06-02 13:30:00,293,293,292.5,292.65,41872
2025-06-02 13:35:00,292.65,293.1,292.5,293.1,110390
2025-06-02 13:40:00,293.1,293.25,293,293.25,72066
2025-06-02 13:45:00,293.25,293.25,293,293,40593
2025-06-02 13:50:00,293.05,293.05,292.75,292.9,90079
2025-06-02 13:55:00,292.9,293,292.5,292.6,45886
2025-06-02 14:00:00,292.65,292.75,292.3,292.3,45993
2025-06-02 14:05:00,292.45,292.45,292,292.1,69005
2025-06-02 14:10:00,292.1,292.2,292,292.15,42193
2025-06-02 14:15:00,292.15,292.25,292,292.1,29799
2025-06-02 14:20:00,292.1,292.35,291.6,292.1,236414
2025-06-02 14:25:00,292.1,292.45,292,292.15,46045
2025-06-02 14:30:00,292.15,292.25,292,292.05,97010
2025-06-02 14:35:00,292.05,292.1,292,292.1,51267
2025-06-02 14:40:00,292.1,292.2,292,292.2,56851
2025-06-02 14:45:00,292.2,292.5,292,292,68096
2025-06-02 14:50:00,292.05,292.3,292,292.2,51941
2025-06-02 14:55:00,292.2,292.65,292,292.6,73252
2025-06-02 15:00:00,292.6,293.65,292.6,293.25,328581
2025-06-02 15:05:00,293.25,293.5,293.05,293.4,237462
2025-06-02 15:10:00,293.4,293.45,292.95,293,253552
2025-06-02 15:15:00,292.95,293.2,292.85,293.15,234954
2025-06-02 15:20:00,293.15,293.2,292.95,293,316186
2025-06-02 15:25:00,293,293.15,292,292.8,497342
2025-06-03 09:15:00,292.55,295.4,291.25,292.25,648577
2025-06-03 09:20:00,292.2,292.7,291.55,292.05,189312
2025-06-03 09:25:00,292,292.65,292,292.2,111457
2025-06-03 09:30:00,292.15,292.35,291.5,291.65,145119
2025-06-03 09:35:00,291.7,292.45,291.65,292.25,111439
2025-06-03 09:40:00,292.2,292.25,291.25,291.25,93162
2025-06-03 09:45:00,291.3,291.7,291.25,291.7,87479
2025-06-03 09:50:00,291.65,292.15,291.25,291.4,86503
2025-06-03 09:55:00,291.4,291.55,290.9,291.2,88896
2025-06-03 10:00:00,291.25,291.25,290.75,291.1,94529
2025-06-03 10:05:00,291.2,291.7,290.9,291.7,68960
2025-06-03 10:10:00,291.7,292.1,291.6,291.95,87150
2025-06-03 10:15:00,291.85,292.45,291.85,292.45,71887
2025-06-03 10:20:00,292.4,293.65,292.4,293.2,196428
2025-06-03 10:25:00,293.2,293.35,292.6,292.8,84202
2025-06-03 10:30:00,292.8,293,292.65,292.8,81677
2025-06-03 10:35:00,292.8,292.8,291,291.15,153840
2025-06-03 10:40:00,291.15,291.2,290.5,290.9,186375
2025-06-03 10:45:00,290.95,291.6,290.8,291.6,81514
2025-06-03 10:50:00,291.55,291.55,290.75,290.9,75653
2025-06-03 10:55:00,290.85,291.4,290.75,291,93975
2025-06-03 11:00:00,291,291.15,290.7,290.85,74124
2025-06-03 11:05:00,290.85,290.85,290.25,290.5,124562
2025-06-03 11:10:00,290.6,290.95,289.75,289.9,182065
2025-06-03 11:15:00,289.9,290.4,289.75,290.35,90085
2025-06-03 11:20:00,290.2,290.35,289.8,290,85676
2025-06-03 11:25:00,290,290.5,289.8,290.45,50188
2025-06-03 11:30:00,290.4,290.8,290.05,290.5,93076
2025-06-03 11:35:00,290.4,290.5,289.8,289.9,72447
2025-06-03 11:40:00,289.8,289.95,289.15,289.55,143665
2025-06-03 11:45:00,289.5,289.5,289.2,289.25,134391
