datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2026-01-27 09:15:00,16650,16650,16471,16577,6930,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:20:00,16577,16644,16488,16643,3656,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:25:00,16643,16730,16630,16701,4691,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:30:00,16700,16779,16691,16732,3830,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:35:00,16742,16848,16738,16832,2553,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:40:00,16832,16832,16753,16789,2053,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:45:00,16784,16817,16771,16817,1233,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:50:00,16820,16846,16780,16794,1258,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 09:55:00,16794,16839,16787,16837,606,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:00:00,16837,16850,16801,16814,990,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:05:00,16814,16831,16814,16826,470,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:10:00,16831,16835,16800,16829,814,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:15:00,16828,16831,16795,16820,676,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:20:00,16816,16830,16790,16800,1239,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:25:00,16800,16817,16757,16781,887,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:30:00,16781,16791,16758,16783,1011,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:35:00,16785,16785,16736,16760,661,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:40:00,16754,16760,16692,16699,1266,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:45:00,16699,16732,16688,16727,955,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:50:00,16727,16727,16702,16716,429,0.0000,0.0000,0.00,0.0000,100.00
2026-01-27 10:55:00,16720,16725,16683,16708,1072,0.0000,0.0000,0.00,0.0000,100.00
