datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,323.45,323.75,323.2,323.55,31384,0.0000
2025-11-10 05:50:00,323.55,323.6,323.15,323.2,39196,0.0000
2025-11-10 05:55:00,323.2,324.05,323.2,323.65,78992,0.0000
2025-11-10 06:00:00,323.65,323.75,323.05,323.05,23526,0.0000
2025-11-10 06:05:00,323.05,323.6,323.05,323.5,41417,0.0000
2025-11-10 06:10:00,323.6,323.9,323.4,323.65,66281,0.0000
2025-11-10 06:15:00,323.75,323.85,323.15,323.65,56541,0.0000
2025-11-10 06:20:00,323.6,323.65,323.45,323.55,22018,0.0000
2025-11-10 06:25:00,323.55,323.65,323.1,323.1,18640,0.0000
2025-11-10 06:30:00,323.1,323.2,321.95,322.65,280718,0.0000
2025-11-10 06:35:00,322.65,323.3,322.4,323.15,91423,0.0000
2025-11-10 06:40:00,323.1,323.3,322.65,322.95,56822,0.0000
2025-11-10 06:45:00,322.95,323.85,322.8,323.8,106304,0.0000
2025-11-10 06:50:00,323.85,324.35,323.35,323.8,150144,0.0000
2025-11-10 06:55:00,323.7,324.15,323.3,324.05,291614,0.0000
2025-11-10 07:00:00,324,324.7,323.5,323.9,65384,0.0000
2025-11-10 07:05:00,323.9,324.65,323.65,324.35,232097,0.0000
2025-11-10 07:10:00,324.35,324.8,324.1,324.75,41154,0.0000
2025-11-10 07:15:00,324.6,325.6,324.45,325.35,422794,0.0000
2025-11-10 07:20:00,325.25,325.35,324.9,325,51804,0.0000
2025-11-10 07:25:00,324.95,325.5,324.85,325.25,144202,0.0000
2025-11-10 07:30:00,325.2,325.35,324.3,324.55,229018,0.0000
2025-11-10 07:35:00,324.6,325.25,324.55,324.6,52687,0.0000
2025-11-10 07:40:00,324.65,324.8,324.35,324.55,33934,0.0000
2025-11-10 07:45:00,324.55,325.2,324.4,324.95,68689,0.0000
2025-11-10 07:50:00,324.8,325.2,324.75,325.1,41635,0.0000
2025-11-10 07:55:00,325.2,325.35,324.95,325.1,68408,0.0000
2025-11-10 08:00:00,325.1,325.25,324.85,324.95,24294,0.0000
2025-11-10 08:05:00,324.95,324.95,324.4,324.5,29814,0.0000
2025-11-10 08:10:00,324.6,324.95,324.5,324.6,27720,0.0000
2025-11-10 08:15:00,324.6,324.7,324.15,324.35,25135,0.0000
2025-11-10 08:20:00,324.35,324.45,324,324.3,62765,0.0000
2025-11-10 08:25:00,324.25,324.35,323.75,324.3,164981,0.0000
2025-11-10 08:30:00,324.3,324.45,324.1,324.3,29311,-0.1995
2025-11-10 08:35:00,324.3,324.4,324.1,324.3,204247,-0.1889
2025-11-10 08:40:00,324.3,324.65,324.05,324.3,43600,-0.1762
2025-11-10 08:45:00,324.3,325,324.2,324.8,89749,-0.1306
2025-11-10 08:50:00,324.75,324.9,324.6,324.75,21042,-0.1016
2025-11-10 08:55:00,324.75,325.35,324.5,325.35,138950,-0.0428
2025-11-10 09:00:00,325.4,325.45,324.6,324.75,68796,-0.0448
2025-11-10 09:05:00,324.7,325,324.55,324.9,24224,-0.0370
2025-11-10 09:10:00,324.9,325,324.55,325,31421,-0.0264
2025-11-10 09:15:00,325,325.2,323.6,324.3,138721,-0.0658
2025-11-10 09:20:00,324.25,324.4,324.05,324.3,35234,-0.0894
2025-11-10 09:25:00,324.3,324.85,324.1,324.65,44833,-0.0795
2025-11-10 09:30:00,324.65,324.7,324.05,324.35,88317,-0.0904
2025-11-10 09:35:00,324.35,324.45,324,324.3,62759,-0.0976
2025-11-10 09:40:00,324.25,324.6,324,324.45,115303,-0.0890
2025-11-10 09:45:00,324.4,324.55,323.65,323.85,503909,-0.1188
2025-11-10 09:50:00,323.85,324.65,323.25,323.7,227371,-0.1420
2025-11-10 09:55:00,323.65,323.95,323,323.3,102999,-0.1755
2025-11-11 03:45:00,323.45,324.5,320.5,321.15,145200,-0.3249
