datetime,open,high,low,close,volume,histogram,previoushistogram,percentagehistogram,previousclose,percentageclose
2025-11-11 09:15:00,875.25,889.9,868.95,869.6,53355,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:20:00,870.05,871.45,867,868.5,14253,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:25:00,867.85,871,866.35,866.75,14373,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:30:00,866.55,868.6,865.1,867.55,7175,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:35:00,867.5,867.8,864.8,866.4,12715,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:40:00,866.75,866.95,865.9,866.65,2801,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:45:00,866.95,866.95,864.8,865.4,14794,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:50:00,865.4,866.5,862.35,864.8,21610,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 09:55:00,864.8,867.5,864.75,866.05,6113,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:00:00,866.5,866.8,865.65,866.25,2575,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:05:00,866.25,867.25,865.15,867.1,4124,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:10:00,866.9,867.45,865.75,866.25,12321,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:15:00,866.25,867.6,865.5,867.05,9906,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:20:00,867.1,868.55,866.7,867.15,5007,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:25:00,867.15,867.45,866.05,866.1,10123,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:30:00,866.15,866.85,865.3,865.8,4857,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:35:00,865.4,865.8,861.35,862.05,12405,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:40:00,862.3,864,861.8,862.35,9277,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:45:00,861.8,862.45,861.75,862.1,6373,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:50:00,862.4,863.6,861.75,862.2,4547,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 10:55:00,862.25,864.55,861.9,864.35,6231,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:00:00,864.1,864.55,862.6,863.4,6058,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:05:00,863.7,864.1,862.85,863.25,6837,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:10:00,863.5,863.65,860.15,860.5,9714,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:15:00,860.25,860.8,859.5,859.6,12950,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:20:00,859.75,860.2,858.7,859.3,6113,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:25:00,859.5,860,859.15,859.5,5228,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:30:00,859.5,860,859.2,859.65,3382,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:35:00,859.7,859.7,857.05,859.1,24501,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:40:00,858.65,863.35,858.65,860.5,21642,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:45:00,860.85,862.1,860.3,861.35,7177,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:50:00,861.3,862.6,861.3,862.15,6854,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 11:55:00,861.9,862.8,861.55,861.7,6032,0.0000,0.0000,0.00,0.0000,100.00
2025-11-11 12:00:00,861.85,862.5,861.1,861.65,4990,0.5986,0.0000,100.00,0.0000,100.00
2025-11-11 12:05:00,861.65,862.25,860.35,860.6,4201,0.5241,0.0000,100.00,0.0000,100.00
2025-11-11 12:10:00,860.6,861.45,860.05,860.15,4609,0.4403,0.0000,100.00,0.0000,100.00
2025-11-11 12:15:00,860.6,863,858.35,858.55,27748,0.2807,0.0000,100.00,0.0000,100.00
2025-11-11 12:20:00,858.55,859.65,858.45,858.9,4272,0.2057,0.0000,100.00,0.0000,100.00
2025-11-11 12:25:00,858.9,859.85,858.6,859.2,5637,0.1840,0.0000,100.00,0.0000,100.00
2025-11-11 12:30:00,859.65,861.5,859,860.8,8704,0.2795,0.0000,100.00,0.0000,100.00
2025-11-11 12:35:00,860.8,861.15,860,860.2,4032,0.3023,0.0000,100.00,0.0000,100.00
2025-11-11 12:40:00,860.2,860.65,859.5,859.5,5762,0.2713,0.0000,100.00,0.0000,100.00
2025-11-11 12:45:00,859.8,860.15,859,859.35,5875,0.2426,0.0000,100.00,0.0000,100.00
2025-11-11 12:50:00,859.4,860.45,859,859.45,5065,0.2324,0.0000,100.00,0.0000,100.00
2025-11-11 12:55:00,859.05,859.05,858,858.05,10489,0.1380,0.0000,100.00,0.0000,100.00
2025-11-11 13:00:00,858,858.1,857,857.4,13665,0.0434,0.0000,100.00,0.0000,100.00
2025-11-11 13:05:00,857.2,858.15,857.05,857.25,5528,-0.0147,0.0000,-100.00,0.0000,100.00
2025-11-11 13:10:00,857.25,861,857.25,860.8,13430,0.1894,0.0000,100.00,0.0000,100.00
2025-11-11 13:15:00,860.8,861.95,860.55,861.6,15180,0.3711,0.0000,100.00,0.0000,100.00
2025-11-11 13:20:00,861.45,862,860.6,860.9,10029,0.4328,0.0000,100.00,0.0000,100.00
2025-11-11 13:25:00,861.25,861.5,860.3,860.55,6090,0.4373,0.0000,100.00,0.0000,100.00
2025-11-11 13:30:00,860.55,862,860.55,861.45,6669,0.4845,0.0000,100.00,0.0000,100.00
2025-11-11 13:35:00,861.8,862.4,861.35,862.05,5827,0.5358,0.0000,100.00,0.0000,100.00
2025-11-11 13:40:00,862.3,862.9,860.8,861.85,10280,0.5346,0.0000,100.00,0.0000,100.00
2025-11-11 13:45:00,862.25,863.8,861.95,863.3,8982,0.6048,0.0000,100.00,0.0000,100.00
2025-11-11 13:50:00,863,863.8,862.65,863.8,9275,0.6539,0.0000,100.00,0.0000,100.00
2025-11-11 13:55:00,863.8,863.95,861.75,861.75,7902,0.5231,0.0000,100.00,0.0000,100.00
2025-11-11 14:00:00,861.75,862.6,861.6,862.3,4374,0.4510,0.0000,100.00,0.0000,100.00
2025-11-11 14:05:00,862.4,862.8,862,862.55,4609,0.3994,0.0000,100.00,0.0000,100.00
2025-11-11 14:10:00,862.55,863.25,862.3,862.65,5457,0.3529,0.0000,100.00,0.0000,100.00
2025-11-11 14:15:00,862.65,863,861.4,861.85,8532,0.2537,0.0000,100.00,0.0000,100.00
2025-11-11 14:20:00,862,862.5,859.85,860.25,28347,0.0751,0.0000,100.00,0.0000,100.00
2025-11-11 14:25:00,860.6,860.95,859.85,860.6,23352,-0.0197,0.0000,-100.00,0.0000,100.00
2025-11-11 14:30:00,861.05,863.75,860.65,863.65,52721,0.1154,0.0000,100.00,0.0000,100.00
2025-11-11 14:35:00,863.7,863.75,861.1,861.65,21917,0.0650,0.0000,100.00,0.0000,100.00
2025-11-11 14:40:00,862,862.6,861.35,862.1,27175,0.0571,0.0000,100.00,0.0000,100.00
2025-11-11 14:45:00,862.5,865.2,862.1,864.2,36826,0.1815,0.0000,100.00,0.0000,100.00
2025-11-11 14:50:00,864.05,864.6,863.25,864.15,25575,0.2447,0.0000,100.00,0.0000,100.00
2025-11-11 14:55:00,863.9,864.85,863.25,863.45,29107,0.2241,0.0000,100.00,0.0000,100.00
