datetime,open,high,low,close,volume
2026-01-13 09:15:00,27180,27400,27180,27315,993
2026-01-13 09:20:00,27290,27290,27210,27240,400
2026-01-13 09:25:00,27250,27255,27155,27180,169
2026-01-13 09:30:00,27180,27180,27070,27085,465
2026-01-13 09:35:00,27070,27105,27025,27030,175
2026-01-13 09:40:00,27030,27035,26990,27025,547
2026-01-13 09:45:00,27015,27090,27015,27030,302
2026-01-13 09:50:00,27030,27065,27015,27045,170
2026-01-13 09:55:00,27070,27095,27020,27020,246
2026-01-13 10:00:00,27020,27070,27020,27055,229
2026-01-13 10:05:00,27060,27090,27050,27070,116
2026-01-13 10:10:00,27080,27105,27040,27045,622
2026-01-13 10:15:00,27045,27070,27025,27060,329
2026-01-13 10:20:00,27060,27075,27055,27070,79
2026-01-13 10:25:00,27070,27090,27065,27085,86
2026-01-13 10:30:00,27085,27090,27065,27080,58
2026-01-13 10:35:00,27060,27065,27000,27000,87
2026-01-13 10:40:00,27000,27015,26960,26980,58
2026-01-13 10:45:00,26980,27020,26920,26995,199
2026-01-13 10:50:00,26990,27020,26990,27010,52
2026-01-13 10:55:00,27000,27010,26990,27000,22
2026-01-13 11:00:00,27000,27010,26980,26995,36
2026-01-13 11:05:00,26995,27015,26980,27015,39
2026-01-13 11:10:00,27020,27055,27020,27025,74
2026-01-13 11:15:00,27015,27030,27000,27020,45
2026-01-13 11:20:00,27015,27105,27015,27100,77
2026-01-13 11:25:00,27100,27200,27095,27175,1003
2026-01-13 11:30:00,27175,27230,27155,27225,104
2026-01-13 11:35:00,27220,27220,27200,27205,39
2026-01-13 11:40:00,27220,27220,27200,27210,81
2026-01-13 11:45:00,27200,27210,27175,27210,107
2026-01-13 11:50:00,27195,27230,27195,27195,73
2026-01-13 11:55:00,27200,27285,27200,27215,231
2026-01-13 12:00:00,27235,27235,27175,27175,52
2026-01-13 12:05:00,27175,27195,27175,27180,16
2026-01-13 12:10:00,27180,27195,27175,27195,26
2026-01-13 12:15:00,27180,27205,27155,27185,94
2026-01-13 12:20:00,27185,27195,27185,27185,44
2026-01-13 12:25:00,27190,27250,27190,27230,115
2026-01-13 12:30:00,27245,27250,27230,27250,38
2026-01-13 12:35:00,27240,27245,27215,27230,33
2026-01-13 12:40:00,27215,27240,27185,27215,69
2026-01-13 12:45:00,27230,27230,27190,27190,29
2026-01-13 12:50:00,27200,27210,27170,27200,83
2026-01-13 12:55:00,27210,27230,27130,27155,150
2026-01-13 13:00:00,27130,27135,27100,27115,83
2026-01-13 13:05:00,27115,27135,27115,27135,28
2026-01-13 13:10:00,27135,27210,27135,27210,499
2026-01-13 13:15:00,27205,27210,27170,27185,84
2026-01-13 13:20:00,27160,27225,27160,27190,235
2026-01-13 13:25:00,27135,27165,27135,27150,40
2026-01-13 13:30:00,27145,27155,27135,27140,81
2026-01-13 13:35:00,27135,27180,27130,27155,97
2026-01-13 13:40:00,27155,27165,27120,27145,42
2026-01-13 13:45:00,27140,27145,27130,27130,20
2026-01-13 13:50:00,27130,27145,27120,27120,41
2026-01-13 13:55:00,27125,27130,27100,27100,160
2026-01-13 14:00:00,27110,27130,27100,27115,43
2026-01-13 14:05:00,27105,27120,27100,27100,20
2026-01-13 14:10:00,27105,27110,27100,27110,22
2026-01-13 14:15:00,27110,27120,27100,27100,235
2026-01-13 14:20:00,27100,27115,27100,27105,318
2026-01-13 14:25:00,27105,27145,27105,27110,117
2026-01-13 14:30:00,27105,27175,27105,27160,93
2026-01-13 14:35:00,27155,27170,27150,27150,19
2026-01-13 14:40:00,27150,27205,27150,27185,272
2026-01-13 14:45:00,27185,27210,27170,27195,75
2026-01-13 14:50:00,27175,27215,27175,27215,80
2026-01-13 14:55:00,27200,27225,27180,27215,78
2026-01-13 15:00:00,27215,27235,27160,27165,509
2026-01-13 15:05:00,27160,27170,27135,27155,666
2026-01-13 15:10:00,27170,27190,27150,27160,532
2026-01-13 15:15:00,27180,27185,27135,27155,946
2026-01-13 15:20:00,27155,27175,27100,27140,1672
2026-01-13 15:25:00,27140,27140,27100,27100,862
2026-01-14 09:15:00,26945,27070,26945,27040,274
2026-01-14 09:20:00,27055,27100,27045,27095,567
2026-01-14 09:25:00,27085,27110,27035,27105,530
2026-01-14 09:30:00,27100,27120,27050,27055,426
2026-01-14 09:35:00,27030,27045,27005,27025,80
2026-01-14 09:40:00,27025,27035,26995,26995,274
2026-01-14 09:45:00,27010,27010,26945,26945,483
2026-01-14 09:50:00,26945,27080,26930,27060,421
2026-01-14 09:55:00,27060,27120,27030,27075,691
2026-01-14 10:00:00,27090,27090,27045,27045,170
2026-01-14 10:05:00,27050,27085,27035,27045,1050
2026-01-14 10:10:00,27060,27145,27060,27125,743
2026-01-14 10:15:00,27125,27180,27110,27135,260
2026-01-14 10:20:00,27125,27125,27105,27120,256
