datetime,open,high,low,close,volume,histogram
2025-12-30 05:45:00,5269.5,5275,5260.5,5261,2511,0.0000
2025-12-30 05:50:00,5260.5,5269.5,5252.5,5255,3132,0.0000
2025-12-30 05:55:00,5255,5264,5254.5,5258.5,1437,0.0000
2025-12-30 06:00:00,5259,5260.5,5256,5256,457,0.0000
2025-12-30 06:05:00,5256,5260.5,5256,5260,103,0.0000
2025-12-30 06:10:00,5258.5,5261,5255.5,5261,353,0.0000
2025-12-30 06:15:00,5261,5262,5254.5,5261,938,0.0000
2025-12-30 06:20:00,5260.5,5260.5,5250,5252.5,850,0.0000
2025-12-30 06:25:00,5252.5,5253,5248.5,5249,921,0.0000
2025-12-30 06:30:00,5249,5253,5245,5245,914,0.0000
2025-12-30 06:35:00,5245,5250,5245,5247.5,840,0.0000
2025-12-30 06:40:00,5246.5,5248,5241,5242,877,0.0000
2025-12-30 06:45:00,5242,5243.5,5235,5239,860,0.0000
2025-12-30 06:50:00,5238,5238,5222,5223,1785,0.0000
2025-12-30 06:55:00,5223.5,5230,5223,5223.5,562,0.0000
2025-12-30 07:00:00,5224,5233,5223.5,5230,746,0.0000
2025-12-30 07:05:00,5230.5,5241.5,5227.5,5239,1205,0.0000
2025-12-30 07:10:00,5239,5242,5235,5236.5,1141,0.0000
2025-12-30 07:15:00,5235.5,5247,5235.5,5243.5,1064,0.0000
2025-12-30 07:20:00,5244.5,5245,5237.5,5241,1512,0.0000
2025-12-30 07:25:00,5240.5,5241,5234,5235.5,830,0.0000
2025-12-30 07:30:00,5237.5,5243.5,5236,5241.5,1176,0.0000
2025-12-30 07:35:00,5241,5255,5241,5244.5,4111,0.0000
2025-12-30 07:40:00,5244.5,5250,5242,5248,876,0.0000
2025-12-30 07:45:00,5247.5,5255,5244,5253,2499,0.0000
2025-12-30 07:50:00,5252,5257,5240,5250,3093,0.0000
2025-12-30 07:55:00,5250,5252.5,5245.5,5252.5,749,0.0000
2025-12-30 08:00:00,5250.5,5260,5240,5252,4476,0.0000
2025-12-30 08:05:00,5252,5257,5246.5,5250,625,0.0000
2025-12-30 08:10:00,5251,5253,5244.5,5246,581,0.0000
2025-12-30 08:15:00,5246.5,5251,5246,5251,556,0.0000
2025-12-30 08:20:00,5248.5,5251,5242,5246,426,0.0000
2025-12-30 08:25:00,5246,5247.5,5242,5242.5,223,0.0000
2025-12-30 08:30:00,5243,5250,5243,5248,502,0.0800
2025-12-30 08:35:00,5249.5,5250,5243,5244.5,416,-0.0834
2025-12-30 08:40:00,5244.5,5246.5,5242,5242,786,-0.3393
2025-12-30 08:45:00,5244.5,5244.5,5240,5240.5,419,-0.5752
2025-12-30 08:50:00,5240.5,5242,5230,5235.5,953,-1.0082
2025-12-30 08:55:00,5235.5,5240,5228.5,5229,1826,-1.6355
2025-12-30 09:00:00,5230,5235.5,5225,5226,1421,-2.1245
2025-12-30 09:05:00,5226,5228,5216,5216.5,1979,-2.9113
2025-12-30 09:10:00,5217,5225.5,5216.5,5225.5,681,-2.6562
2025-12-30 09:15:00,5224,5227,5217,5222,807,-2.5531
2025-12-30 09:20:00,5219.5,5221.5,5212,5215,1128,-2.7682
2025-12-30 09:25:00,5212.5,5215.5,5206,5206.5,1918,-3.2608
2025-12-30 09:30:00,5206,5208.5,5182,5196.5,7911,-3.9900
2025-12-30 09:35:00,5196.5,5206.5,5191,5194,5102,-4.3414
2025-12-30 09:40:00,5193,5198,5188,5190,4845,-4.5234
2025-12-30 09:45:00,5189.5,5198,5175.5,5190.5,8648,-4.2923
2025-12-30 09:50:00,5187,5198.5,5186,5197,6234,-3.4216
2025-12-30 09:55:00,5194.5,5220,5192,5210.5,4885,-1.7412
2025-12-31 03:45:00,5193,5241.5,5180,5233,8221,0.9370
2025-12-31 03:50:00,5231,5232.5,5222.5,5225,1540,2.1515
2025-12-31 03:55:00,5225,5225.5,5206,5207,2897,1.7420
2025-12-31 04:00:00,5207,5208,5198.5,5201,1477,1.0979
2025-12-31 04:05:00,5198.5,5200,5190,5199,1611,0.5932
2025-12-31 04:10:00,5199,5203.5,5190,5200.5,2616,0.4243
2025-12-31 04:15:00,5196.5,5218.5,5194,5217.5,1705,1.4631
2025-12-31 04:20:00,5218,5220,5212,5216,1074,2.0203
2025-12-31 04:25:00,5215.5,5217,5205,5209.5,866,1.9229
2025-12-31 04:30:00,5208,5211,5199.5,5200,1192,1.2243
2025-12-31 04:35:00,5202,5211,5193.5,5205,1171,1.1082
2025-12-31 04:40:00,5201.5,5205,5201,5203,306,0.9139
2025-12-31 04:45:00,5201,5210,5201,5209,417,1.1894
2025-12-31 04:50:00,5207.5,5210,5203,5208,365,1.2953
2025-12-31 04:55:00,5208.5,5210.5,5206,5210,147,1.4780
2025-12-31 05:00:00,5209.5,5218,5207,5218,733,2.0788
2025-12-31 05:05:00,5218,5218,5212,5214,592,2.1395
2025-12-31 05:10:00,5214,5219,5214,5216,478,2.2366
2025-12-31 05:15:00,5216,5220.5,5212.5,5214,498,2.0910
2025-12-31 05:20:00,5213,5213,5207,5207,442,1.4771
2025-12-31 05:25:00,5206,5209.5,5201.5,5206.5,745,1.0133
2025-12-31 05:30:00,5206.5,5207,5206.5,5207,100,0.7294
2025-12-31 05:35:00,5207,5208,5201,5201,280,0.1567
2025-12-31 05:40:00,5201.5,5223,5201,5219.5,795,0.9961
2025-12-31 05:45:00,5218,5219,5215,5215,318,1.2066
2025-12-31 05:50:00,5215,5215.5,5209,5215,603,1.2962
2025-12-31 05:55:00,5213.5,5217.5,5213.5,5214,471,1.2386
2025-12-31 06:00:00,5217,5217,5210.5,5214,648,1.1528
2025-12-31 06:05:00,5215,5224,5212.5,5221.5,739,1.5298
2025-12-31 06:10:00,5220.5,5221.5,5216.5,5217.5,203,1.4397
2025-12-31 06:15:00,5217.5,5218.5,5209.5,5218,423,1.3455
2025-12-31 06:20:00,5216.5,5216.5,5210.5,5211.5,271,0.8038
2025-12-31 06:25:00,5212,5216,5212,5213,226,0.5188
2025-12-31 06:30:00,5213.5,5220,5213,5220,186,0.7594
2025-12-31 06:35:00,5220,5220.5,5217.5,5220,369,0.8683
2025-12-31 06:40:00,5220,5224,5220,5224,464,1.1424
2025-12-31 06:45:00,5224,5227,5223,5227,511,1.4392
2025-12-31 06:50:00,5227,5227.5,5225,5226.5,768,1.5079
2025-12-31 06:55:00,5225,5226,5222,5224.5,222,1.3310
2025-12-31 07:00:00,5223,5230,5222.5,5229,541,1.4212
2025-12-31 07:05:00,5228,5237.5,5226,5234,767,1.7028
2025-12-31 07:10:00,5231.5,5236,5230.5,5233.5,749,1.7346
2025-12-31 07:15:00,5233.5,5239,5233.5,5238.5,837,1.9553
2025-12-31 07:20:00,5236.5,5259.5,5236,5247,4608,2.5017
2025-12-31 07:25:00,5249,5250,5241,5241.5,630,2.3244
2025-12-31 07:30:00,5241.5,5246.5,5241.5,5244,562,2.2081
2025-12-31 07:35:00,5244,5247.5,5241.5,5243.5,618,1.9397
2025-12-31 07:40:00,5243,5244.5,5240,5244.5,631,1.6812
2025-12-31 07:45:00,5243,5247,5241,5241,430,1.1516
2025-12-31 07:50:00,5241,5244,5234,5240.5,351,0.6685
2025-12-31 07:55:00,5240.5,5247.5,5239,5243.5,1357,0.4619
2025-12-31 08:00:00,5243,5243.5,5235.5,5235.5,267,-0.2638
2025-12-31 08:05:00,5235,5235,5228,5233,605,-0.9251
2025-12-31 08:10:00,5234.5,5237.5,5232,5234.5,153,-1.2540
2025-12-31 08:15:00,5235.5,5240,5233.5,5239.5,443,-1.1311
2025-12-31 08:20:00,5237.5,5242.5,5235.5,5240.5,935,-0.9842
