datetime,open,high,low,close,volume
2026-01-13 09:15:00,4231.6,4248.3,4223,4240,26014
2026-01-13 09:20:00,4240.1,4255,4230.3,4253.9,11526
2026-01-13 09:25:00,4254,4254.3,4231.6,4234.1,8346
2026-01-13 09:30:00,4234.1,4235,4226.6,4230.3,5978
2026-01-13 09:35:00,4229.8,4231,4221.2,4222.2,4204
2026-01-13 09:40:00,4222.6,4222.6,4217,4220,3309
2026-01-13 09:45:00,4220.9,4230.3,4220.1,4221.3,5141
2026-01-13 09:50:00,4221,4226.8,4215.1,4218.4,5200
2026-01-13 09:55:00,4218.4,4218.5,4210,4212.7,4416
2026-01-13 10:00:00,4213.2,4228.6,4211,4227.9,4387
2026-01-13 10:05:00,4227.9,4241,4227.9,4240.7,8586
2026-01-13 10:10:00,4240.6,4244.1,4237.9,4242.9,7225
2026-01-13 10:15:00,4242.9,4252,4240.6,4251.8,13405
2026-01-13 10:20:00,4252,4255,4248.5,4250.4,12421
2026-01-13 10:25:00,4250.5,4258.8,4250,4258.8,6001
2026-01-13 10:30:00,4258.4,4265.7,4255,4265.7,64614
2026-01-13 10:35:00,4265,4267.6,4251.5,4253.2,36198
2026-01-13 10:40:00,4253.3,4258,4251.1,4257.4,28969
2026-01-13 10:45:00,4258,4260.5,4255.4,4257.3,7325
2026-01-13 10:50:00,4257.1,4262,4256.1,4260,19347
2026-01-13 10:55:00,4260,4260.2,4251,4258,9653
2026-01-13 11:00:00,4258,4259.5,4250,4251.5,15398
2026-01-13 11:05:00,4251.4,4253.7,4250,4253,3872
2026-01-13 11:10:00,4253,4255,4250.6,4252.5,6122
2026-01-13 11:15:00,4252.5,4254,4250.5,4254,3788
2026-01-13 11:20:00,4254,4259,4251.6,4258.8,10468
2026-01-13 11:25:00,4258.7,4264,4251.8,4264,32816
2026-01-13 11:30:00,4264,4264,4260,4261.8,4966
2026-01-13 11:35:00,4261.8,4264.9,4252.5,4260,24937
2026-01-13 11:40:00,4260.1,4261,4257.5,4259.3,18642
2026-01-13 11:45:00,4258.6,4259.2,4252,4255,4552
2026-01-13 11:50:00,4255,4263.9,4246.2,4251.9,20202
2026-01-13 11:55:00,4251.9,4252,4248.3,4248.3,9251
2026-01-13 12:00:00,4249,4250,4237.7,4245.4,23866
2026-01-13 12:05:00,4245.4,4247.4,4242.2,4245,8221
2026-01-13 12:10:00,4246.2,4246.9,4236.3,4237.8,3982
2026-01-13 12:15:00,4238.5,4242.7,4235.9,4241,5490
2026-01-13 12:20:00,4242,4242.6,4232,4233.5,5034
2026-01-13 12:25:00,4233.5,4241.3,4233.2,4240.8,3689
2026-01-13 12:30:00,4241.2,4241.2,4233.3,4233.9,3257
2026-01-13 12:35:00,4235.9,4238,4233.4,4235.6,2424
2026-01-13 12:40:00,4236.2,4237,4227.3,4233.2,4732
2026-01-13 12:45:00,4233.2,4234.7,4225,4228.2,2135
2026-01-13 12:50:00,4229.1,4229.9,4223,4226.7,3105
2026-01-13 12:55:00,4226.7,4228.9,4224,4225.2,48234
2026-01-13 13:00:00,4226.7,4228.4,4222.2,4225.4,2510
2026-01-13 13:05:00,4226.7,4228,4222.7,4228,2248
2026-01-13 13:10:00,4228,4235.5,4227.5,4235.2,2953
2026-01-13 13:15:00,4235.2,4235.6,4226.6,4231.6,5045
2026-01-13 13:20:00,4231.7,4233,4227.2,4231.3,2673
2026-01-13 13:25:00,4231.5,4231.5,4226,4226,2020
2026-01-13 13:30:00,4226.7,4231.1,4223.7,4230.7,2749
2026-01-13 13:35:00,4231,4235.2,4229.3,4231.6,2587
2026-01-13 13:40:00,4231.7,4233.8,4228.5,4233.8,3209
2026-01-13 13:45:00,4233.8,4239.7,4233.3,4236.4,2754
2026-01-13 13:50:00,4238.3,4244.8,4237.2,4241.7,2965
2026-01-13 13:55:00,4241.7,4241.9,4236.5,4238.4,2853
2026-01-13 14:00:00,4239.5,4240,4235.6,4238.5,3275
2026-01-13 14:05:00,4239.1,4240,4235.6,4238,4949
2026-01-13 14:10:00,4238.9,4239.6,4228.1,4232.7,4973
2026-01-13 14:15:00,4232.3,4234.5,4230,4231.8,2136
2026-01-13 14:20:00,4232.5,4232.5,4227.8,4228.3,2792
2026-01-13 14:25:00,4228.1,4228.8,4225,4225.2,10462
2026-01-13 14:30:00,4225.2,4234.2,4224.8,4228.8,5897
2026-01-13 14:35:00,4229.5,4233.5,4228.4,4230.4,2331
2026-01-13 14:40:00,4231.9,4236.9,4230.2,4235.8,10577
2026-01-13 14:45:00,4235.8,4240,4233.9,4235.7,11505
2026-01-13 14:50:00,4235.7,4240,4231.6,4238.8,9159
2026-01-13 14:55:00,4239.4,4240,4232.6,4235.8,3502
2026-01-13 15:00:00,4235.8,4245,4235.8,4241.9,17318
2026-01-13 15:05:00,4242.4,4244.4,4238.7,4239.2,11421
2026-01-13 15:10:00,4240,4243.6,4237.8,4238,18641
2026-01-13 15:15:00,4238.2,4240.4,4236,4239.6,17068
2026-01-13 15:20:00,4239.8,4240,4235.7,4237,19066
2026-01-13 15:25:00,4237,4237,4226.1,4233.5,16729
2026-01-14 09:15:00,4241.9,4252.4,4225.3,4234.9,24286
2026-01-14 09:20:00,4234.4,4242.4,4232.1,4241.7,8483
2026-01-14 09:25:00,4240.9,4244.4,4230.4,4239.7,11258
2026-01-14 09:30:00,4239.5,4240.2,4225,4229,7265
2026-01-14 09:35:00,4226.9,4234.5,4225.6,4234,6710
2026-01-14 09:40:00,4234,4237,4227.1,4228.6,2858
2026-01-14 09:45:00,4228.7,4235.1,4227.3,4230,7690
2026-01-14 09:50:00,4229.3,4235.8,4227.9,4234.9,7571
2026-01-14 09:55:00,4234.9,4240,4233.6,4238.8,5733
2026-01-14 10:00:00,4240,4240,4234,4238,1948
2026-01-14 10:05:00,4238,4238,4228.9,4230,2171
2026-01-14 10:10:00,4231.7,4234.8,4225.5,4231,7692
2026-01-14 10:15:00,4231,4234,4230,4231.3,4946
2026-01-14 10:20:00,4231.2,4235,4229.5,4235,3320
2026-01-14 10:25:00,4235,4249,4235,4249,20200
2026-01-14 10:30:00,4249,4249.8,4240,4246.8,13569
2026-01-14 10:35:00,4246.7,4248.1,4240.3,4245.8,16020
2026-01-14 10:40:00,4245,4259,4245,4253.7,17406
2026-01-14 10:45:00,4253.6,4260,4248.6,4258.8,6742
2026-01-14 10:50:00,4259.9,4263.2,4255.3,4255.3,8586
2026-01-14 10:55:00,4255.3,4265,4252,4262.6,6684
2026-01-14 11:00:00,4263,4263.3,4258.7,4260,4314
2026-01-14 11:05:00,4260,4260,4257.7,4259.2,2032
2026-01-14 11:10:00,4259.6,4260,4255.9,4257.5,3867
2026-01-14 11:15:00,4258.9,4263.3,4256.4,4261,7798
2026-01-14 11:20:00,4261,4267,4260.9,4263.3,19092
2026-01-14 11:25:00,4263.8,4280,4262.3,4278.3,19937
2026-01-14 11:30:00,4279.8,4283,4266.9,4273.9,15922
2026-01-14 11:35:00,4273.9,4275.9,4267.5,4269.8,7578
2026-01-14 11:40:00,4269.8,4279,4267.1,4273.4,98892
2026-01-14 11:45:00,4273.4,4274.9,4266.3,4273,23232
2026-01-14 11:50:00,4273,4273,4262,4265.8,5992
2026-01-14 11:55:00,4265.8,4267.4,4252.9,4255.1,8028
2026-01-14 12:00:00,4254.9,4260,4253.2,4260,55552
2026-01-14 12:05:00,4260,4260,4255.6,4259.2,5169
2026-01-14 12:10:00,4259.4,4260,4253.8,4255.6,4078
2026-01-14 12:15:00,4255.1,4260,4251,4259.2,6507
2026-01-14 12:20:00,4259.2,4262,4256.7,4260.5,4813
2026-01-14 12:25:00,4260,4261.3,4254.3,4256.3,4333
2026-01-14 12:30:00,4256.3,4260,4255,4259.6,3680
2026-01-14 12:35:00,4259.6,4261.9,4255,4256.1,18358
2026-01-14 12:40:00,4256.5,4260,4255.7,4257.4,3758
2026-01-14 12:45:00,4257.4,4261.1,4257.3,4259.1,4472
2026-01-14 12:50:00,4259.1,4260.9,4257,4258.8,3548
2026-01-14 12:55:00,4258.3,4259.8,4254,4256.7,5632
2026-01-14 13:00:00,4256.7,4258.8,4252.9,4255,3746
2026-01-14 13:05:00,4255,4257.3,4253.6,4255,3407
2026-01-14 13:10:00,4255,4255,4251,4251.4,16002
2026-01-14 13:15:00,4252,4253.5,4245.7,4248,6790
2026-01-14 13:20:00,4248.3,4248.9,4242,4243.4,6700
2026-01-14 13:25:00,4243.8,4247.3,4241.2,4243.4,4228
2026-01-14 13:30:00,4244.7,4245.6,4241,4241.1,3959
2026-01-14 13:35:00,4241.1,4242.8,4234.4,4236.1,26872
2026-01-14 13:40:00,4238.1,4241,4234.6,4240.8,25190
2026-01-14 13:45:00,4240.8,4241.9,4235.5,4238.5,47669
2026-01-14 13:50:00,4238.9,4239.6,4232,4234.5,18158
2026-01-14 13:55:00,4234.5,4235,4231.4,4232.7,4941
2026-01-14 14:00:00,4232.9,4235.3,4229.8,4230,8279
2026-01-14 14:05:00,4229.9,4236.1,4226.7,4228,37337
2026-01-14 14:10:00,4229,4232,4228.4,4231.9,3563
2026-01-14 14:15:00,4231.9,4234.8,4223.2,4225.4,6097
2026-01-14 14:20:00,4223.6,4225.5,4216.9,4219.6,14666
2026-01-14 14:25:00,4219.6,4222.1,4215,4217.5,10760
2026-01-14 14:30:00,4217.6,4217.6,4212.3,4215,3426
2026-01-14 14:35:00,4213.8,4219.9,4211,4214.8,14643
2026-01-14 14:40:00,4212.1,4221.8,4212.1,4220.3,13478
2026-01-14 14:45:00,4221,4233.7,4219,4228,17680
2026-01-14 14:50:00,4229.5,4229.9,4223.8,4224.9,7981
2026-01-14 14:55:00,4224.9,4227.6,4218.3,4219,9990
2026-01-14 15:00:00,4219,4225.4,4218,4224.6,27503
2026-01-14 15:05:00,4223.3,4225.9,4219.3,4221.5,23554
2026-01-14 15:10:00,4221.1,4224.4,4219.7,4221.4,19080
2026-01-14 15:15:00,4221.4,4222.8,4219.3,4219.9,31136
2026-01-14 15:20:00,4219.9,4223.8,4217.3,4221.5,32616
2026-01-14 15:25:00,4221.5,4224.3,4215,4215,19644
2026-01-16 09:15:00,4221.5,4236.4,4207,4232.6,59747
