datetime,open,high,low,close,volume
2025-12-08 03:45:00,353.95,356.2,353.7,355,368160
2025-12-08 03:50:00,355,356,353.75,355.05,180309
2025-12-08 03:55:00,355.05,355.2,354.3,354.55,112253
2025-12-08 04:00:00,354.65,355,354.3,354.7,108051
2025-12-08 04:05:00,354.6,354.65,354,354.15,131765
2025-12-08 04:10:00,354.05,354.4,353.75,354,92879
2025-12-08 04:15:00,354,354.15,353.5,353.6,89523
2025-12-08 04:20:00,353.6,353.7,351.75,351.8,265035
2025-12-08 04:25:00,351.95,352.6,351.75,352.25,106527
2025-12-08 04:30:00,352.25,352.9,351.8,352,149712
2025-12-08 04:35:00,352.1,352.25,351.7,351.9,77695
2025-12-08 04:40:00,351.95,352.3,351.7,352.2,73956
2025-12-08 04:45:00,352.3,352.6,352.05,352.3,77643
2025-12-08 04:50:00,352.3,352.7,352.2,352.5,38945
2025-12-08 04:55:00,352.5,352.6,352.3,352.55,55691
2025-12-08 05:00:00,352.5,352.55,352.1,352.3,51586
2025-12-08 05:05:00,352.35,352.4,352.1,352.2,44234
2025-12-08 05:10:00,352.1,352.25,352,352.25,40899
2025-12-08 05:15:00,352.25,352.4,352,352.05,53998
2025-12-08 05:20:00,352.05,352.3,351.9,352.25,75888
2025-12-08 05:25:00,352.25,352.45,352.05,352.2,47323
2025-12-08 05:30:00,352.3,352.3,351.8,351.9,47609
2025-12-08 05:35:00,351.9,352,351.25,351.6,143190
2025-12-08 05:40:00,351.5,351.75,351.2,351.5,63796
2025-12-08 05:45:00,351.5,351.6,350.7,350.75,120715
2025-12-08 05:50:00,350.8,351.6,350.7,351.25,82402
2025-12-08 05:55:00,351.3,351.7,351.2,351.6,45707
2025-12-08 06:00:00,351.6,351.9,351.15,351.45,82270
2025-12-08 06:05:00,351.6,351.65,351,351.15,39892
2025-12-08 06:10:00,351.15,351.4,350.9,351.2,63708
2025-12-08 06:15:00,351.2,351.4,351,351.15,67374
2025-12-08 06:20:00,351.3,351.3,350.9,350.95,31484
2025-12-08 06:25:00,350.9,351.1,350.4,350.6,92319
2025-12-08 06:30:00,350.6,350.7,350.1,350.5,69159
2025-12-08 06:35:00,350.5,350.85,350.2,350.65,71003
2025-12-08 06:40:00,350.7,350.9,350.55,350.65,33049
2025-12-08 06:45:00,350.7,351.15,350.65,350.95,36094
2025-12-08 06:50:00,350.95,351.3,350.85,351.15,26245
2025-12-08 06:55:00,351.3,351.3,350.5,350.5,37612
2025-12-08 07:00:00,350.65,350.7,350.3,350.35,33800
2025-12-08 07:05:00,350.3,350.45,350.1,350.1,45368
2025-12-08 07:10:00,350.15,350.5,350.1,350.35,49050
2025-12-08 07:15:00,350.25,350.35,349.6,349.95,179876
2025-12-08 07:20:00,349.95,350.15,349.6,349.8,62769
2025-12-08 07:25:00,349.8,349.9,348.75,349.05,208189
2025-12-08 07:30:00,349.05,349.55,348.5,349.4,112545
2025-12-08 07:35:00,349.4,349.75,349.3,349.45,49127
2025-12-08 07:40:00,349.45,349.95,349.1,349.6,52652
2025-12-08 07:45:00,349.6,349.65,349,349.15,37228
2025-12-08 07:50:00,349.15,349.2,348.05,348.25,87339
2025-12-08 07:55:00,348.1,348.6,348,348.2,89244
2025-12-08 08:00:00,348.2,348.3,347.2,347.5,95900
2025-12-08 08:05:00,347.55,347.65,347.25,347.5,89525
2025-12-08 08:10:00,347.5,348.15,347.5,347.7,67582
2025-12-08 08:15:00,347.75,348.3,347.65,348.2,89788
2025-12-08 08:20:00,348.3,348.45,347.95,348.05,47879
2025-12-08 08:25:00,348.05,348.3,347.55,348,52410
2025-12-08 08:30:00,348.1,348.15,347.25,347.8,89076
2025-12-08 08:35:00,347.8,348,346.85,347.6,155677
2025-12-08 08:40:00,347.55,347.75,346.65,346.7,78893
2025-12-08 08:45:00,346.65,346.85,345.85,346.5,265749
2025-12-08 08:50:00,346.6,347,346.25,346.65,73099
2025-12-08 08:55:00,346.65,347,346.3,346.8,50323
2025-12-08 09:00:00,346.9,347,346.25,346.35,38355
2025-12-08 09:05:00,346.25,346.45,345.8,345.9,86068
2025-12-08 09:10:00,345.95,346.45,345.8,346.3,70759
2025-12-08 09:15:00,346.3,346.9,346,346.9,61482
2025-12-08 09:20:00,346.9,347.75,346.8,347.7,129016
2025-12-08 09:25:00,347.65,347.7,347.05,347.25,69211
2025-12-08 09:30:00,347.25,348.65,347.25,348.35,139176
2025-12-08 09:35:00,348.45,348.6,348,348.5,108693
2025-12-08 09:40:00,348.45,348.95,348.3,348.75,220741
2025-12-08 09:45:00,348.7,348.75,347.85,347.95,263086
2025-12-08 09:50:00,348,348.35,347.75,348.35,205238
2025-12-08 09:55:00,348.35,348.7,347.5,347.85,196518
2025-12-09 03:45:00,348.5,348.65,345.25,345.55,523551
2025-12-09 03:50:00,345.65,346.4,345,345.75,174840
2025-12-09 03:55:00,345.75,345.8,343.8,344.1,251189
2025-12-09 04:00:00,344.1,344.65,343.15,344.4,221017
2025-12-09 04:05:00,344.4,344.65,343.15,343.25,148309
2025-12-09 04:10:00,343.25,344.05,342.7,342.95,335884
2025-12-09 04:15:00,342.95,343.4,342.45,343.35,191935
2025-12-09 04:20:00,343.35,343.35,341.7,342.05,150709
2025-12-09 04:25:00,342.05,342.8,341.95,342.8,128675
2025-12-09 04:30:00,342.75,343.6,342.65,343.05,117101
2025-12-09 04:35:00,343.05,344.95,343.05,344.3,174919
2025-12-09 04:40:00,344.25,345.6,344.25,344.85,177064
2025-12-09 04:45:00,344.85,346.4,344.7,346.2,130836
2025-12-09 04:50:00,346.2,347.25,346.05,347.2,164477
