datetime,open,high,low,close,volume,histogram
2025-11-10 05:45:00,468.45,468.65,468,468.65,31067,0.0000
2025-11-10 05:50:00,468.7,468.9,468,468.3,61574,0.0000
2025-11-10 05:55:00,468.3,468.35,467.3,467.5,29774,0.0000
2025-11-10 06:00:00,467.5,468,467,467.15,46624,0.0000
2025-11-10 06:05:00,467.15,467.55,466.7,466.7,40858,0.0000
2025-11-10 06:10:00,466.9,466.9,465.9,466.15,43925,0.0000
2025-11-10 06:15:00,466,466.95,465.2,465.45,70029,0.0000
2025-11-10 06:20:00,465.3,465.7,465.1,465.1,35971,0.0000
2025-11-10 06:25:00,465.15,468.1,464.6,466.9,302835,0.0000
2025-11-10 06:30:00,467,468.35,467,467.15,108193,0.0000
2025-11-10 06:35:00,467.25,467.4,467,467,25707,0.0000
2025-11-10 06:40:00,467.2,467.35,466.8,467.15,51487,0.0000
2025-11-10 06:45:00,467.25,468,467.2,467.85,29052,0.0000
2025-11-10 06:50:00,467.85,468.7,467.5,467.5,29568,0.0000
2025-11-10 06:55:00,467.55,468.35,467.55,467.95,31353,0.0000
2025-11-10 07:00:00,468.15,470,468.15,469.1,73887,0.0000
2025-11-10 07:05:00,469.1,469.65,468.6,469.5,70622,0.0000
2025-11-10 07:10:00,469.5,469.7,469,469.15,30016,0.0000
2025-11-10 07:15:00,469.15,469.2,468.35,469.1,53526,0.0000
2025-11-10 07:20:00,469,469.45,468.75,469,31504,0.0000
2025-11-10 07:25:00,469.2,469.2,468.95,469.1,34658,0.0000
2025-11-10 07:30:00,469.1,469.6,469,469,71466,0.0000
2025-11-10 07:35:00,469.15,469.15,469,469,36333,0.0000
2025-11-10 07:40:00,469.05,469.25,469,469.05,33103,0.0000
2025-11-10 07:45:00,469.1,469.1,469,469.05,31890,0.0000
2025-11-10 07:50:00,469,469.05,468,468,87972,0.0000
2025-11-10 07:55:00,468.1,468.2,467.15,467.35,42891,0.0000
2025-11-10 08:00:00,467.55,468.6,467.3,468,54023,0.0000
2025-11-10 08:05:00,467.9,468.05,467.6,467.6,28781,0.0000
2025-11-10 08:10:00,467.65,467.9,466.15,466.35,31623,0.0000
2025-11-10 08:15:00,466.35,466.55,465.1,465.9,42971,0.0000
2025-11-10 08:20:00,465.8,466.35,465.4,466.35,37906,0.0000
2025-11-10 08:25:00,466.35,466.35,465.6,465.65,33591,0.0000
2025-11-10 08:30:00,465.75,467,465.65,466.15,61749,-0.4795
2025-11-10 08:35:00,466.3,466.85,466.05,466.4,37355,-0.4059
2025-11-10 08:40:00,466.45,466.5,465.85,465.85,30148,-0.3745
2025-11-10 08:45:00,465.9,467.4,465.8,467.3,38152,-0.2427
2025-11-10 08:50:00,467.15,467.45,466.65,466.8,34800,-0.1788
2025-11-10 08:55:00,466.95,467.5,466.3,466.55,43795,-0.1444
2025-11-10 09:00:00,466.55,468.1,466.55,466.95,55304,-0.0885
2025-11-10 09:05:00,466.95,467.2,466.75,466.8,13016,-0.0570
2025-11-10 09:10:00,466.8,467,465.5,465.55,76478,-0.1125
2025-11-10 09:15:00,465.75,465.85,465,465.4,18042,-0.1491
2025-11-10 09:20:00,465.3,465.4,464,464.5,55603,-0.2195
2025-11-10 09:25:00,464.45,464.75,463.6,463.95,34123,-0.2846
2025-11-10 09:30:00,463.95,463.95,461.9,463.6,216575,-0.3295
2025-11-10 09:35:00,463.75,464,463.1,463.5,168426,-0.3427
2025-11-10 09:40:00,463.5,463.95,463.1,463.75,167228,-0.3122
2025-11-10 09:45:00,463.75,464.45,463.15,463.35,160140,-0.2967
2025-11-10 09:50:00,463.35,463.6,462.8,463,176665,-0.2876
2025-11-10 09:55:00,463,463.6,462.55,462.85,120131,-0.2694
2025-11-11 03:45:00,463.25,464.15,460.2,460.95,177001,-0.3577
2025-11-11 03:50:00,460.85,462.7,460.6,462.5,116490,-0.2871
2025-11-11 03:55:00,462.5,467.3,462.3,466,152494,0.0046
2025-11-11 04:00:00,466.25,466.25,464.35,464.8,76350,0.1195
2025-11-11 04:05:00,464.8,465.45,464.35,464.6,74648,0.1812
2025-11-11 04:10:00,464.75,466.2,464.5,466.1,42824,0.3144
2025-11-11 04:15:00,466.1,466.95,464.9,465.05,97682,0.3219
2025-11-11 04:20:00,465.05,465.05,464.05,464.05,34253,0.2527
2025-11-11 04:25:00,464.2,465.4,463.05,463.65,69292,0.1769
2025-11-11 04:30:00,463.65,465,462.8,464.25,363871,0.1642
2025-11-11 04:35:00,464.35,465,464.2,464.65,54760,0.1786
2025-11-11 04:40:00,464.65,464.75,464.1,464.5,30047,0.1738
2025-11-11 04:45:00,464.5,464.7,464.1,464.4,16707,0.1599
2025-11-11 04:50:00,464.35,465.1,463.95,464.75,60141,0.1695
2025-11-11 04:55:00,464.75,464.8,464.45,464.75,15950,0.1705
2025-11-11 05:00:00,464.75,464.8,463.65,464.55,29768,0.1529
2025-11-11 05:05:00,464.55,464.8,463.65,463.9,21467,0.0956
2025-11-11 05:10:00,463.9,464.25,463.7,464.2,22810,0.0768
2025-11-11 05:15:00,464,464.2,463.8,463.8,16730,0.0382
2025-11-11 05:20:00,463.8,464.15,462.8,463.25,57901,-0.0204
2025-11-11 05:25:00,463.25,463.65,462.95,463.6,36837,-0.0310
2025-11-11 05:30:00,463.5,464.15,463.45,463.8,26313,-0.0204
2025-11-11 05:35:00,463.75,463.95,463.35,463.6,27604,-0.0226
2025-11-11 05:40:00,463.75,464.1,463.15,463.4,40624,-0.0327
2025-11-11 05:45:00,463.4,463.65,463.1,463.5,13185,-0.0279
2025-11-11 05:50:00,463.5,464.55,463.4,464.1,49565,0.0179
2025-11-11 05:55:00,464.05,464.5,463.8,464,31890,0.0423
2025-11-11 06:00:00,464,465.25,463.9,464.85,84685,0.1125
2025-11-11 06:05:00,464.8,464.8,464.05,464.1,13970,0.1054
2025-11-11 06:10:00,464.1,464.3,462.4,462.65,37445,0.0053
2025-11-11 06:15:00,462.65,464.35,462.65,463.85,89203,0.0213
2025-11-11 06:20:00,463.85,465.1,463.55,464.9,212961,0.0995
2025-11-11 06:25:00,464.9,465.55,464.4,464.75,108106,0.1359
2025-11-11 06:30:00,464.75,466.35,464.25,466.05,35608,0.2364
2025-11-11 06:35:00,466.15,466.2,464.85,464.85,24864,0.2116
2025-11-11 06:40:00,464.85,465.15,464.35,464.65,19549,0.1731
2025-11-11 06:45:00,464.45,464.9,464.05,464.55,26122,0.1339
2025-11-11 06:50:00,464.55,465.2,464.35,464.9,27456,0.1247
2025-11-11 06:55:00,465,466,464.8,465.9,32105,0.1760
2025-11-11 07:00:00,466,467.7,465.9,467.05,95421,0.2718
2025-11-11 07:05:00,467.1,467.85,466.55,466.8,46031,0.3004
2025-11-11 07:10:00,466.55,466.95,466,466.35,25791,0.2720
2025-11-11 07:15:00,466.1,466.45,465.9,466.05,22396,0.2182
2025-11-11 07:20:00,466.1,466.3,465.65,465.9,35361,0.1605
2025-11-11 07:25:00,466,466.65,465.75,466.6,34538,0.1572
2025-11-11 07:30:00,466.35,466.55,465.8,465.85,22853,0.0953
2025-11-11 07:35:00,465.95,467,465.65,465.9,26599,0.0508
2025-11-11 07:40:00,466.05,467.75,465.65,467.2,77011,0.0991
2025-11-11 07:45:00,467.25,467.5,466.2,466.6,71915,0.0816
2025-11-11 07:50:00,466.5,467,466.2,466.55,71182,0.0587
2025-11-11 07:55:00,466.65,467.7,466.55,467.3,53234,0.0845
2025-11-11 08:00:00,467.4,468.85,467.3,468,75816,0.1361
2025-11-11 08:05:00,468.05,468.35,467.8,468,82363,0.1562
2025-11-11 08:10:00,468,468.15,467.35,467.5,30161,0.1232
2025-11-11 08:15:00,467.5,468.1,467.5,467.95,31128,0.1190
2025-11-11 08:20:00,467.7,468.45,467.65,468.15,41395,0.1169
2025-11-11 08:25:00,468.05,468.35,467.55,467.8,33872,0.0809
2025-11-11 08:30:00,467.65,468.2,467.6,468.05,59866,0.0635
2025-11-11 08:35:00,468.05,468.2,467.85,467.85,22687,0.0299
2025-11-11 08:40:00,468,468.4,467.35,467.35,50013,-0.0313
2025-11-11 08:45:00,467.45,468.55,467.35,468.2,38850,-0.0204
2025-11-11 08:50:00,468.2,469.35,468.1,469,55515,0.0319
2025-11-11 08:55:00,469,469.7,468.6,469.65,57352,0.0979
2025-11-11 09:00:00,469.65,470.5,469.35,470.15,84801,0.1592
2025-11-11 09:05:00,470.1,471,470.1,470.5,46612,0.2044
2025-11-11 09:10:00,470.5,471.45,470,471,90836,0.2462
