datetime,open,high,low,close,volume
2025-12-08 03:45:00,524.3,526.95,522.9,524.3,335642
2025-12-08 03:50:00,524.3,527.3,523.2,526.2,193902
2025-12-08 03:55:00,526.05,526.55,524.7,524.9,65573
2025-12-08 04:00:00,524.9,526.25,524.7,525.65,67991
2025-12-08 04:05:00,525.75,526,524.9,525.2,88683
2025-12-08 04:10:00,525.2,525.75,525,525.5,74187
2025-12-08 04:15:00,525.5,525.55,523.15,523.5,113164
2025-12-08 04:20:00,523.45,523.6,522.7,522.9,88715
2025-12-08 04:25:00,522.95,523.1,521.9,522.15,107163
2025-12-08 04:30:00,522.2,522.5,521.6,521.7,60482
2025-12-08 04:35:00,521.7,521.85,521.45,521.6,54800
2025-12-08 04:40:00,521.6,521.65,520.6,521.3,92212
2025-12-08 04:45:00,521.2,521.5,520.35,520.5,112756
2025-12-08 04:50:00,520.5,521.6,520.35,520.9,69156
2025-12-08 04:55:00,520.9,521,520.35,520.4,40109
2025-12-08 05:00:00,520.4,520.6,519.8,520,113106
2025-12-08 05:05:00,519.95,520.5,519.8,520.25,39785
2025-12-08 05:10:00,520.3,521.25,520.25,521.25,33485
2025-12-08 05:15:00,521.25,521.6,520.5,520.55,44289
2025-12-08 05:20:00,520.75,521.1,520.05,521.1,36637
2025-12-08 05:25:00,521.1,521.9,520.7,521,39849
2025-12-08 05:30:00,521,521,519.1,519.25,122830
2025-12-08 05:35:00,519.25,519.4,519,519.3,82759
2025-12-08 05:40:00,519.2,519.75,519,519.6,32696
2025-12-08 05:45:00,519.65,520,519.25,520,33349
2025-12-08 05:50:00,519.95,520.55,519.6,519.85,215666
2025-12-08 05:55:00,519.85,520.45,519.4,520.3,180049
2025-12-08 06:00:00,520.3,520.65,520,520.1,89070
2025-12-08 06:05:00,520,520.8,519.75,520.75,147234
2025-12-08 06:10:00,520.8,520.8,519.35,519.95,46297
2025-12-08 06:15:00,519.95,520.4,519.55,520,53354
2025-12-08 06:20:00,519.8,520,518.25,518.35,102954
2025-12-08 06:25:00,518.35,518.95,518.2,518.65,49700
2025-12-08 06:30:00,518.7,518.9,518.1,518.15,40840
2025-12-08 06:35:00,518.2,518.55,517.5,518.1,88491
