datetime,open,high,low,close,volume
2025-12-08 03:45:00,22.63,22.69,22.57,22.6,3647497
2025-12-08 03:50:00,22.6,22.62,22.53,22.58,1436972
2025-12-08 03:55:00,22.58,22.58,22.43,22.47,3503337
2025-12-08 04:00:00,22.47,22.51,22.46,22.48,676495
2025-12-08 04:05:00,22.49,22.49,22.44,22.46,980672
2025-12-08 04:10:00,22.45,22.48,22.43,22.44,1727145
2025-12-08 04:15:00,22.44,22.46,22.41,22.43,941611
2025-12-08 04:20:00,22.42,22.43,22.35,22.37,2614129
2025-12-08 04:25:00,22.36,22.41,22.35,22.36,1025291
2025-12-08 04:30:00,22.37,22.37,22.32,22.34,1318199
2025-12-08 04:35:00,22.34,22.35,22.32,22.33,962318
2025-12-08 04:40:00,22.33,22.34,22.31,22.34,1148734
2025-12-08 04:45:00,22.34,22.38,22.33,22.36,891849
2025-12-08 04:50:00,22.37,22.43,22.37,22.4,902029
2025-12-08 04:55:00,22.41,22.41,22.4,22.4,324297
2025-12-08 05:00:00,22.41,22.41,22.37,22.38,574791
2025-12-08 05:05:00,22.38,22.38,22.34,22.37,687570
2025-12-08 05:10:00,22.37,22.39,22.36,22.37,531125
2025-12-08 05:15:00,22.37,22.39,22.36,22.38,572700
2025-12-08 05:20:00,22.39,22.39,22.35,22.37,557304
2025-12-08 05:25:00,22.38,22.4,22.35,22.36,409053
2025-12-08 05:30:00,22.36,22.36,22.31,22.35,1571821
2025-12-08 05:35:00,22.34,22.35,22.31,22.32,1115452
2025-12-08 05:40:00,22.32,22.32,22.27,22.29,3394715
2025-12-08 05:45:00,22.29,22.3,22.23,22.24,1700010
2025-12-08 05:50:00,22.24,22.28,22.23,22.25,653033
2025-12-08 05:55:00,22.25,22.26,22.23,22.23,554815
2025-12-08 06:00:00,22.25,22.29,22.23,22.28,702218
2025-12-08 06:05:00,22.27,22.28,22.22,22.24,1043327
2025-12-08 06:10:00,22.23,22.27,22.23,22.24,586292
2025-12-08 06:15:00,22.24,22.25,22.21,22.22,715772
2025-12-08 06:20:00,22.23,22.26,22.21,22.22,687884
2025-12-08 06:25:00,22.22,22.23,22.2,22.2,1004330
2025-12-08 06:30:00,22.2,22.22,22.18,22.2,1353999
2025-12-08 06:35:00,22.2,22.2,22.18,22.19,455321
2025-12-08 06:40:00,22.19,22.2,22.15,22.15,2129776
2025-12-08 06:45:00,22.16,22.16,22.14,22.15,496486
2025-12-08 06:50:00,22.15,22.15,22.06,22.08,2037154
2025-12-08 06:55:00,22.09,22.12,22.06,22.07,1066540
2025-12-08 07:00:00,22.07,22.08,22.05,22.06,681813
2025-12-08 07:05:00,22.06,22.08,22.05,22.07,676603
2025-12-08 07:10:00,22.07,22.08,22.06,22.07,641110
2025-12-08 07:15:00,22.07,22.08,22.05,22.05,549286
2025-12-08 07:20:00,22.05,22.07,22.03,22.06,786320
2025-12-08 07:25:00,22.07,22.07,22.02,22.02,736626
2025-12-08 07:30:00,22.03,22.05,22,22.02,1328365
2025-12-08 07:35:00,22.01,22.03,22,22,753064
2025-12-08 07:40:00,22.01,22.03,22,22.01,1046552
2025-12-08 07:45:00,22.01,22.01,21.93,21.94,2148054
2025-12-08 07:50:00,21.93,21.94,21.87,21.9,2434935
2025-12-08 07:55:00,21.9,21.92,21.86,21.88,1119514
2025-12-08 08:00:00,21.87,21.89,21.85,21.86,856962
2025-12-08 08:05:00,21.86,21.88,21.85,21.86,1411279
2025-12-08 08:10:00,21.87,21.9,21.85,21.88,954237
2025-12-08 08:15:00,21.88,21.92,21.88,21.92,835523
2025-12-08 08:20:00,21.92,21.94,21.9,21.92,666639
2025-12-08 08:25:00,21.92,21.92,21.9,21.91,480687
2025-12-08 08:30:00,21.91,21.92,21.85,21.86,1158747
2025-12-08 08:35:00,21.87,21.89,21.86,21.88,484463
2025-12-08 08:40:00,21.86,21.89,21.83,21.83,971342
2025-12-08 08:45:00,21.83,21.86,21.81,21.84,640861
2025-12-08 08:50:00,21.83,21.85,21.8,21.84,623335
2025-12-08 08:55:00,21.84,21.85,21.8,21.85,1102140
2025-12-08 09:00:00,21.85,21.85,21.84,21.85,463402
2025-12-08 09:05:00,21.85,21.85,21.81,21.81,563463
2025-12-08 09:10:00,21.81,21.84,21.8,21.83,1265763
2025-12-08 09:15:00,21.82,21.89,21.82,21.87,743223
2025-12-08 09:20:00,21.87,21.92,21.87,21.89,1292725
2025-12-08 09:25:00,21.88,21.91,21.82,21.83,1673278
2025-12-08 09:30:00,21.84,21.92,21.83,21.9,2821296
2025-12-08 09:35:00,21.91,22,21.9,21.93,4228667
